Country,StateName,StateCode,Year,Number_of_TB_patients_with_known_HIV_Status_under_public_sector_sum,Number_of_TB_patients_with_known_HIV_Status_under_public_sector_avg,Number_of_TB_patients_with_known_HIV_Status_under_private_sector_sum,Number_of_TB_patients_with_known_HIV_Status_under_private_sector_avg,Number_of_TB-HIV_co-infected_patients_diagnosed_sum,Number_of_TB-HIV_co-infected_patients_diagnosed_avg,Number_of_TB-HIV_co-infected_patients_put_on_Antiretroviral_Therapy_ART_sum,Number_of_TB-HIV_co-infected_patients_put_on_Antiretroviral_Therapy_ART_avg,Number_of_TB-HIV_co-infected_patients_put_on_Cotrimoxazole_Preventive_Therapy_CPT_sum,Number_of_TB-HIV_co-infected_patients_put_on_Cotrimoxazole_Preventive_Therapy_CPT_avg,Percentage_of_TB_patients_with_known_HIV_Status_under_public_sector_sum,Percentage_of_TB_patients_with_known_HIV_Status_under_public_sector_avg,Percentage_of_TB_patients_with_known_HIV_Status_under_private_sector_sum,Percentage_of_TB_patients_with_known_HIV_Status_under_private_sector_avg,Percentage_of_TB-HIV_co-infected_patients_put_on_AntiRetroviral_Therapy_ART_sum,Percentage_of_TB-HIV_co-infected_patients_put_on_AntiRetroviral_Therapy_ART_avg,Percentage_of_TB-HIV_co-infected_patients_put_on_Cotrimoxazole_Preventive_Therapy_CPT_sum,Percentage_of_TB-HIV_co-infected_patients_put_on_Cotrimoxazole_Preventive_Therapy_CPT_avg,Percentage_of_TB-HIV_co-infected_patients_diagnosed_sum,Percentage_of_TB-HIV_co-infected_patients_diagnosed_avg,Total_number_of_TB_patients_with_known_HIV_status_sum,Total_number_of_TB_patients_with_known_HIV_status_avg,Total_percentage_of_TB_patients_with_known_HIV_status_sum,Total_percentage_of_TB_patients_with_known_HIV_status_avg
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2023",66007.0,66007.0,26971.0,26971.0,3817.0,3817.0,3825.0,3825.0,3801.0,3801.0,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2024",62795.0,62795.0,26412.0,26412.0,,,,,,,99.0,99.0,100.0,100.0,,,,,,,89207.0,89207.0,99.0,99.0
India,Karnataka,29,"Calendar Year (Jan - Dec), 2020",68625.0,68625.0,10180.0,10180.0,5549.0,5549.0,5349.0,5349.0,5519.0,5519.0,94.0,94.0,60.0,60.0,96.0,96.0,99.0,99.0,7.0,7.0,,,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2021",50777.0,50777.0,11571.0,11571.0,4342.0,4342.0,4121.0,4121.0,4324.0,4324.0,97.0,97.0,90.0,90.0,95.0,95.0,100.0,100.0,,,,,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2022",58094.0,58094.0,11349.0,11349.0,3848.0,3848.0,3718.0,3718.0,3840.0,3840.0,98.0,98.0,95.0,95.0,97.0,97.0,100.0,100.0,,,,,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2023",66045.0,66045.0,11108.0,11108.0,3665.0,3665.0,3590.0,3590.0,3599.0,3599.0,98.0,98.0,94.4,94.4,98.0,98.0,98.0,98.0,,,,,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2024",65168.0,65168.0,12238.0,12238.0,,,,,,,97.0,97.0,93.0,93.0,,,,,,,77406.0,77406.0,96.0,96.0
India,Goa,30,"Calendar Year (Jan - Dec), 2020",1809.0,1809.0,344.0,344.0,74.0,74.0,68.0,68.0,71.0,71.0,96.0,96.0,75.0,75.0,92.0,92.0,96.0,96.0,3.0,3.0,,,,
India,Goa,30,"Calendar Year (Jan - Dec), 2021",1319.0,1319.0,243.0,243.0,50.0,50.0,41.0,41.0,46.0,46.0,99.0,99.0,79.0,79.0,82.0,82.0,92.0,92.0,,,,,,
India,Goa,30,"Calendar Year (Jan - Dec), 2022",1618.0,1618.0,255.0,255.0,62.0,62.0,60.0,60.0,62.0,62.0,98.0,98.0,67.0,67.0,97.0,97.0,100.0,100.0,,,,,,
India,Goa,30,"Calendar Year (Jan - Dec), 2023",1668.0,1668.0,329.0,329.0,52.0,52.0,45.0,45.0,52.0,52.0,99.5,99.5,83.1,83.1,87.0,87.0,100.0,100.0,,,,,,
India,Goa,30,"Calendar Year (Jan - Dec), 2024",1458.0,1458.0,279.0,279.0,,,,,,,85.0,85.0,90.0,90.0,,,,,,,1737.0,1737.0,85.0,85.0
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2020",16.0,16.0,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2021",19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2022",20.0,20.0,0.0,0.0,,,,,,,100.0,100.0,,,,,,,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2023",22.0,22.0,0.0,0.0,,,,,,,100.0,100.0,,,,,,,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2024",14.0,14.0,,,,,,,,,100.0,100.0,,,,,,,,,14.0,14.0,100.0,100.0
India,Kerala,32,"Calendar Year (Jan - Dec), 2020",19638.0,19638.0,2299.0,2299.0,264.0,264.0,234.0,234.0,263.0,263.0,88.0,88.0,67.0,67.0,89.0,89.0,100.0,100.0,1.0,1.0,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2021",16762.0,16762.0,2557.0,2557.0,246.0,246.0,218.0,218.0,244.0,244.0,94.0,94.0,85.0,85.0,89.0,89.0,99.0,99.0,,,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2022",17868.0,17868.0,2651.0,2651.0,215.0,215.0,193.0,193.0,210.0,210.0,94.0,94.0,85.0,85.0,90.0,90.0,98.0,98.0,,,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2023",19736.0,19736.0,2627.0,2627.0,227.0,227.0,192.0,192.0,223.0,223.0,95.7,95.7,90.6,90.6,85.0,85.0,98.0,98.0,,,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2024",18733.0,18733.0,2382.0,2382.0,,,,,,,97.0,97.0,93.0,93.0,,,,,,,21115.0,21115.0,97.0,97.0
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2020",79612.0,79612.0,9973.0,9973.0,3742.0,3742.0,3453.0,3453.0,3728.0,3728.0,93.0,93.0,36.0,36.0,92.0,92.0,100.0,100.0,4.0,4.0,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2021",56053.0,56053.0,11044.0,11044.0,2436.0,2436.0,2309.0,2309.0,2366.0,2366.0,98.0,98.0,74.0,74.0,95.0,95.0,97.0,97.0,,,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2022",68272.0,68272.0,12256.0,12256.0,2984.0,2984.0,2788.0,2788.0,2941.0,2941.0,99.0,99.0,78.0,78.0,93.0,93.0,99.0,99.0,,,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2023",77587.0,77587.0,14216.0,14216.0,2573.0,2573.0,2478.0,2478.0,2566.0,2566.0,99.1,99.1,80.4,80.4,96.0,96.0,100.0,100.0,,,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2024",80594.0,80594.0,15563.0,15563.0,,,,,,,98.0,98.0,84.0,84.0,,,,,,,96157.0,96157.0,96.0,96.0
India,Puducherry,34,"Calendar Year (Jan - Dec), 2020",1630.0,1630.0,5.0,5.0,30.0,30.0,30.0,30.0,30.0,30.0,98.0,98.0,83.0,83.0,100.0,100.0,100.0,100.0,2.0,2.0,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2021",1251.0,1251.0,2.0,2.0,19.0,19.0,19.0,19.0,19.0,19.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2022",1389.0,1389.0,0.0,0.0,31.0,31.0,31.0,31.0,31.0,31.0,99.0,99.0,,,100.0,100.0,100.0,100.0,,,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2023",1520.0,1520.0,2.0,2.0,,,,,,,99.7,99.7,100.0,100.0,,,,,,,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2024",1594.0,1594.0,2.0,2.0,,,,,,,99.0,99.0,100.0,100.0,,,,,,,1596.0,1596.0,99.0,99.0
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2020",479.0,479.0,4.0,4.0,6.0,6.0,3.0,3.0,0.0,0.0,80.0,80.0,33.0,33.0,50.0,50.0,0.0,0.0,1.0,1.0,,,,
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2021",435.0,435.0,0.0,0.0,4.0,4.0,3.0,3.0,1.0,1.0,90.0,90.0,,,75.0,75.0,25.0,25.0,,,,,,
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2022",488.0,488.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,95.0,95.0,100.0,100.0,100.0,100.0,,,,,,,,
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2023",524.0,524.0,4.0,4.0,,,,,,,96.3,96.3,100.0,100.0,,,,,,,,,,
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2024",531.0,531.0,10.0,10.0,,,,,,,93.0,93.0,77.0,77.0,,,,,,,541.0,541.0,93.0,93.0
India,Telangana,36,"Calendar Year (Jan - Dec), 2020",45725.0,45725.0,18131.0,18131.0,2391.0,2391.0,2258.0,2258.0,2104.0,2104.0,93.0,93.0,82.0,82.0,94.0,94.0,88.0,88.0,4.0,4.0,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2021",40862.0,40862.0,21210.0,21210.0,1927.0,1927.0,1609.0,1609.0,1182.0,1182.0,99.0,99.0,98.0,98.0,83.0,83.0,61.0,61.0,,,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2022",43689.0,43689.0,16489.0,16489.0,1720.0,1720.0,1354.0,1354.0,1010.0,1010.0,99.0,99.0,98.0,98.0,79.0,79.0,59.0,59.0,,,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2023",54004.0,54004.0,18492.0,18492.0,1740.0,1740.0,1635.0,1635.0,1215.0,1215.0,99.0,99.0,99.0,99.0,94.0,94.0,70.0,70.0,,,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2024",36741.0,36741.0,18334.0,18334.0,,,,,,,71.0,71.0,80.0,80.0,,,,,,,55075.0,55075.0,73.0,73.0
India,Ladakh,37,"Calendar Year (Jan - Dec), 2020",212.0819649646,212.0819649646,11.8552418534,11.8552418534,0.6124479186,0.6124479186,0.5905747787,0.5905747787,0.5249553588,0.5249553588,87.0,87.0,71.0,71.0,96.0,96.0,86.0,86.0,0.0,0.0,,,,
