Country,StateName,StateCode,Year,D6066_3,I6066_4_sum,I6066_4_avg,I6066_5_sum,I6066_5_avg,I6066_6_sum,I6066_6_avg,I6066_7_sum,I6066_7_avg,I6066_8_sum,I6066_8_avg,I6066_9_sum,I6066_9_avg,I6066_10_sum,I6066_10_avg,I6066_11_sum,I6066_11_avg,I6066_12_sum,I6066_12_avg
India,Rajasthan,8,"Financial Year (Apr - Mar), 2018",EAG+1 States,29667992.0,29667992.0,27964304.0,27964304.0,13305972.0,13305972.0,19643184.0,19643184.0,0.0,0.0,315528.0,315528.0,0.0,0.0,0.0,0.0,27717932.0,27717932.0
India,Rajasthan,8,"Financial Year (Apr - Mar), 2019",EAG+1 States,29091681.0,29091681.0,28765451.0,28765451.0,14736998.0,14736998.0,14836671.0,14836671.0,0.0,0.0,420103.0,420103.0,0.0,0.0,0.0,0.0,33587689.0,33587689.0
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2015",EAG+1 States,2686.0,2686.0,4378.0,4378.0,1486.0,1486.0,430.0,430.0,6.0,6.0,49.0,49.0,1039.0,1039.0,273.0,273.0,3105.0,3105.0
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2016",EAG+1 States,30303063.0,30303063.0,53020412.0,53020412.0,20769220.0,20769220.0,4103898.0,4103898.0,8740.0,8740.0,512123.0,512123.0,10607005.0,10607005.0,2693287.0,2693287.0,35820554.0,35820554.0
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2017",EAG+1 States,33780651.0,33780651.0,48283271.0,48283271.0,26299263.0,26299263.0,5717406.0,5717406.0,115268.0,115268.0,544019.0,544019.0,11695486.0,11695486.0,4286500.0,4286500.0,38322498.0,38322498.0
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2018",EAG+1 States,36544823.0,36544823.0,53536599.0,53536599.0,28695905.0,28695905.0,5412886.0,5412886.0,95801.0,95801.0,615072.0,615072.0,12126036.0,12126036.0,4498120.0,4498120.0,39498222.0,39498222.0
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2019",EAG+1 States,41046196.0,41046196.0,50891538.0,50891538.0,35701217.0,35701217.0,5569761.0,5569761.0,98312.0,98312.0,605149.0,605149.0,11893472.0,11893472.0,4517329.0,4517329.0,49249822.0,49249822.0
India,Bihar,10,"Financial Year (Apr - Mar), 2015",EAG+1 States,1917.0,1917.0,1737.0,1737.0,474.0,474.0,79.0,79.0,0.0,0.0,2.0,2.0,330.0,330.0,4.0,4.0,29.0,29.0
India,Bihar,10,"Financial Year (Apr - Mar), 2016",EAG+1 States,20730954.0,20730954.0,24365340.0,24365340.0,4630112.0,4630112.0,869161.0,869161.0,0.0,0.0,31098.0,31098.0,3864082.0,3864082.0,36353.0,36353.0,401908.0,401908.0
India,Bihar,10,"Financial Year (Apr - Mar), 2017",EAG+1 States,20713631.0,20713631.0,27447856.0,27447856.0,7194319.0,7194319.0,1017346.0,1017346.0,-81736.0,-81736.0,36216.0,36216.0,4963246.0,4963246.0,35129.0,35129.0,489432.0,489432.0
India,Bihar,10,"Financial Year (Apr - Mar), 2018",EAG+1 States,23333038.0,23333038.0,33522365.0,33522365.0,7324162.0,7324162.0,1113161.0,1113161.0,435444.0,435444.0,35860.0,35860.0,6628030.0,6628030.0,317892.0,317892.0,468247.0,468247.0
India,Bihar,10,"Financial Year (Apr - Mar), 2019",EAG+1 States,26788321.0,26788321.0,32391572.0,32391572.0,9189967.0,9189967.0,1435559.0,1435559.0,-2236.0,-2236.0,35154.0,35154.0,6265497.0,6265497.0,146977.0,146977.0,487405.0,487405.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2015",North East States,174.0,174.0,36.0,36.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0,1.0,10.0,10.0,0.0,0.0,7.0,7.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2016",North East States,1861427.0,1861427.0,421741.0,421741.0,10196.0,10196.0,349267.0,349267.0,-533.0,-533.0,5075.0,5075.0,108022.0,108022.0,0.0,0.0,64206.0,64206.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2017",North East States,3692755.0,3692755.0,405213.0,405213.0,35074.0,35074.0,321157.0,321157.0,0.0,0.0,4790.0,4790.0,99206.0,99206.0,0.0,0.0,58806.0,58806.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2018",North East States,2028710.0,2028710.0,999374.0,999374.0,19361.0,19361.0,846512.0,846512.0,0.0,0.0,3708.0,3708.0,111965.0,111965.0,0.0,0.0,59539.0,59539.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2019",North East States,2624081.0,2624081.0,865312.0,865312.0,10018.0,10018.0,496005.0,496005.0,0.0,0.0,16567.0,16567.0,154588.0,154588.0,0.0,0.0,85363.0,85363.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2015",North East States,165.0,165.0,226.0,226.0,5.0,5.0,68.0,68.0,26.0,26.0,2.0,2.0,5.0,5.0,0.0,0.0,19.0,19.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2016",North East States,2160082.0,2160082.0,3036579.0,3036579.0,651168.0,651168.0,939709.0,939709.0,148954.0,148954.0,17400.0,17400.0,40625.0,40625.0,0.0,0.0,77638.0,77638.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017",North East States,1858409.0,1858409.0,4250714.0,4250714.0,678015.0,678015.0,1223754.0,1223754.0,1155003.0,1155003.0,20653.0,20653.0,45086.0,45086.0,0.0,0.0,120648.0,120648.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2018",North East States,2332203.0,2332203.0,4032714.0,4032714.0,1837395.0,1837395.0,1129791.0,1129791.0,1588587.0,1588587.0,19901.0,19901.0,80514.0,80514.0,0.0,0.0,155047.0,155047.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2019",North East States,3430065.0,3430065.0,4628654.0,4628654.0,77328.0,77328.0,1202599.0,1202599.0,513690.0,513690.0,9240.0,9240.0,80289.0,80289.0,0.0,0.0,92186.0,92186.0
India,Nagaland,13,"Financial Year (Apr - Mar), 2015",North East States,202.0,202.0,107.0,107.0,5.0,5.0,127.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0
India,Nagaland,13,"Financial Year (Apr - Mar), 2016",North East States,2422957.0,2422957.0,1069033.0,1069033.0,30464.0,30464.0,1175419.0,1175419.0,0.0,0.0,0.0,0.0,243808.0,243808.0,0.0,0.0,14398.0,14398.0
India,Nagaland,13,"Financial Year (Apr - Mar), 2017",North East States,2553649.0,2553649.0,1806445.0,1806445.0,38402.0,38402.0,1407590.0,1407590.0,0.0,0.0,0.0,0.0,264365.0,264365.0,0.0,0.0,11182.0,11182.0
India,Nagaland,13,"Financial Year (Apr - Mar), 2018",North East States,2896475.0,2896475.0,1399254.0,1399254.0,43026.0,43026.0,1543457.0,1543457.0,0.0,0.0,0.0,0.0,322848.0,322848.0,0.0,0.0,24728.0,24728.0
India,Nagaland,13,"Financial Year (Apr - Mar), 2019",North East States,3858016.0,3858016.0,1519497.0,1519497.0,42564.0,42564.0,899310.0,899310.0,0.0,0.0,0.0,0.0,346912.0,346912.0,0.0,0.0,13181.0,13181.0
India,Manipur,14,"Financial Year (Apr - Mar), 2015",North East States,,,,,,,,,,,,,,,,,,
India,Manipur,14,"Financial Year (Apr - Mar), 2016",North East States,1151413.0,1151413.0,1999546.0,1999546.0,662864.0,662864.0,760725.0,760725.0,24224.0,24224.0,1915.0,1915.0,110801.0,110801.0,0.0,0.0,80469.0,80469.0
India,Manipur,14,"Financial Year (Apr - Mar), 2017",North East States,1078454.0,1078454.0,3006291.0,3006291.0,952408.0,952408.0,502760.0,502760.0,28278.0,28278.0,1879.0,1879.0,92801.0,92801.0,0.0,0.0,139581.0,139581.0
India,Manipur,14,"Financial Year (Apr - Mar), 2018",North East States,897498.0,897498.0,3298171.0,3298171.0,51387.0,51387.0,459079.0,459079.0,21903.0,21903.0,1792.0,1792.0,110391.0,110391.0,0.0,0.0,86210.0,86210.0
India,Manipur,14,"Financial Year (Apr - Mar), 2019",North East States,905950.0,905950.0,3919869.0,3919869.0,1138346.0,1138346.0,418699.0,418699.0,24173.0,24173.0,1359.0,1359.0,123462.0,123462.0,0.0,0.0,87728.0,87728.0
India,Mizoram,15,"Financial Year (Apr - Mar), 2015",North East States,106.0,106.0,98.0,98.0,3.0,3.0,134.0,134.0,6.0,6.0,1.0,1.0,26.0,26.0,0.0,0.0,5.0,5.0
India,Mizoram,15,"Financial Year (Apr - Mar), 2016",North East States,1515059.0,1515059.0,986057.0,986057.0,13333.0,13333.0,1135830.0,1135830.0,38766.0,38766.0,6917.0,6917.0,237852.0,237852.0,4577.0,4577.0,51627.0,51627.0
India,Mizoram,15,"Financial Year (Apr - Mar), 2017",North East States,1648728.0,1648728.0,1335649.0,1335649.0,500826.0,500826.0,1486964.0,1486964.0,227874.0,227874.0,8318.0,8318.0,274963.0,274963.0,5171.0,5171.0,50584.0,50584.0
India,Mizoram,15,"Financial Year (Apr - Mar), 2018",North East States,1878349.0,1878349.0,1233076.0,1233076.0,250854.0,250854.0,1734459.0,1734459.0,364410.0,364410.0,4053.0,4053.0,302023.0,302023.0,5976.0,5976.0,46283.0,46283.0
India,Mizoram,15,"Financial Year (Apr - Mar), 2019",North East States,1925259.0,1925259.0,1351989.0,1351989.0,515680.0,515680.0,1595699.0,1595699.0,5590.0,5590.0,8046.0,8046.0,375777.0,375777.0,5489.0,5489.0,48541.0,48541.0
India,Tripura,16,"Financial Year (Apr - Mar), 2015",North East States,266.0,266.0,102.0,102.0,29.0,29.0,45.0,45.0,3.0,3.0,0.0,0.0,0.0,0.0,35.0,35.0,129.0,129.0
India,Tripura,16,"Financial Year (Apr - Mar), 2016",North East States,3208635.0,3208635.0,1154301.0,1154301.0,331581.0,331581.0,482008.0,482008.0,13381.0,13381.0,0.0,0.0,0.0,0.0,90560.0,90560.0,1621672.0,1621672.0
India,Tripura,16,"Financial Year (Apr - Mar), 2017",North East States,3752090.0,3752090.0,1333073.0,1333073.0,106512.0,106512.0,702119.0,702119.0,2559.0,2559.0,31000.0,31000.0,0.0,0.0,324220.0,324220.0,1594934.0,1594934.0
India,Tripura,16,"Financial Year (Apr - Mar), 2018",North East States,4300090.0,4300090.0,1421656.0,1421656.0,113464.0,113464.0,779163.0,779163.0,40.0,40.0,19308.0,19308.0,0.0,0.0,178206.0,178206.0,2486245.0,2486245.0
India,Tripura,16,"Financial Year (Apr - Mar), 2019",North East States,4211150.0,4211150.0,1442338.0,1442338.0,118258.0,118258.0,828821.0,828821.0,78106.0,78106.0,28498.0,28498.0,0.0,0.0,69589.0,69589.0,2220698.0,2220698.0
India,Meghalaya,17,"Financial Year (Apr - Mar), 2015",North East States,234.0,234.0,137.0,137.0,4.0,4.0,32.0,32.0,155.0,155.0,0.0,0.0,27.0,27.0,8.0,8.0,8.0,8.0
India,Meghalaya,17,"Financial Year (Apr - Mar), 2016",North East States,2511152.0,2511152.0,1450017.0,1450017.0,52681.0,52681.0,340345.0,340345.0,2129125.0,2129125.0,3550.0,3550.0,288816.0,288816.0,20193.0,20193.0,74778.0,74778.0
India,Meghalaya,17,"Financial Year (Apr - Mar), 2017",North East States,5446772.0,5446772.0,3446268.0,3446268.0,116655.0,116655.0,1208907.0,1208907.0,2934820.0,2934820.0,7462.0,7462.0,684659.0,684659.0,37391.0,37391.0,166709.0,166709.0
India,Meghalaya,17,"Financial Year (Apr - Mar), 2018",North East States,4586734.0,4586734.0,2260519.0,2260519.0,169055.0,169055.0,613418.0,613418.0,2411566.0,2411566.0,4990.0,4990.0,429842.0,429842.0,67841.0,67841.0,108654.0,108654.0
India,Meghalaya,17,"Financial Year (Apr - Mar), 2019",North East States,3117258.0,3117258.0,2229958.0,2229958.0,71004.0,71004.0,491883.0,491883.0,2143326.0,2143326.0,5070.0,5070.0,430386.0,430386.0,53403.0,53403.0,115885.0,115885.0
India,Assam,18,"Financial Year (Apr - Mar), 2015",EAG+1 States,292.0,292.0,1727.0,1727.0,411.0,411.0,180.0,180.0,28.0,28.0,3.0,3.0,170.0,170.0,14.0,14.0,37.0,37.0
India,Assam,18,"Financial Year (Apr - Mar), 2016",EAG+1 States,3319106.0,3319106.0,15941540.0,15941540.0,8232115.0,8232115.0,1770284.0,1770284.0,124564.0,124564.0,30736.0,30736.0,1953073.0,1953073.0,196515.0,196515.0,399837.0,399837.0
India,Assam,18,"Financial Year (Apr - Mar), 2017",EAG+1 States,3535706.0,3535706.0,29422825.0,29422825.0,6468514.0,6468514.0,1814153.0,1814153.0,151860.0,151860.0,48968.0,48968.0,2374524.0,2374524.0,162788.0,162788.0,437621.0,437621.0
India,Assam,18,"Financial Year (Apr - Mar), 2018",EAG+1 States,4007036.0,4007036.0,30948977.0,30948977.0,6388210.0,6388210.0,1789286.0,1789286.0,156055.0,156055.0,44975.0,44975.0,2469271.0,2469271.0,174044.0,174044.0,445262.0,445262.0
India,Assam,18,"Financial Year (Apr - Mar), 2019",EAG+1 States,4423527.0,4423527.0,35330211.0,35330211.0,8285289.0,8285289.0,1893122.0,1893122.0,139215.0,139215.0,44856.0,44856.0,2559654.0,2559654.0,190118.0,190118.0,476608.0,476608.0
India,West Bengal,19,"Financial Year (Apr - Mar), 2015",Major (Non EAG States),3910.0,3910.0,2429.0,2429.0,610.0,610.0,288.0,288.0,-2.0,-2.0,0.0,0.0,177.0,177.0,0.0,0.0,447.0,447.0
India,West Bengal,19,"Financial Year (Apr - Mar), 2016",Major (Non EAG States),35212844.0,35212844.0,25014709.0,25014709.0,8071542.0,8071542.0,7549897.0,7549897.0,117851.0,117851.0,0.0,0.0,1723279.0,1723279.0,0.0,0.0,4933225.0,4933225.0
India,West Bengal,19,"Financial Year (Apr - Mar), 2017",Major (Non EAG States),36418882.0,36418882.0,30477621.0,30477621.0,8332096.0,8332096.0,6390413.0,6390413.0,-268823.0,-268823.0,0.0,0.0,2046100.0,2046100.0,0.0,0.0,5162254.0,5162254.0
India,West Bengal,19,"Financial Year (Apr - Mar), 2018",Major (Non EAG States),39339221.0,39339221.0,34620084.0,34620084.0,12255697.0,12255697.0,2695219.0,2695219.0,-328204.0,-328204.0,0.0,0.0,2468227.0,2468227.0,0.0,0.0,5725981.0,5725981.0
India,West Bengal,19,"Financial Year (Apr - Mar), 2019",Major (Non EAG States),42610851.0,42610851.0,37218450.0,37218450.0,10890868.0,10890868.0,7083422.0,7083422.0,-14320.0,-14320.0,0.0,0.0,3157320.0,3157320.0,0.0,0.0,6441434.0,6441434.0
India,Jharkhand,20,"Financial Year (Apr - Mar), 2015",EAG+1 States,1466.0,1466.0,329.0,329.0,202.0,202.0,101.0,101.0,0.0,0.0,1.0,1.0,60.0,60.0,3.0,3.0,12.0,12.0
