Country,StateName,StateCode,Year,Number_of_previously_treated_TB_patients_notified_under_public_sector_sum,Number_of_previously_treated_TB_patients_notified_under_public_sector_avg,Number_of_persons_cured_sum,Number_of_persons_cured_avg,Percentage_of_cure_rate_sum,Percentage_of_cure_rate_avg,Number_of_persons_treated_successfully_sum,Number_of_persons_treated_successfully_avg,Percentage_of_success_rate_sum,Percentage_of_success_rate_avg,Number_of_persons_died_sum,Number_of_persons_died_avg,Percentage_of_death_rate_sum,Percentage_of_death_rate_avg,Number_of_persons_who_do_not_return_for_necessary_follow-up_visits_sum,Number_of_persons_who_do_not_return_for_necessary_follow-up_visits_avg,Percentage_of_lost_to_follow_up_sum,Percentage_of_lost_to_follow_up_avg,Number_of_persons_for_whom_the_treatment_was_a_failure_sum,Number_of_persons_for_whom_the_treatment_was_a_failure_avg,Percentage_of_treatment_failure_rate_sum,Percentage_of_treatment_failure_rate_avg,Number_of_persons_for_whom_the_treatment_regimen_has_to_change_sum,Number_of_persons_for_whom_the_treatment_regimen_has_to_change_avg,Percentage_of_regimen_change_sum,Percentage_of_regimen_change_avg,Number_of_persons_whose_treatments_is_not_clear_sum,Number_of_persons_whose_treatments_is_not_clear_avg,Percentage_of_not_evaluated_sum,Percentage_of_not_evaluated_avg,Number_of_bacteriologically_confirmed_TB_patients_sum,Number_of_bacteriologically_confirmed_TB_patients_avg
India,Puducherry,34,"Calendar Year (Jan - Dec), 2020",132.0,132.0,67.0,67.0,57.0,57.0,90.0,90.0,68.0,68.0,14.0,14.0,10.6,10.6,10.0,10.0,7.6,7.6,5.0,5.0,3.8,3.8,8.0,8.0,6.1,6.1,0.0,0.0,0.0,0.0,118.0,118.0
India,Puducherry,34,"Calendar Year (Jan - Dec), 2021",117.0,117.0,49.0,49.0,41.9,41.9,79.0,79.0,67.5,67.5,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,13.0,13.0,11.1,11.1,5.0,5.0,4.3,4.3,0.0,0.0,0.0,0.0,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2022",224.0,224.0,115.0,115.0,51.3,51.3,183.0,183.0,81.7,81.7,12.0,12.0,5.4,5.4,10.0,10.0,4.5,4.5,8.0,8.0,3.6,3.6,4.0,4.0,1.8,1.8,0.0,0.0,0.0,0.0,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2017",87.0,87.0,37.0,37.0,43.0,43.0,83.0,83.0,95.0,95.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,,,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2018",55.0,55.0,17.0,17.0,46.0,46.0,46.0,46.0,84.0,84.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,6.0,11.0,11.0,37.0,37.0
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2019",46.0,46.0,18.0,18.0,60.0,60.0,40.0,40.0,87.0,87.0,1.0,1.0,2.2,2.2,1.0,1.0,2.2,2.2,0.0,0.0,0.0,0.0,1.0,1.0,2.2,2.2,3.0,3.0,6.5,6.5,30.0,30.0
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2020",42.0,42.0,17.0,17.0,61.0,61.0,35.0,35.0,83.0,83.0,1.0,1.0,2.4,2.4,2.0,2.0,4.8,4.8,0.0,0.0,0.0,0.0,2.0,2.0,4.8,4.8,0.0,0.0,0.0,0.0,28.0,28.0
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2021",35.0,35.0,16.0,16.0,45.7,45.7,30.0,30.0,85.7,85.7,1.0,1.0,2.9,2.9,2.0,2.0,5.7,5.7,0.0,0.0,0.0,0.0,1.0,1.0,2.9,2.9,0.0,0.0,0.0,0.0,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2022",62.0,62.0,32.0,32.0,51.6,51.6,54.0,54.0,87.1,87.1,1.0,1.0,1.6,1.6,2.0,2.0,3.2,3.2,2.0,2.0,3.2,3.2,3.0,3.0,4.8,4.8,0.0,0.0,0.0,0.0,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2017",6942.0,6942.0,3301.0,3301.0,48.0,48.0,5058.0,5058.0,73.0,73.0,480.0,480.0,7.0,7.0,451.0,451.0,6.0,6.0,216.0,216.0,3.0,3.0,183.0,183.0,3.0,3.0,554.0,554.0,,,,
