Country,StateName,StateCode,Year,Number_of_previously_treated_TB_patients_notified_under_public_sector_sum,Number_of_previously_treated_TB_patients_notified_under_public_sector_avg,Number_of_persons_cured_sum,Number_of_persons_cured_avg,Percentage_of_cure_rate_sum,Percentage_of_cure_rate_avg,Number_of_persons_treated_successfully_sum,Number_of_persons_treated_successfully_avg,Percentage_of_success_rate_sum,Percentage_of_success_rate_avg,Number_of_persons_died_sum,Number_of_persons_died_avg,Percentage_of_death_rate_sum,Percentage_of_death_rate_avg,Number_of_persons_who_do_not_return_for_necessary_follow-up_visits_sum,Number_of_persons_who_do_not_return_for_necessary_follow-up_visits_avg,Percentage_of_lost_to_follow_up_sum,Percentage_of_lost_to_follow_up_avg,Number_of_persons_for_whom_the_treatment_was_a_failure_sum,Number_of_persons_for_whom_the_treatment_was_a_failure_avg,Percentage_of_treatment_failure_rate_sum,Percentage_of_treatment_failure_rate_avg,Number_of_persons_for_whom_the_treatment_regimen_has_to_change_sum,Number_of_persons_for_whom_the_treatment_regimen_has_to_change_avg,Percentage_of_regimen_change_sum,Percentage_of_regimen_change_avg,Number_of_persons_whose_treatments_is_not_clear_sum,Number_of_persons_whose_treatments_is_not_clear_avg,Percentage_of_not_evaluated_sum,Percentage_of_not_evaluated_avg,Number_of_bacteriologically_confirmed_TB_patients_sum,Number_of_bacteriologically_confirmed_TB_patients_avg
India,Tripura,16,"Calendar Year (Jan - Dec), 2020",243.0,243.0,110.0,110.0,64.0,64.0,191.0,191.0,79.0,79.0,17.0,17.0,7.0,7.0,9.0,9.0,3.7,3.7,0.0,0.0,0.0,0.0,7.0,7.0,2.9,2.9,4.0,4.0,1.6,1.6,171.0,171.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2021",256.0,256.0,109.0,109.0,42.6,42.6,204.0,204.0,79.7,79.7,25.0,25.0,9.8,9.8,5.0,5.0,2.0,2.0,2.0,2.0,0.8,0.8,5.0,5.0,2.0,2.0,3.0,3.0,1.2,1.2,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2022",450.0,450.0,204.0,204.0,45.3,45.3,384.0,384.0,85.3,85.3,27.0,27.0,6.0,6.0,14.0,14.0,3.1,3.1,2.0,2.0,0.4,0.4,6.0,6.0,1.3,1.3,0.0,0.0,0.0,0.0,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2017",336.0,336.0,102.0,102.0,30.0,30.0,168.0,168.0,50.0,50.0,15.0,15.0,4.0,4.0,24.0,24.0,7.0,7.0,4.0,4.0,1.0,1.0,5.0,5.0,1.0,1.0,120.0,120.0,,,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2018",459.0,459.0,189.0,189.0,60.0,60.0,363.0,363.0,79.0,79.0,19.0,19.0,4.0,4.0,15.0,15.0,3.0,3.0,8.0,8.0,2.0,2.0,18.0,18.0,4.0,4.0,36.0,36.0,8.0,8.0,317.0,317.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2019",442.0,442.0,165.0,165.0,55.0,55.0,341.0,341.0,77.0,77.0,21.0,21.0,4.8,4.8,21.0,21.0,4.8,4.8,8.0,8.0,1.8,1.8,15.0,15.0,3.4,3.4,36.0,36.0,8.1,8.1,301.0,301.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2020",368.0,368.0,133.0,133.0,53.0,53.0,283.0,283.0,77.0,77.0,19.0,19.0,5.2,5.2,14.0,14.0,3.8,3.8,10.0,10.0,2.7,2.7,10.0,10.0,2.7,2.7,8.0,8.0,2.2,2.2,252.0,252.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2021",371.0,371.0,136.0,136.0,36.7,36.7,296.0,296.0,79.8,79.8,23.0,23.0,6.2,6.2,16.0,16.0,4.3,4.3,8.0,8.0,2.2,2.2,9.0,9.0,2.4,2.4,1.0,1.0,0.3,0.3,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2022",415.0,415.0,186.0,186.0,44.8,44.8,327.0,327.0,78.8,78.8,14.0,14.0,3.4,3.4,13.0,13.0,3.1,3.1,6.0,6.0,1.4,1.4,12.0,12.0,2.9,2.9,5.0,5.0,1.2,1.2,,
India,Assam,18,"Calendar Year (Jan - Dec), 2017",4169.0,4169.0,1418.0,1418.0,34.0,34.0,2636.0,2636.0,63.0,63.0,256.0,256.0,6.0,6.0,355.0,355.0,9.0,9.0,71.0,71.0,2.0,2.0,84.0,84.0,2.0,2.0,767.0,767.0,,,,
India,Assam,18,"Calendar Year (Jan - Dec), 2018",4739.0,4739.0,1669.0,1669.0,60.0,60.0,3929.0,3929.0,83.0,83.0,223.0,223.0,5.0,5.0,280.0,280.0,6.0,6.0,41.0,41.0,1.0,1.0,63.0,63.0,1.0,1.0,203.0,203.0,4.0,4.0,2776.0,2776.0
India,Assam,18,"Calendar Year (Jan - Dec), 2019",4933.0,4933.0,1529.0,1529.0,58.0,58.0,3985.0,3985.0,81.0,81.0,239.0,239.0,4.8,4.8,176.0,176.0,3.6,3.6,30.0,30.0,0.6,0.6,86.0,86.0,1.7,1.7,417.0,417.0,8.5,8.5,2649.0,2649.0
India,Assam,18,"Calendar Year (Jan - Dec), 2020",3590.0,3590.0,1080.0,1080.0,57.0,57.0,2945.0,2945.0,82.0,82.0,162.0,162.0,4.5,4.5,81.0,81.0,2.3,2.3,27.0,27.0,0.8,0.8,68.0,68.0,1.9,1.9,134.0,134.0,3.7,3.7,1898.0,1898.0
India,Assam,18,"Calendar Year (Jan - Dec), 2021",3333.0,3333.0,937.0,937.0,28.1,28.1,2880.0,2880.0,86.4,86.4,158.0,158.0,4.7,4.7,66.0,66.0,2.0,2.0,34.0,34.0,1.0,1.0,44.0,44.0,1.3,1.3,21.0,21.0,0.6,0.6,,
India,Assam,18,"Calendar Year (Jan - Dec), 2022",3968.0,3968.0,970.0,970.0,24.4,24.4,3053.0,3053.0,76.9,76.9,144.0,144.0,3.6,3.6,69.0,69.0,1.7,1.7,24.0,24.0,0.6,0.6,73.0,73.0,1.8,1.8,19.0,19.0,0.5,0.5,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2017",10101.0,10101.0,5452.0,5452.0,54.0,54.0,7095.0,7095.0,70.0,70.0,710.0,710.0,7.0,7.0,1055.0,1055.0,10.0,10.0,260.0,260.0,3.0,3.0,322.0,322.0,3.0,3.0,659.0,659.0,,,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2018",11225.0,11225.0,6137.0,6137.0,65.0,65.0,8758.0,8758.0,78.0,78.0,762.0,762.0,7.0,7.0,705.0,705.0,6.0,6.0,201.0,201.0,2.0,2.0,235.0,235.0,2.0,2.0,564.0,564.0,5.0,5.0,9501.0,9501.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2019",10792.0,10792.0,5297.0,5297.0,63.0,63.0,8331.0,8331.0,77.0,77.0,633.0,633.0,5.9,5.9,459.0,459.0,4.3,4.3,175.0,175.0,1.6,1.6,302.0,302.0,2.8,2.8,892.0,892.0,8.3,8.3,8471.0,8471.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2020",8313.0,8313.0,4207.0,4207.0,65.0,65.0,6534.0,6534.0,79.0,79.0,559.0,559.0,6.7,6.7,282.0,282.0,3.4,3.4,133.0,133.0,1.6,1.6,271.0,271.0,3.3,3.3,120.0,120.0,1.4,1.4,6484.0,6484.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2021",8656.0,8656.0,4492.0,4492.0,51.9,51.9,6970.0,6970.0,80.5,80.5,507.0,507.0,5.9,5.9,235.0,235.0,2.7,2.7,156.0,156.0,1.8,1.8,245.0,245.0,2.8,2.8,77.0,77.0,0.9,0.9,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2022",8634.0,8634.0,4085.0,4085.0,47.3,47.3,6578.0,6578.0,76.2,76.2,419.0,419.0,4.9,4.9,215.0,215.0,2.5,2.5,111.0,111.0,1.3,1.3,281.0,281.0,3.3,3.3,138.0,138.0,1.6,1.6,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2017",4041.0,4041.0,1440.0,1440.0,36.0,36.0,2917.0,2917.0,72.0,72.0,138.0,138.0,3.0,3.0,174.0,174.0,4.0,4.0,40.0,40.0,1.0,1.0,42.0,42.0,1.0,1.0,730.0,730.0,,,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2018",4331.0,4331.0,1716.0,1716.0,63.0,63.0,3707.0,3707.0,86.0,86.0,167.0,167.0,4.0,4.0,144.0,144.0,3.0,3.0,37.0,37.0,1.0,1.0,42.0,42.0,1.0,1.0,234.0,234.0,5.0,5.0,2721.0,2721.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2019",3368.0,3368.0,999.0,999.0,48.0,48.0,2555.0,2555.0,76.0,76.0,113.0,113.0,3.4,3.4,99.0,99.0,2.9,2.9,31.0,31.0,0.9,0.9,41.0,41.0,1.2,1.2,529.0,529.0,15.7,15.7,2070.0,2070.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2020",2711.0,2711.0,785.0,785.0,49.0,49.0,2197.0,2197.0,81.0,81.0,83.0,83.0,3.1,3.1,61.0,61.0,2.3,2.3,20.0,20.0,0.7,0.7,38.0,38.0,1.4,1.4,89.0,89.0,3.3,3.3,1589.0,1589.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2021",3191.0,3191.0,1018.0,1018.0,31.9,31.9,2720.0,2720.0,85.2,85.2,96.0,96.0,3.0,3.0,82.0,82.0,2.6,2.6,26.0,26.0,0.8,0.8,31.0,31.0,1.0,1.0,56.0,56.0,1.8,1.8,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2022",5179.0,5179.0,1054.0,1054.0,20.4,20.4,3750.0,3750.0,72.4,72.4,98.0,98.0,1.9,1.9,98.0,98.0,1.9,1.9,33.0,33.0,0.6,0.6,26.0,26.0,0.5,0.5,149.0,149.0,2.9,2.9,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2017",7298.0,7298.0,2592.0,2592.0,36.0,36.0,3587.0,3587.0,49.0,49.0,422.0,422.0,6.0,6.0,456.0,456.0,6.0,6.0,91.0,91.0,1.0,1.0,101.0,101.0,1.0,1.0,2641.0,2641.0,,,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2018",5645.0,5645.0,2863.0,2863.0,67.0,67.0,4535.0,4535.0,80.0,80.0,445.0,445.0,8.0,8.0,367.0,367.0,7.0,7.0,45.0,45.0,1.0,1.0,80.0,80.0,1.0,1.0,173.0,173.0,3.0,3.0,4244.0,4244.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2019",4423.0,4423.0,2122.0,2122.0,70.0,70.0,3692.0,3692.0,83.0,83.0,293.0,293.0,6.6,6.6,153.0,153.0,3.5,3.5,35.0,35.0,0.8,0.8,79.0,79.0,1.8,1.8,171.0,171.0,3.9,3.9,3046.0,3046.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2020",3561.0,3561.0,1751.0,1751.0,72.0,72.0,3038.0,3038.0,85.0,85.0,254.0,254.0,7.1,7.1,80.0,80.0,2.2,2.2,23.0,23.0,0.6,0.6,46.0,46.0,1.3,1.3,43.0,43.0,1.2,1.2,2446.0,2446.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2021",3767.0,3767.0,1693.0,1693.0,44.9,44.9,3244.0,3244.0,86.1,86.1,304.0,304.0,8.1,8.1,54.0,54.0,1.4,1.4,13.0,13.0,0.3,0.3,48.0,48.0,1.3,1.3,26.0,26.0,0.7,0.7,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2022",4046.0,4046.0,1632.0,1632.0,40.3,40.3,3290.0,3290.0,81.3,81.3,201.0,201.0,5.0,5.0,45.0,45.0,1.1,1.1,18.0,18.0,0.4,0.4,48.0,48.0,1.2,1.2,26.0,26.0,0.6,0.6,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2017",3289.0,3289.0,1385.0,1385.0,42.0,42.0,2578.0,2578.0,78.0,78.0,235.0,235.0,7.0,7.0,235.0,235.0,7.0,7.0,84.0,84.0,3.0,3.0,82.0,82.0,2.0,2.0,75.0,75.0,,,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2018",3080.0,3080.0,1422.0,1422.0,69.0,69.0,2495.0,2495.0,81.0,81.0,207.0,207.0,7.0,7.0,154.0,154.0,5.0,5.0,49.0,49.0,2.0,2.0,59.0,59.0,2.0,2.0,116.0,116.0,4.0,4.0,2070.0,2070.0
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2019",3077.0,3077.0,1222.0,1222.0,68.0,68.0,2496.0,2496.0,81.0,81.0,169.0,169.0,5.5,5.5,101.0,101.0,3.3,3.3,35.0,35.0,1.1,1.1,68.0,68.0,2.2,2.2,208.0,208.0,6.8,6.8,1804.0,1804.0
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2020",2129.0,2129.0,853.0,853.0,68.0,68.0,1800.0,1800.0,85.0,85.0,124.0,124.0,5.8,5.8,57.0,57.0,2.7,2.7,18.0,18.0,0.8,0.8,42.0,42.0,2.0,2.0,49.0,49.0,2.3,2.3,1263.0,1263.0
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2021",2370.0,2370.0,988.0,988.0,41.7,41.7,1996.0,1996.0,84.2,84.2,134.0,134.0,5.7,5.7,45.0,45.0,1.9,1.9,30.0,30.0,1.3,1.3,41.0,41.0,1.7,1.7,59.0,59.0,2.5,2.5,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2022",3873.0,3873.0,1465.0,1465.0,37.8,37.8,3367.0,3367.0,86.9,86.9,153.0,153.0,4.0,4.0,85.0,85.0,2.2,2.2,25.0,25.0,0.6,0.6,62.0,62.0,1.6,1.6,11.0,11.0,0.3,0.3,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2017",15344.0,15344.0,6575.0,6575.0,43.0,43.0,11601.0,11601.0,76.0,76.0,925.0,925.0,6.0,6.0,1322.0,1322.0,9.0,9.0,308.0,308.0,2.0,2.0,361.0,361.0,2.0,2.0,827.0,827.0,,,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2018",16751.0,16751.0,6943.0,6943.0,62.0,62.0,13719.0,13719.0,82.0,82.0,850.0,850.0,5.0,5.0,839.0,839.0,5.0,5.0,256.0,256.0,2.0,2.0,210.0,210.0,1.0,1.0,877.0,877.0,5.0,5.0,11220.0,11220.0
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2019",15639.0,15639.0,5379.0,5379.0,54.0,54.0,12142.0,12142.0,78.0,78.0,674.0,674.0,4.3,4.3,639.0,639.0,4.1,4.1,186.0,186.0,1.2,1.2,316.0,316.0,2.0,2.0,1682.0,1682.0,10.8,10.8,10002.0,10002.0
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2020",13782.0,13782.0,4390.0,4390.0,54.0,54.0,11114.0,11114.0,81.0,81.0,603.0,603.0,4.4,4.4,483.0,483.0,3.5,3.5,133.0,133.0,1.0,1.0,304.0,304.0,2.2,2.2,441.0,441.0,3.2,3.2,8056.0,8056.0
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2021",16726.0,16726.0,4929.0,4929.0,29.5,29.5,14015.0,14015.0,83.8,83.8,756.0,756.0,4.5,4.5,558.0,558.0,3.3,3.3,202.0,202.0,1.2,1.2,319.0,319.0,1.9,1.9,319.0,319.0,1.9,1.9,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2022",18940.0,18940.0,5405.0,5405.0,28.5,28.5,14956.0,14956.0,79.0,79.0,703.0,703.0,3.7,3.7,483.0,483.0,2.6,2.6,201.0,201.0,1.1,1.1,315.0,315.0,1.7,1.7,104.0,104.0,0.5,0.5,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2017",18607.0,18607.0,10400.0,10400.0,56.0,56.0,12978.0,12978.0,70.0,70.0,1790.0,1790.0,10.0,10.0,1487.0,1487.0,8.0,8.0,639.0,639.0,3.0,3.0,861.0,861.0,5.0,5.0,852.0,852.0,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2018",22939.0,22939.0,10738.0,10738.0,65.0,65.0,17216.0,17216.0,75.0,75.0,1811.0,1811.0,8.0,8.0,1102.0,1102.0,5.0,5.0,505.0,505.0,2.0,2.0,772.0,772.0,3.0,3.0,1533.0,1533.0,7.0,7.0,16433.0,16433.0
India,Gujarat,24,"Calendar Year (Jan - Dec), 2019",24248.0,24248.0,10727.0,10727.0,69.0,69.0,19285.0,19285.0,80.0,80.0,1612.0,1612.0,6.6,6.6,666.0,666.0,2.7,2.7,547.0,547.0,2.3,2.3,1151.0,1151.0,4.7,4.7,987.0,987.0,4.1,4.1,15527.0,15527.0
India,Gujarat,24,"Calendar Year (Jan - Dec), 2020",20102.0,20102.0,8828.0,8828.0,75.0,75.0,16496.0,16496.0,82.0,82.0,1333.0,1333.0,6.6,6.6,318.0,318.0,1.6,1.6,409.0,409.0,2.0,2.0,912.0,912.0,4.5,4.5,41.0,41.0,0.2,0.2,11756.0,11756.0
India,Gujarat,24,"Calendar Year (Jan - Dec), 2021",23045.0,23045.0,9748.0,9748.0,42.3,42.3,19321.0,19321.0,83.8,83.8,1514.0,1514.0,6.6,6.6,367.0,367.0,1.6,1.6,427.0,427.0,1.9,1.9,866.0,866.0,3.8,3.8,65.0,65.0,0.3,0.3,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2022",22049.0,22049.0,9502.0,9502.0,43.1,43.1,18546.0,18546.0,84.1,84.1,1244.0,1244.0,5.6,5.6,340.0,340.0,1.5,1.5,411.0,411.0,1.9,1.9,800.0,800.0,3.6,3.6,21.0,21.0,0.1,0.1,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2017",16857.0,16857.0,7468.0,7468.0,44.0,44.0,11488.0,11488.0,68.0,68.0,1125.0,1125.0,7.0,7.0,1554.0,1554.0,9.0,9.0,297.0,297.0,2.0,2.0,476.0,476.0,3.0,3.0,1917.0,1917.0,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2018",19979.0,19979.0,7249.0,7249.0,58.0,58.0,14587.0,14587.0,73.0,73.0,1462.0,1462.0,7.0,7.0,1455.0,1455.0,7.0,7.0,281.0,281.0,1.0,1.0,457.0,457.0,2.0,2.0,1737.0,1737.0,9.0,9.0,12392.0,12392.0
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2019",17359.0,17359.0,6097.0,6097.0,59.0,59.0,13467.0,13467.0,78.0,78.0,947.0,947.0,5.5,5.5,968.0,968.0,5.6,5.6,225.0,225.0,1.3,1.3,503.0,503.0,2.9,2.9,1249.0,1249.0,7.2,7.2,10286.0,10286.0
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2020",13063.0,13063.0,4687.0,4687.0,63.0,63.0,10358.0,10358.0,79.0,79.0,771.0,771.0,5.9,5.9,468.0,468.0,3.6,3.6,178.0,178.0,1.4,1.4,459.0,459.0,3.5,3.5,110.0,110.0,0.8,0.8,7415.0,7415.0
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2021",14775.0,14775.0,4929.0,4929.0,33.4,33.4,12115.0,12115.0,82.0,82.0,815.0,815.0,5.5,5.5,421.0,421.0,2.8,2.8,166.0,166.0,1.1,1.1,591.0,591.0,4.0,4.0,63.0,63.0,0.4,0.4,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2022",18416.0,18416.0,5174.0,5174.0,28.1,28.1,14659.0,14659.0,79.6,79.6,802.0,802.0,4.4,4.4,540.0,540.0,2.9,2.9,178.0,178.0,1.0,1.0,553.0,553.0,3.0,3.0,164.0,164.0,0.9,0.9,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2017",9700.0,9700.0,5506.0,5506.0,57.0,57.0,7904.0,7904.0,81.0,81.0,712.0,712.0,7.0,7.0,457.0,457.0,5.0,5.0,244.0,244.0,3.0,3.0,268.0,268.0,3.0,3.0,115.0,115.0,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2018",8916.0,8916.0,4638.0,4638.0,66.0,66.0,7411.0,7411.0,83.0,83.0,641.0,641.0,7.0,7.0,318.0,318.0,4.0,4.0,98.0,98.0,1.0,1.0,272.0,272.0,3.0,3.0,176.0,176.0,2.0,2.0,7008.0,7008.0
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2019",9817.0,9817.0,5205.0,5205.0,70.0,70.0,8270.0,8270.0,84.0,84.0,511.0,511.0,5.2,5.2,180.0,180.0,1.8,1.8,70.0,70.0,0.7,0.7,312.0,312.0,3.2,3.2,474.0,474.0,4.8,4.8,7476.0,7476.0
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2020",6835.0,6835.0,3424.0,3424.0,74.0,74.0,5888.0,5888.0,86.0,86.0,342.0,342.0,5.0,5.0,70.0,70.0,1.0,1.0,31.0,31.0,0.5,0.5,198.0,198.0,2.9,2.9,83.0,83.0,1.2,1.2,4618.0,4618.0
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2021",8492.0,8492.0,4309.0,4309.0,50.7,50.7,7600.0,7600.0,89.5,89.5,293.0,293.0,3.5,3.5,33.0,33.0,0.4,0.4,30.0,30.0,0.4,0.4,300.0,300.0,3.5,3.5,9.0,9.0,0.1,0.1,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2022",8190.0,8190.0,4029.0,4029.0,49.2,49.2,7395.0,7395.0,90.3,90.3,191.0,191.0,2.3,2.3,13.0,13.0,0.2,0.2,31.0,31.0,0.4,0.4,194.0,194.0,2.4,2.4,2.0,2.0,0.0,0.0,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2017",9691.0,9691.0,4640.0,4640.0,48.0,48.0,6369.0,6369.0,66.0,66.0,892.0,892.0,9.0,9.0,1245.0,1245.0,13.0,13.0,270.0,270.0,3.0,3.0,265.0,265.0,3.0,3.0,650.0,650.0,,,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2018",9925.0,9925.0,4730.0,4730.0,58.0,58.0,6932.0,6932.0,70.0,70.0,850.0,850.0,9.0,9.0,935.0,935.0,9.0,9.0,205.0,205.0,2.0,2.0,194.0,194.0,2.0,2.0,809.0,809.0,8.0,8.0,8093.0,8093.0
India,Karnataka,29,"Calendar Year (Jan - Dec), 2019",9339.0,9339.0,4338.0,4338.0,61.0,61.0,6883.0,6883.0,74.0,74.0,762.0,762.0,8.2,8.2,578.0,578.0,6.2,6.2,219.0,219.0,2.3,2.3,298.0,298.0,3.2,3.2,599.0,599.0,6.4,6.4,7056.0,7056.0
India,Karnataka,29,"Calendar Year (Jan - Dec), 2020",7129.0,7129.0,3657.0,3657.0,67.0,67.0,5413.0,5413.0,76.0,76.0,603.0,603.0,8.5,8.5,290.0,290.0,4.1,4.1,114.0,114.0,1.6,1.6,286.0,286.0,4.0,4.0,67.0,67.0,0.9,0.9,5429.0,5429.0
India,Karnataka,29,"Calendar Year (Jan - Dec), 2021",7050.0,7050.0,3760.0,3760.0,53.3,53.3,5469.0,5469.0,77.6,77.6,716.0,716.0,10.2,10.2,246.0,246.0,3.5,3.5,124.0,124.0,1.8,1.8,222.0,222.0,3.1,3.1,33.0,33.0,0.5,0.5,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2022",7498.0,7498.0,4136.0,4136.0,55.2,55.2,5970.0,5970.0,79.6,79.6,604.0,604.0,8.1,8.1,212.0,212.0,2.8,2.8,90.0,90.0,1.2,1.2,261.0,261.0,3.5,3.5,7.0,7.0,0.1,0.1,,
India,Goa,30,"Calendar Year (Jan - Dec), 2017",164.0,164.0,66.0,66.0,40.0,40.0,118.0,118.0,72.0,72.0,8.0,8.0,5.0,5.0,22.0,22.0,13.0,13.0,5.0,5.0,3.0,3.0,7.0,7.0,4.0,4.0,4.0,4.0,,,,
