Country,StateName,StateCode,Year,GENDER,I1227_4_sum,I1227_4_avg,I1227_5_sum,I1227_5_avg,I1227_6_sum,I1227_6_avg,I1227_7_sum,I1227_7_avg,I1227_8_sum,I1227_8_avg
India,Delhi,7,"Calendar Year (Jan - Dec), 2023",Male,41276,41276.0,29373.0,29373.0,1447.0,1447.0,71.2,71.2,3.5,3.5
India,Delhi,7,"Calendar Year (Jan - Dec), 2023",TransGender,56,56.0,47.0,47.0,0.0,0.0,83.9,83.9,0.0,0.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2021",Female,57748,57748.0,47443.0,47443.0,1221.0,1221.0,82.0,82.0,2.0,2.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2021",Male,116266,116266.0,90649.0,90649.0,4110.0,4110.0,78.0,78.0,4.0,4.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2021",TransGender,146,146.0,106.0,106.0,5.0,5.0,73.0,73.0,3.0,3.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2022",Female,45619,45619.0,38893.0,38893.0,1120.0,1120.0,85.0,85.0,2.0,2.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2022",Male,87795,87795.0,71039.0,71039.0,3495.0,3495.0,81.0,81.0,4.0,4.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2022",TransGender,46,46.0,40.0,40.0,1.0,1.0,87.0,87.0,2.0,2.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2023",Female,50998,50998.0,44597.0,44597.0,1205.0,1205.0,87.4,87.4,2.4,2.4
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2023",Male,96883,96883.0,81378.0,81378.0,3645.0,3645.0,84.0,84.0,3.8,3.8
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2023",TransGender,56,56.0,43.0,43.0,2.0,2.0,76.8,76.8,3.6,3.6
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2021",Female,198550,198550.0,166280.0,166280.0,6038.0,6038.0,84.0,84.0,3.0,3.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2021",Male,303051,303051.0,241711.0,241711.0,14492.0,14492.0,80.0,80.0,5.0,5.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2021",TransGender,450,450.0,360.0,360.0,19.0,19.0,80.0,80.0,4.0,4.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2022",Female,150653,150653.0,128972.0,128972.0,4494.0,4494.0,86.0,86.0,3.0,3.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2022",Male,212835,212835.0,174676.0,174676.0,10414.0,10414.0,82.0,82.0,5.0,5.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2022",TransGender,176,176.0,137.0,137.0,5.0,5.0,78.0,78.0,3.0,3.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2023",Female,190995,190995.0,168283.0,168283.0,4972.0,4972.0,88.1,88.1,2.6,2.6
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2023",Male,262277,262277.0,222667.0,222667.0,11523.0,11523.0,84.9,84.9,4.4,4.4
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2023",TransGender,214,214.0,186.0,186.0,5.0,5.0,86.9,86.9,2.3,2.3
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",Female,497,497.0,447.0,447.0,16.0,16.0,90.0,90.0,3.0,3.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2021",Female,44190,44190.0,33783.0,33783.0,1041.0,1041.0,76.0,76.0,2.0,2.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2021",Male,82188,82188.0,61112.0,61112.0,2267.0,2267.0,74.0,74.0,3.0,3.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2021",TransGender,122,122.0,94.0,94.0,1.0,1.0,77.0,77.0,1.0,1.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2022",Female,36546,36546.0,28995.0,28995.0,1149.0,1149.0,79.0,79.0,3.0,3.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2022",Male,63111,63111.0,48458.0,48458.0,2189.0,2189.0,77.0,77.0,3.0,3.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2022",TransGender,74,74.0,50.0,50.0,3.0,3.0,68.0,68.0,4.0,4.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2023",Female,51418,51418.0,42794.0,42794.0,1624.0,1624.0,83.2,83.2,3.2,3.2
India,Bihar,10,"Calendar Year (Jan - Dec), 2023",Male,81920,81920.0,66416.0,66416.0,3257.0,3257.0,81.1,81.1,4.0,4.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2023",TransGender,57,57.0,40.0,40.0,0.0,0.0,70.2,70.2,0.0,0.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2021",Female,659,659.0,514.0,514.0,22.0,22.0,78.0,78.0,3.0,3.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",Male,642,642.0,575.0,575.0,29.0,29.0,90.0,90.0,5.0,5.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",TransGender,0,0.0,0.0,0.0,0.0,0.0,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2023",Female,570,570.0,511.0,511.0,17.0,17.0,89.6,89.6,3.0,3.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2023",Male,617,617.0,535.0,535.0,30.0,30.0,86.7,86.7,4.9,4.9
India,Sikkim,11,"Calendar Year (Jan - Dec), 2023",TransGender,0,0.0,,,,,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2021",Female,1387,1387.0,1153.0,1153.0,32.0,32.0,83.0,83.0,2.0,2.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2021",Male,1628,1628.0,1298.0,1298.0,46.0,46.0,80.0,80.0,3.0,3.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2021",TransGender,5,5.0,5.0,5.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2022",Female,1132,1132.0,949.0,949.0,25.0,25.0,84.0,84.0,2.0,2.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2022",Male,1288,1288.0,1061.0,1061.0,53.0,53.0,82.0,82.0,4.0,4.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2022",TransGender,4,4.0,4.0,4.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2023",Female,1237,1237.0,993.0,993.0,28.0,28.0,80.3,80.3,2.3,2.3
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2023",Male,1483,1483.0,1165.0,1165.0,45.0,45.0,78.6,78.6,3.0,3.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2023",TransGender,6,6.0,5.0,5.0,0.0,0.0,83.3,83.3,0.0,0.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2021",Female,1968,1968.0,1659.0,1659.0,30.0,30.0,84.0,84.0,2.0,2.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2021",Male,2836,2836.0,2284.0,2284.0,88.0,88.0,81.0,81.0,3.0,3.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2021",TransGender,6,6.0,6.0,6.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2022",Female,1380,1380.0,1121.0,1121.0,39.0,39.0,81.0,81.0,3.0,3.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2022",Male,2134,2134.0,1718.0,1718.0,57.0,57.0,81.0,81.0,3.0,3.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2022",TransGender,4,4.0,2.0,2.0,1.0,1.0,50.0,50.0,25.0,25.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2023",Female,1393,1393.0,1202.0,1202.0,46.0,46.0,86.3,86.3,3.3,3.3
India,Nagaland,13,"Calendar Year (Jan - Dec), 2023",Male,2240,2240.0,1917.0,1917.0,67.0,67.0,85.6,85.6,3.0,3.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2023",TransGender,3,3.0,3.0,3.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2021",Female,974,974.0,664.0,664.0,30.0,30.0,68.0,68.0,3.0,3.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2021",Male,1703,1703.0,1166.0,1166.0,48.0,48.0,68.0,68.0,3.0,3.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2021",TransGender,3,3.0,2.0,2.0,0.0,0.0,67.0,67.0,0.0,0.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2022",Female,555,555.0,436.0,436.0,20.0,20.0,79.0,79.0,4.0,4.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2022",Male,1008,1008.0,808.0,808.0,35.0,35.0,80.0,80.0,3.0,3.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2022",TransGender,1,1.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2023",Female,657,657.0,522.0,522.0,18.0,18.0,79.5,79.5,2.7,2.7
India,Manipur,14,"Calendar Year (Jan - Dec), 2023",Male,1156,1156.0,918.0,918.0,55.0,55.0,79.4,79.4,4.8,4.8
India,Manipur,14,"Calendar Year (Jan - Dec), 2023",TransGender,2,2.0,2.0,2.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2021",Female,1324,1324.0,946.0,946.0,16.0,16.0,71.0,71.0,1.0,1.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2021",Male,1719,1719.0,1074.0,1074.0,39.0,39.0,62.0,62.0,2.0,2.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2021",TransGender,2,2.0,2.0,2.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2022",Female,900,900.0,811.0,811.0,24.0,24.0,90.0,90.0,3.0,3.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2022",Male,1088,1088.0,962.0,962.0,26.0,26.0,88.0,88.0,2.0,2.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2022",TransGender,0,0.0,0.0,0.0,0.0,0.0,,,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2023",Female,701,701.0,637.0,637.0,22.0,22.0,90.9,90.9,3.1,3.1
India,Mizoram,15,"Calendar Year (Jan - Dec), 2023",Male,969,969.0,840.0,840.0,50.0,50.0,86.7,86.7,5.2,5.2
India,Tripura,16,"Calendar Year (Jan - Dec), 2021",Female,759,759.0,633.0,633.0,41.0,41.0,83.0,83.0,5.0,5.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2021",Male,2280,2280.0,1852.0,1852.0,136.0,136.0,81.0,81.0,6.0,6.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2021",TransGender,0,0.0,0.0,0.0,,,,,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2022",Female,542,542.0,458.0,458.0,36.0,36.0,85.0,85.0,7.0,7.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2022",Male,1593,1593.0,1279.0,1279.0,123.0,123.0,80.0,80.0,8.0,8.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2022",TransGender,2,2.0,2.0,2.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2023",Female,684,684.0,587.0,587.0,43.0,43.0,85.8,85.8,6.3,6.3
India,Tripura,16,"Calendar Year (Jan - Dec), 2023",Male,2045,2045.0,1741.0,1741.0,124.0,124.0,85.1,85.1,6.1,6.1
India,Tripura,16,"Calendar Year (Jan - Dec), 2023",TransGender,0,0.0,,,,,,,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2021",Female,2168,2168.0,1726.0,1726.0,77.0,77.0,80.0,80.0,4.0,4.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2021",Male,3130,3130.0,2377.0,2377.0,154.0,154.0,76.0,76.0,5.0,5.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2021",TransGender,5,5.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2022",Female,1606,1606.0,1318.0,1318.0,63.0,63.0,82.0,82.0,4.0,4.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2022",Male,2254,2254.0,1787.0,1787.0,122.0,122.0,79.0,79.0,5.0,5.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2022",TransGender,4,4.0,4.0,4.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2023",Female,1533,1533.0,1352.0,1352.0,50.0,50.0,88.2,88.2,3.3,3.3
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2023",Male,2380,2380.0,1967.0,1967.0,130.0,130.0,82.6,82.6,5.5,5.5
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2023",TransGender,3,3.0,3.0,3.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Assam,18,"Calendar Year (Jan - Dec), 2021",Female,16119,16119.0,13675.0,13675.0,481.0,481.0,85.0,85.0,3.0,3.0
India,Assam,18,"Calendar Year (Jan - Dec), 2021",Male,32606,32606.0,26736.0,26736.0,1446.0,1446.0,82.0,82.0,4.0,4.0
India,Assam,18,"Calendar Year (Jan - Dec), 2021",TransGender,40,40.0,33.0,33.0,2.0,2.0,83.0,83.0,5.0,5.0
India,Assam,18,"Calendar Year (Jan - Dec), 2022",Female,11352,11352.0,9667.0,9667.0,400.0,400.0,85.0,85.0,4.0,4.0
India,Assam,18,"Calendar Year (Jan - Dec), 2022",Male,23167,23167.0,19208.0,19208.0,1022.0,1022.0,83.0,83.0,4.0,4.0
India,Assam,18,"Calendar Year (Jan - Dec), 2022",TransGender,21,21.0,21.0,21.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Assam,18,"Calendar Year (Jan - Dec), 2023",Female,12494,12494.0,11147.0,11147.0,470.0,470.0,89.2,89.2,3.8,3.8
India,Assam,18,"Calendar Year (Jan - Dec), 2023",Male,25048,25048.0,21934.0,21934.0,1179.0,1179.0,87.6,87.6,4.7,4.7
India,Assam,18,"Calendar Year (Jan - Dec), 2023",TransGender,11,11.0,10.0,10.0,0.0,0.0,90.9,90.9,0.0,0.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2021",Female,36074,36074.0,29463.0,29463.0,1459.0,1459.0,82.0,82.0,4.0,4.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2021",Male,75518,75518.0,60372.0,60372.0,4333.0,4333.0,80.0,80.0,6.0,6.0
