Country,StateName,StateCode,Year,Number_of_tuberculosistb_patients_notified_sum,Number_of_tuberculosistb_patients_notified_avg,Number_of_tuberculosistb_cases_confirmed_bacteriologically_sum,Number_of_tuberculosistb_cases_confirmed_bacteriologically_avg,Number_of_patients_cured_from_tuberculosistb_sum,Number_of_patients_cured_from_tuberculosistb_avg,Percentage_of_patients_cured_from_tuberculosistb_sum,Percentage_of_patients_cured_from_tuberculosistb_avg,Number_of_successful_treatments_for_tuberculosistb_sum,Number_of_successful_treatments_for_tuberculosistb_avg,Percentage_of_successful_treatments_for_tuberculosistb_sum,Percentage_of_successful_treatments_for_tuberculosistb_avg,Number_of_patients_died_due_to_tuberculosistb_sum,Number_of_patients_died_due_to_tuberculosistb_avg,Percentage_of_deaths_due_to_tuberculosistb_sum,Percentage_of_deaths_due_to_tuberculosistb_avg,Number_of_failed_treatments_for_tuberculosistb_sum,Number_of_failed_treatments_for_tuberculosistb_avg,Percentage_of_failed_treatments_for_tuberculosistb_sum,Percentage_of_failed_treatments_for_tuberculosistb_avg,Number_of_tuberculosistb_cases_lost_to_followup_sum,Number_of_tuberculosistb_cases_lost_to_followup_avg,Percentage_of_tuberculosistb_cases_lost_to_followup_sum,Percentage_of_tuberculosistb_cases_lost_to_followup_avg,Number_of_regimen_change_in_tuberculosistb_cases_sum,Number_of_regimen_change_in_tuberculosistb_cases_avg,Percentage_of_regimen_change_in_tuberculosistb_cases_sum,Percentage_of_regimen_change_in_tuberculosistb_cases_avg,Number_of_tuberculosistb_cases_not_evaluated_sum,Number_of_tuberculosistb_cases_not_evaluated_avg,Percentage_of_tuberculosistb_cases_not_evaluated_sum,Percentage_of_tuberculosistb_cases_not_evaluated_avg
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2017",7818.1679923719,7818.1679923719,5447.1884836131,5447.1884836131,2614.5330969111,2614.5330969111,48.0,48.0,5386.54461829,5386.54461829,69.0,69.0,186.8222302694,186.8222302694,2.4,2.4,68.4688802034,68.4688802034,0.9,0.9,153.5659170277,153.5659170277,2.0,2.0,39.125074402,39.125074402,0.5,0.5,1983.6412721794,1983.6412721794,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2018",10734.9422890381,10734.9422890381,5649.6607436432,5649.6607436432,3879.2511269545,3879.2511269545,69.0,69.0,8978.2264483901,8978.2264483901,84.0,84.0,268.9848865135,268.9848865135,3.0,3.0,71.4032607836,71.4032607836,1.0,1.0,224.9691778113,224.9691778113,2.0,2.0,42.0594549821,42.0594549821,0.0,0.0,1149.2990605576,1149.2990605576,11.0,11.0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2019",10644.0,10644.0,5349.0,5349.0,3762.0,3762.0,70.0,70.0,9079.0,9079.0,85.0,85.0,286.0,286.0,2.7,2.7,47.0,47.0,0.4,0.4,159.0,159.0,1.5,1.5,74.0,74.0,0.7,0.7,999.0,999.0,9.4,9.4
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020",8194.0,8194.0,4091.0,4091.0,2962.0,2962.0,72.0,72.0,6793.0,6793.0,83.0,83.0,294.0,294.0,3.6,3.6,46.0,46.0,0.6,0.6,110.0,110.0,1.3,1.3,73.0,73.0,0.9,0.9,459.0,459.0,5.6,5.6
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2021",10279.0,10279.0,,,3855.0,3855.0,37.5,37.5,8815.0,8815.0,85.8,85.8,397.0,397.0,3.9,3.9,69.0,69.0,0.7,0.7,167.0,167.0,1.6,1.6,88.0,88.0,0.9,0.9,98.0,98.0,1.0,1.0
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2022",11258.0,11258.0,,,4532.0,4532.0,40.3,40.3,9706.0,9706.0,86.2,86.2,425.0,425.0,3.8,3.8,36.0,36.0,0.3,0.3,138.0,138.0,1.2,1.2,72.0,72.0,0.6,0.6,34.0,34.0,0.3,0.3
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2017",13040.0,13040.0,9192.0,9192.0,5975.0,5975.0,65.0,65.0,11652.0,11652.0,89.0,89.0,537.0,537.0,4.1,4.1,88.0,88.0,0.7,0.7,258.0,258.0,2.0,2.0,192.0,192.0,1.5,1.5,313.0,313.0,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018",15482.0,15482.0,9816.0,9816.0,6564.0,6564.0,67.0,67.0,13799.0,13799.0,89.0,89.0,627.0,627.0,4.0,4.0,70.0,70.0,0.0,0.0,237.0,237.0,2.0,2.0,123.0,123.0,1.0,1.0,626.0,626.0,4.0,4.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019",16467.0,16467.0,10913.0,10913.0,7343.0,7343.0,67.0,67.0,14779.0,14779.0,90.0,90.0,792.0,792.0,4.8,4.8,56.0,56.0,0.3,0.3,236.0,236.0,1.4,1.4,201.0,201.0,1.2,1.2,403.0,403.0,2.4,2.4
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020",12713.0,12713.0,8501.0,8501.0,5580.0,5580.0,66.0,66.0,11174.0,11174.0,88.0,88.0,695.0,695.0,5.5,5.5,42.0,42.0,0.3,0.3,122.0,122.0,1.0,1.0,233.0,233.0,1.8,1.8,127.0,127.0,1.0,1.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",13982.0,13982.0,,,6019.0,6019.0,43.0,43.0,12268.0,12268.0,87.7,87.7,866.0,866.0,6.2,6.2,58.0,58.0,0.4,0.4,139.0,139.0,1.0,1.0,240.0,240.0,1.7,1.7,26.0,26.0,0.2,0.2
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",15706.0,15706.0,,,6727.0,6727.0,42.8,42.8,13644.0,13644.0,86.9,86.9,909.0,909.0,5.8,5.8,48.0,48.0,0.3,0.3,231.0,231.0,1.5,1.5,282.0,282.0,1.8,1.8,20.0,20.0,0.1,0.1
India,Punjab,3,"Calendar Year (Jan - Dec), 2017",35800.0,35800.0,22948.0,22948.0,14687.0,14687.0,64.0,64.0,30980.0,30980.0,87.0,87.0,1555.0,1555.0,4.3,4.3,330.0,330.0,0.9,0.9,1416.0,1416.0,4.0,4.0,384.0,384.0,1.1,1.1,1135.0,1135.0,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2018",42965.0,42965.0,24248.0,24248.0,16429.0,16429.0,68.0,68.0,36646.0,36646.0,85.0,85.0,1984.0,1984.0,5.0,5.0,256.0,256.0,1.0,1.0,1605.0,1605.0,4.0,4.0,231.0,231.0,1.0,1.0,2243.0,2243.0,5.0,5.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2019",44844.0,44844.0,27593.0,27593.0,16733.0,16733.0,61.0,61.0,36290.0,36290.0,81.0,81.0,1937.0,1937.0,4.3,4.3,265.0,265.0,0.6,0.6,1376.0,1376.0,3.1,3.1,445.0,445.0,1.0,1.0,4531.0,4531.0,10.1,10.1
India,Punjab,3,"Calendar Year (Jan - Dec), 2020",35765.0,35765.0,22516.0,22516.0,13320.0,13320.0,59.0,59.0,28681.0,28681.0,80.0,80.0,1910.0,1910.0,5.3,5.3,176.0,176.0,0.5,0.5,1053.0,1053.0,2.9,2.9,443.0,443.0,1.2,1.2,1385.0,1385.0,3.9,3.9
India,Punjab,3,"Calendar Year (Jan - Dec), 2021",38948.0,38948.0,,,13740.0,13740.0,35.3,35.3,32547.0,32547.0,83.6,83.6,1864.0,1864.0,4.8,4.8,265.0,265.0,0.7,0.7,1117.0,1117.0,2.9,2.9,406.0,406.0,1.0,1.0,327.0,327.0,0.8,0.8
India,Punjab,3,"Calendar Year (Jan - Dec), 2022",47759.0,47759.0,,,16425.0,16425.0,34.4,34.4,39948.0,39948.0,83.6,83.6,2033.0,2033.0,4.3,4.3,225.0,225.0,0.5,0.5,1352.0,1352.0,2.8,2.8,338.0,338.0,0.7,0.7,428.0,428.0,0.9,0.9
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2017",3144.0,3144.0,2154.0,2154.0,1163.0,1163.0,54.0,54.0,2768.0,2768.0,88.0,88.0,107.0,107.0,3.4,3.4,14.0,14.0,0.4,0.4,119.0,119.0,3.8,3.8,29.0,29.0,0.9,0.9,107.0,107.0,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2018",3150.0,3150.0,1460.0,1460.0,972.0,972.0,67.0,67.0,2772.0,2772.0,88.0,88.0,90.0,90.0,3.0,3.0,19.0,19.0,1.0,1.0,95.0,95.0,3.0,3.0,23.0,23.0,1.0,1.0,151.0,151.0,5.0,5.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2019",3367.0,3367.0,1648.0,1648.0,1110.0,1110.0,67.0,67.0,2792.0,2792.0,83.0,83.0,112.0,112.0,3.3,3.3,24.0,24.0,0.7,0.7,137.0,137.0,4.1,4.1,36.0,36.0,1.1,1.1,266.0,266.0,7.9,7.9
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2020",2624.0,2624.0,1291.0,1291.0,916.0,916.0,71.0,71.0,2146.0,2146.0,82.0,82.0,119.0,119.0,4.5,4.5,14.0,14.0,0.5,0.5,99.0,99.0,3.8,3.8,51.0,51.0,1.9,1.9,41.0,41.0,1.6,1.6
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2021",3042.0,3042.0,,,1055.0,1055.0,34.7,34.7,2588.0,2588.0,85.1,85.1,116.0,116.0,3.8,3.8,31.0,31.0,1.0,1.0,95.0,95.0,3.1,3.1,67.0,67.0,2.2,2.2,16.0,16.0,0.5,0.5
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2022",3616.0,3616.0,,,1272.0,1272.0,35.2,35.2,3033.0,3033.0,83.9,83.9,147.0,147.0,4.1,4.1,29.0,29.0,0.8,0.8,108.0,108.0,3.0,3.0,63.0,63.0,1.7,1.7,12.0,12.0,0.3,0.3
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2017",13198.0,13198.0,7613.0,7613.0,4568.0,4568.0,60.0,60.0,10114.0,10114.0,77.0,77.0,454.0,454.0,3.4,3.4,147.0,147.0,1.1,1.1,737.0,737.0,5.6,5.6,151.0,151.0,1.1,1.1,1595.0,1595.0,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2018",16630.0,16630.0,8465.0,8465.0,5894.0,5894.0,70.0,70.0,13982.0,13982.0,84.0,84.0,649.0,649.0,4.0,4.0,107.0,107.0,1.0,1.0,733.0,733.0,4.0,4.0,200.0,200.0,1.0,1.0,959.0,959.0,6.0,6.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2019",19231.0,19231.0,9205.0,9205.0,5883.0,5883.0,64.0,64.0,16185.0,16185.0,84.0,84.0,786.0,786.0,4.1,4.1,115.0,115.0,0.6,0.6,625.0,625.0,3.2,3.2,345.0,345.0,1.8,1.8,1175.0,1175.0,6.1,6.1
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020",14992.0,14992.0,7052.0,7052.0,4151.0,4151.0,59.0,59.0,12737.0,12737.0,85.0,85.0,589.0,589.0,3.9,3.9,74.0,74.0,0.5,0.5,399.0,399.0,2.7,2.7,315.0,315.0,2.1,2.1,199.0,199.0,1.3,1.3
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",18830.0,18830.0,,,5736.0,5736.0,30.5,30.5,16188.0,16188.0,86.0,86.0,783.0,783.0,4.2,4.2,148.0,148.0,0.8,0.8,463.0,463.0,2.5,2.5,272.0,272.0,1.4,1.4,94.0,94.0,0.5,0.5
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",22207.0,22207.0,,,8087.0,8087.0,36.4,36.4,19480.0,19480.0,87.7,87.7,853.0,853.0,3.8,3.8,172.0,172.0,0.8,0.8,526.0,526.0,2.4,2.4,279.0,279.0,1.3,1.3,39.0,39.0,0.2,0.2
India,Haryana,6,"Calendar Year (Jan - Dec), 2017",34804.0,34804.0,24883.0,24883.0,15925.0,15925.0,64.0,64.0,29358.0,29358.0,84.0,84.0,1508.0,1508.0,4.3,4.3,512.0,512.0,1.5,1.5,1106.0,1106.0,3.2,3.2,370.0,370.0,1.1,1.1,1950.0,1950.0,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2018",48274.0,48274.0,29769.0,29769.0,21687.0,21687.0,73.0,73.0,41172.0,41172.0,85.0,85.0,2009.0,2009.0,4.0,4.0,558.0,558.0,1.0,1.0,1626.0,1626.0,3.0,3.0,371.0,371.0,1.0,1.0,253.0,253.0,5.0,5.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2019",52812.0,52812.0,33902.0,33902.0,22332.0,22332.0,66.0,66.0,43194.0,43194.0,82.0,82.0,2179.0,2179.0,4.1,4.1,425.0,425.0,0.8,0.8,1416.0,1416.0,2.7,2.7,346.0,346.0,0.7,0.7,5252.0,5252.0,9.9,9.9
India,Haryana,6,"Calendar Year (Jan - Dec), 2020",44995.0,44995.0,28947.0,28947.0,17351.0,17351.0,60.0,60.0,35885.0,35885.0,80.0,80.0,1916.0,1916.0,4.3,4.3,297.0,297.0,0.7,0.7,1002.0,1002.0,2.2,2.2,480.0,480.0,1.1,1.1,1131.0,1131.0,2.5,2.5
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",50898.0,50898.0,,,20817.0,20817.0,40.9,40.9,42415.0,42415.0,83.3,83.3,2344.0,2344.0,4.6,4.6,336.0,336.0,0.7,0.7,924.0,924.0,1.8,1.8,602.0,602.0,1.2,1.2,689.0,689.0,1.4,1.4
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",59216.0,59216.0,,,25510.0,25510.0,43.1,43.1,51333.0,51333.0,86.7,86.7,2541.0,2541.0,4.3,4.3,405.0,405.0,0.7,0.7,796.0,796.0,1.3,1.3,689.0,689.0,1.2,1.2,152.0,152.0,0.3,0.3
India,Delhi,7,"Calendar Year (Jan - Dec), 2017",56862.0,56862.0,24735.0,24735.0,14099.0,14099.0,57.0,57.0,40857.0,40857.0,72.0,72.0,1005.0,1005.0,1.8,1.8,471.0,471.0,0.8,0.8,2355.0,2355.0,4.1,4.1,734.0,734.0,1.3,1.3,11440.0,11440.0,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2018",62678.0,62678.0,26984.0,26984.0,15702.0,15702.0,58.0,58.0,48089.0,48089.0,77.0,77.0,1174.0,1174.0,2.0,2.0,482.0,482.0,1.0,1.0,2655.0,2655.0,4.0,4.0,784.0,784.0,1.0,1.0,9494.0,9494.0,15.0,15.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2019",67938.0,67938.0,31886.0,31886.0,16296.0,16296.0,51.0,51.0,51906.0,51906.0,76.0,76.0,1261.0,1261.0,1.9,1.9,462.0,462.0,0.7,0.7,3087.0,3087.0,4.5,4.5,1361.0,1361.0,2.0,2.0,9861.0,9861.0,14.5,14.5
India,Delhi,7,"Calendar Year (Jan - Dec), 2020",55183.0,55183.0,27205.0,27205.0,13193.0,13193.0,48.0,48.0,41432.0,41432.0,75.0,75.0,1330.0,1330.0,2.4,2.4,344.0,344.0,0.6,0.6,2601.0,2601.0,4.7,4.7,1545.0,1545.0,2.8,2.8,1290.0,1290.0,2.3,2.3
India,Delhi,7,"Calendar Year (Jan - Dec), 2021",65432.0,65432.0,,,15850.0,15850.0,24.2,24.2,50872.0,50872.0,77.7,77.7,1679.0,1679.0,2.6,2.6,508.0,508.0,0.8,0.8,3174.0,3174.0,4.9,4.9,1512.0,1512.0,2.3,2.3,905.0,905.0,1.4,1.4
India,Delhi,7,"Calendar Year (Jan - Dec), 2022",75058.0,75058.0,,,18373.0,18373.0,24.5,24.5,59521.0,59521.0,79.3,79.3,1737.0,1737.0,2.3,2.3,503.0,503.0,0.7,0.7,3320.0,3320.0,4.4,4.4,1994.0,1994.0,2.7,2.7,332.0,332.0,0.4,0.4
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2017",83866.0,83866.0,51870.0,51870.0,36828.0,36828.0,71.0,71.0,70876.0,70876.0,85.0,85.0,2944.0,2944.0,3.5,3.5,735.0,735.0,0.9,0.9,3476.0,3476.0,4.1,4.1,621.0,621.0,0.7,0.7,5214.0,5214.0,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2018",109124.0,109124.0,65229.0,65229.0,43384.0,43384.0,67.0,67.0,89525.0,89525.0,82.0,82.0,3800.0,3800.0,3.0,3.0,694.0,694.0,1.0,1.0,3726.0,3726.0,3.0,3.0,526.0,526.0,0.0,0.0,10853.0,10853.0,10.0,10.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2019",117227.0,117227.0,73235.0,73235.0,45398.0,45398.0,62.0,62.0,96011.0,96011.0,82.0,82.0,3885.0,3885.0,3.3,3.3,680.0,680.0,0.6,0.6,3811.0,3811.0,3.3,3.3,1035.0,1035.0,0.9,0.9,11805.0,11805.0,10.1,10.1
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2020",93363.0,93363.0,54974.0,54974.0,36008.0,36008.0,66.0,66.0,76759.0,76759.0,82.0,82.0,3327.0,3327.0,3.6,3.6,515.0,515.0,0.6,0.6,2720.0,2720.0,2.9,2.9,1324.0,1324.0,1.4,1.4,1266.0,1266.0,1.4,1.4
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2021",104621.0,104621.0,,,36326.0,36326.0,34.7,34.7,88481.0,88481.0,84.6,84.6,3738.0,3738.0,3.6,3.6,602.0,602.0,0.6,0.6,2875.0,2875.0,2.7,2.7,1413.0,1413.0,1.4,1.4,788.0,788.0,0.8,0.8
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2022",128111.0,128111.0,,,45630.0,45630.0,35.6,35.6,112797.0,112797.0,88.0,88.0,4066.0,4066.0,3.2,3.2,598.0,598.0,0.5,0.5,2697.0,2697.0,2.1,2.1,1248.0,1248.0,1.0,1.0,248.0,248.0,0.2,0.2
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2017",219912.0,219912.0,153306.0,153306.0,76653.0,76653.0,50.0,50.0,151321.0,151321.0,69.0,69.0,7505.0,7505.0,3.4,3.4,1747.0,1747.0,0.8,0.8,9608.0,9608.0,4.4,4.4,2081.0,2081.0,0.9,0.9,47650.0,47650.0,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2018",307914.0,307914.0,174396.0,174396.0,113960.0,113960.0,65.0,65.0,256485.0,256485.0,83.0,83.0,11475.0,11475.0,4.0,4.0,2210.0,2210.0,1.0,1.0,13635.0,13635.0,4.0,4.0,2634.0,2634.0,1.0,1.0,21475.0,21475.0,7.0,7.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2019",343248.0,343248.0,188569.0,188569.0,111045.0,111045.0,59.0,59.0,282584.0,282584.0,82.0,82.0,12094.0,12094.0,3.5,3.5,2292.0,2292.0,0.7,0.7,14476.0,14476.0,4.2,4.2,4562.0,4562.0,1.3,1.3,27240.0,27240.0,7.9,7.9
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2020",257186.0,257186.0,122589.0,122589.0,71829.0,71829.0,59.0,59.0,213703.0,213703.0,83.0,83.0,9735.0,9735.0,3.8,3.8,1501.0,1501.0,0.6,0.6,8011.0,8011.0,3.1,3.1,3912.0,3912.0,1.5,1.5,2326.0,2326.0,0.9,0.9
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2021",338804.0,338804.0,,,100673.0,100673.0,29.7,29.7,290244.0,290244.0,85.7,85.7,12486.0,12486.0,3.7,3.7,1735.0,1735.0,0.5,0.5,7693.0,7693.0,2.3,2.3,4962.0,4962.0,1.5,1.5,1724.0,1724.0,0.5,0.5
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2022",408169.0,408169.0,,,123198.0,123198.0,30.2,30.2,361743.0,361743.0,88.6,88.6,12933.0,12933.0,3.2,3.2,1755.0,1755.0,0.4,0.4,5665.0,5665.0,1.4,1.4,5365.0,5365.0,1.3,1.3,706.0,706.0,0.2,0.2
India,Bihar,10,"Calendar Year (Jan - Dec), 2017",51052.0,51052.0,38318.0,38318.0,18776.0,18776.0,49.0,49.0,36895.0,36895.0,72.0,72.0,1073.0,1073.0,2.1,2.1,267.0,267.0,0.5,0.5,2065.0,2065.0,4.0,4.0,243.0,243.0,0.5,0.5,10509.0,10509.0,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2018",65862.0,65862.0,41206.0,41206.0,26111.0,26111.0,63.0,63.0,52921.0,52921.0,80.0,80.0,1598.0,1598.0,2.0,2.0,414.0,414.0,1.0,1.0,3172.0,3172.0,5.0,5.0,379.0,379.0,1.0,1.0,7378.0,7378.0,11.0,11.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2019",77375.0,77375.0,47333.0,47333.0,28220.0,28220.0,60.0,60.0,58931.0,58931.0,76.0,76.0,1881.0,1881.0,2.4,2.4,390.0,390.0,0.5,0.5,2844.0,2844.0,3.7,3.7,628.0,628.0,0.8,0.8,12701.0,12701.0,16.4,16.4
India,Bihar,10,"Calendar Year (Jan - Dec), 2020",52661.0,52661.0,30111.0,30111.0,13951.0,13951.0,46.0,46.0,38953.0,38953.0,74.0,74.0,1310.0,1310.0,2.5,2.5,285.0,285.0,0.5,0.5,2109.0,2109.0,4.0,4.0,633.0,633.0,1.2,1.2,3482.0,3482.0,6.6,6.6
India,Bihar,10,"Calendar Year (Jan - Dec), 2021",62425.0,62425.0,,,15688.0,15688.0,25.1,25.1,47454.0,47454.0,76.0,76.0,1653.0,1653.0,2.6,2.6,354.0,354.0,0.6,0.6,2588.0,2588.0,4.1,4.1,802.0,802.0,1.3,1.3,2454.0,2454.0,3.9,3.9
India,Bihar,10,"Calendar Year (Jan - Dec), 2022",79195.0,79195.0,,,19855.0,19855.0,25.1,25.1,62727.0,62727.0,79.2,79.2,1835.0,1835.0,2.3,2.3,463.0,463.0,0.6,0.6,2833.0,2833.0,3.6,3.6,1213.0,1213.0,1.5,1.5,1127.0,1127.0,1.4,1.4
India,Sikkim,11,"Calendar Year (Jan - Dec), 2017",934.0,934.0,535.0,535.0,294.0,294.0,55.0,55.0,721.0,721.0,77.0,77.0,25.0,25.0,2.7,2.7,0.0,0.0,0.0,0.0,6.0,6.0,0.6,0.6,37.0,37.0,4.0,4.0,145.0,145.0,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2018",1313.0,1313.0,708.0,708.0,416.0,416.0,59.0,59.0,1120.0,1120.0,85.0,85.0,31.0,31.0,2.0,2.0,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,13.0,13.0,1.0,1.0,137.0,137.0,10.0,10.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2019",1203.0,1203.0,629.0,629.0,461.0,461.0,73.0,73.0,1066.0,1066.0,89.0,89.0,45.0,45.0,3.7,3.7,8.0,8.0,0.7,0.7,10.0,10.0,0.8,0.8,11.0,11.0,0.9,0.9,63.0,63.0,5.2,5.2
India,Sikkim,11,"Calendar Year (Jan - Dec), 2020",1065.0,1065.0,641.0,641.0,440.0,440.0,69.0,69.0,956.0,956.0,90.0,90.0,43.0,43.0,4.0,4.0,1.0,1.0,0.1,0.1,9.0,9.0,0.8,0.8,17.0,17.0,1.6,1.6,15.0,15.0,1.4,1.4
India,Sikkim,11,"Calendar Year (Jan - Dec), 2021",1103.0,1103.0,,,488.0,488.0,44.2,44.2,967.0,967.0,87.7,87.7,45.0,45.0,4.1,4.1,2.0,2.0,0.2,0.2,15.0,15.0,1.4,1.4,22.0,22.0,2.0,2.0,7.0,7.0,0.6,0.6
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",1175.0,1175.0,,,590.0,590.0,50.2,50.2,1066.0,1066.0,90.7,90.7,41.0,41.0,3.5,3.5,4.0,4.0,0.3,0.3,6.0,6.0,0.5,0.5,17.0,17.0,1.4,1.4,2.0,2.0,0.2,0.2
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2017",3082.0,3082.0,1641.0,1641.0,837.0,837.0,51.0,51.0,2203.0,2203.0,71.0,71.0,55.0,55.0,1.8,1.8,49.0,49.0,1.6,1.6,171.0,171.0,5.5,5.5,112.0,112.0,3.6,3.6,492.0,492.0,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2018",2892.0,2892.0,1144.0,1144.0,895.0,895.0,78.0,78.0,2360.0,2360.0,82.0,82.0,59.0,59.0,2.0,2.0,44.0,44.0,2.0,2.0,167.0,167.0,6.0,6.0,72.0,72.0,2.0,2.0,190.0,190.0,7.0,7.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2019",2818.0,2818.0,1364.0,1364.0,1043.0,1043.0,76.0,76.0,2343.0,2343.0,83.0,83.0,64.0,64.0,2.3,2.3,35.0,35.0,1.2,1.2,202.0,202.0,7.2,7.2,78.0,78.0,2.8,2.8,96.0,96.0,3.4,3.4
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2020",2420.0,2420.0,1247.0,1247.0,816.0,816.0,65.0,65.0,2013.0,2013.0,83.0,83.0,78.0,78.0,3.2,3.2,23.0,23.0,1.0,1.0,123.0,123.0,5.1,5.1,76.0,76.0,3.1,3.1,23.0,23.0,1.0,1.0
