Country,StateName,StateCode,Year,Number_of_tuberculosistb_patients_notified_sum,Number_of_tuberculosistb_patients_notified_avg,Number_of_tuberculosistb_cases_confirmed_bacteriologically_sum,Number_of_tuberculosistb_cases_confirmed_bacteriologically_avg,Number_of_patients_cured_from_tuberculosistb_sum,Number_of_patients_cured_from_tuberculosistb_avg,Percentage_of_patients_cured_from_tuberculosistb_sum,Percentage_of_patients_cured_from_tuberculosistb_avg,Number_of_successful_treatments_for_tuberculosistb_sum,Number_of_successful_treatments_for_tuberculosistb_avg,Percentage_of_successful_treatments_for_tuberculosistb_sum,Percentage_of_successful_treatments_for_tuberculosistb_avg,Number_of_patients_died_due_to_tuberculosistb_sum,Number_of_patients_died_due_to_tuberculosistb_avg,Percentage_of_deaths_due_to_tuberculosistb_sum,Percentage_of_deaths_due_to_tuberculosistb_avg,Number_of_failed_treatments_for_tuberculosistb_sum,Number_of_failed_treatments_for_tuberculosistb_avg,Percentage_of_failed_treatments_for_tuberculosistb_sum,Percentage_of_failed_treatments_for_tuberculosistb_avg,Number_of_tuberculosistb_cases_lost_to_followup_sum,Number_of_tuberculosistb_cases_lost_to_followup_avg,Percentage_of_tuberculosistb_cases_lost_to_followup_sum,Percentage_of_tuberculosistb_cases_lost_to_followup_avg,Number_of_regimen_change_in_tuberculosistb_cases_sum,Number_of_regimen_change_in_tuberculosistb_cases_avg,Percentage_of_regimen_change_in_tuberculosistb_cases_sum,Percentage_of_regimen_change_in_tuberculosistb_cases_avg,Number_of_tuberculosistb_cases_not_evaluated_sum,Number_of_tuberculosistb_cases_not_evaluated_avg,Percentage_of_tuberculosistb_cases_not_evaluated_sum,Percentage_of_tuberculosistb_cases_not_evaluated_avg
India,Odisha,21,"Calendar Year (Jan - Dec), 2019",48439.0,48439.0,28412.0,28412.0,22056.0,22056.0,78.0,78.0,42454.0,42454.0,88.0,88.0,2611.0,2611.0,5.4,5.4,171.0,171.0,0.4,0.4,1022.0,1022.0,2.1,2.1,409.0,409.0,0.8,0.8,1772.0,1772.0,3.7,3.7
India,Odisha,21,"Calendar Year (Jan - Dec), 2020",41418.0,41418.0,24560.0,24560.0,19934.0,19934.0,81.0,81.0,36741.0,36741.0,89.0,89.0,2421.0,2421.0,5.8,5.8,105.0,105.0,0.3,0.3,542.0,542.0,1.3,1.3,239.0,239.0,0.6,0.6,431.0,431.0,1.0,1.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2021",47936.0,47936.0,,,21931.0,21931.0,45.8,45.8,42937.0,42937.0,89.6,89.6,2874.0,2874.0,6.0,6.0,80.0,80.0,0.2,0.2,470.0,470.0,1.0,1.0,253.0,253.0,0.5,0.5,338.0,338.0,0.7,0.7
India,Odisha,21,"Calendar Year (Jan - Dec), 2022",55329.0,55329.0,,,25170.0,25170.0,45.5,45.5,50344.0,50344.0,91.0,91.0,2575.0,2575.0,4.7,4.7,100.0,100.0,0.2,0.2,444.0,444.0,0.8,0.8,251.0,251.0,0.5,0.5,319.0,319.0,0.6,0.6
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2017",31181.0,31181.0,16400.0,16400.0,12628.0,12628.0,77.0,77.0,27724.0,27724.0,89.0,89.0,1416.0,1416.0,4.5,4.5,329.0,329.0,1.1,1.1,976.0,976.0,3.1,3.1,170.0,170.0,0.5,0.5,566.0,566.0,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2018",29923.0,29923.0,14490.0,14490.0,11760.0,11760.0,81.0,81.0,26756.0,26756.0,89.0,89.0,1309.0,1309.0,4.0,4.0,193.0,193.0,1.0,1.0,641.0,641.0,2.0,2.0,165.0,165.0,1.0,1.0,859.0,859.0,3.0,3.0
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2019",31941.0,31941.0,15994.0,15994.0,11958.0,11958.0,75.0,75.0,27275.0,27275.0,85.0,85.0,1417.0,1417.0,4.4,4.4,176.0,176.0,0.6,0.6,558.0,558.0,1.7,1.7,338.0,338.0,1.1,1.1,2177.0,2177.0,6.8,6.8
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2020",22127.0,22127.0,10552.0,10552.0,7910.0,7910.0,75.0,75.0,19267.0,19267.0,87.0,87.0,1142.0,1142.0,5.2,5.2,113.0,113.0,0.5,0.5,369.0,369.0,1.7,1.7,240.0,240.0,1.1,1.1,581.0,581.0,2.6,2.6
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2021",24944.0,24944.0,,,10095.0,10095.0,40.5,40.5,21449.0,21449.0,86.0,86.0,1447.0,1447.0,5.8,5.8,147.0,147.0,0.6,0.6,355.0,355.0,1.4,1.4,343.0,343.0,1.4,1.4,440.0,440.0,1.8,1.8
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2022",29622.0,29622.0,,,12080.0,12080.0,40.8,40.8,26285.0,26285.0,88.7,88.7,1478.0,1478.0,5.0,5.0,129.0,129.0,0.4,0.4,448.0,448.0,1.5,1.5,359.0,359.0,1.2,1.2,143.0,143.0,0.5,0.5
