Country,StateName,StateCode,Year,D1221_3,I1221_4_sum,I1221_4_avg,I1221_5_sum,I1221_5_avg,I1221_6_sum,I1221_6_avg,I1221_7_sum,I1221_7_avg,I1221_8_sum,I1221_8_avg,I1221_9_sum,I1221_9_avg,I1221_10_sum,I1221_10_avg,I1221_11_sum,I1221_11_avg,I1221_12_sum,I1221_12_avg,I1221_13_sum,I1221_13_avg
India,Sikkim,11,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,,,2.0,2.0,31.0,31.0,15.0,15.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,10.0,10.0,148.0,148.0,1438.0,1438.0,981.0,981.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2021",Private,60.0,60.0,69.0,69.0,8.0,8.0,13.0,13.0,5.0,5.0,63.0,63.0,,,,,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2021",Public,877.0,877.0,69.0,69.0,131.0,131.0,15.0,15.0,11.0,11.0,8.0,8.0,,,,,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",Private,72.0,72.0,73.0,73.0,3.0,3.0,4.0,4.0,3.0,3.0,100.0,100.0,,,,,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",Public,794.0,794.0,59.0,59.0,69.0,69.0,9.0,9.0,2.0,2.0,3.0,3.0,,,,,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2023",Private,49.0,49.0,66.2,66.2,2.0,2.0,4.1,4.1,1.0,1.0,50.0,50.0,,,,,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2023",Public,947.0,947.0,70.8,70.8,77.0,77.0,8.1,8.1,5.0,5.0,6.5,6.5,,,,,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2024",Private,65.0,65.0,80.2,80.2,13.0,13.0,20.0,20.0,5.0,5.0,38.5,38.5,,,,,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2024",Public,1093.0,1093.0,82.6,82.6,118.0,118.0,10.8,10.8,15.0,15.0,12.7,12.7,,,,,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,,,,,50.0,50.0,11.0,11.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,92.0,92.0,211.0,211.0,2974.0,2974.0,1490.0,1490.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2021",Private,4.0,4.0,100.0,100.0,,,0.0,0.0,,,,,,,,,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2021",Public,2078.0,2078.0,80.0,80.0,171.0,171.0,8.0,8.0,75.0,75.0,44.0,44.0,,,,,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2022",Private,,,,,,,,,,,,,,,,,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2022",Public,2375.0,2375.0,83.0,83.0,235.0,235.0,10.0,10.0,90.0,90.0,38.0,38.0,,,,,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2023",Private,3.0,3.0,50.0,50.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2023",Public,2256.0,2256.0,75.0,75.0,303.0,303.0,13.4,13.4,171.0,171.0,56.4,56.4,,,,,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2024",Private,8.0,8.0,53.3,53.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2024",Public,1900.0,1900.0,67.7,67.7,228.0,228.0,12.0,12.0,88.0,88.0,38.6,38.6,,,,,,,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,9.0,9.0,45.0,45.0,707.0,707.0,177.0,177.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,70.0,70.0,440.0,440.0,4075.0,4075.0,2419.0,2419.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2021",Private,311.0,311.0,46.0,46.0,61.0,61.0,20.0,20.0,5.0,5.0,8.0,8.0,,,,,,,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2021",Public,2121.0,2121.0,75.0,75.0,258.0,258.0,12.0,12.0,66.0,66.0,26.0,26.0,,,,,,,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2022",Private,394.0,394.0,74.0,74.0,69.0,69.0,18.0,18.0,34.0,34.0,49.0,49.0,,,,,,,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2022",Public,2610.0,2610.0,83.0,83.0,396.0,396.0,15.0,15.0,244.0,244.0,62.0,62.0,,,,,,,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2023",Private,357.0,357.0,95.7,95.7,70.0,70.0,19.6,19.6,24.0,24.0,34.3,34.3,,,,,,,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2023",Public,3141.0,3141.0,82.5,82.5,591.0,591.0,18.8,18.8,381.0,381.0,64.5,64.5,,,,,,,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2024",Private,442.0,442.0,94.8,94.8,61.0,61.0,13.8,13.8,8.0,8.0,13.1,13.1,,,,,,,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2024",Public,3313.0,3313.0,84.9,84.9,565.0,565.0,17.1,17.1,283.0,283.0,50.1,50.1,,,,,,,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,,,8.0,8.0,370.0,370.0,19.0,19.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,45.0,45.0,288.0,288.0,2277.0,2277.0,910.0,910.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2021",Private,8.0,8.0,4.0,4.0,2.0,2.0,25.0,25.0,,,0.0,0.0,,,,,,,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2021",Public,749.0,749.0,53.0,53.0,233.0,233.0,31.0,31.0,29.0,29.0,12.0,12.0,,,,,,,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2022",Private,77.0,77.0,41.0,41.0,14.0,14.0,18.0,18.0,2.0,2.0,14.0,14.0,,,,,,,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2022",Public,1112.0,1112.0,66.0,66.0,238.0,238.0,21.0,21.0,41.0,41.0,17.0,17.0,,,,,,,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2023",Private,135.0,135.0,52.5,52.5,12.0,12.0,8.9,8.9,1.0,1.0,8.3,8.3,,,,,,,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2023",Public,1709.0,1709.0,72.1,72.1,330.0,330.0,19.3,19.3,82.0,82.0,24.8,24.8,,,,,,,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2024",Private,70.0,70.0,26.5,26.5,4.0,4.0,5.7,5.7,0.0,0.0,0.0,0.0,,,,,,,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2024",Public,1685.0,1685.0,73.2,73.2,341.0,341.0,20.2,20.2,60.0,60.0,17.6,17.6,,,,,,,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,,,,,60.0,60.0,4.0,4.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,245.0,245.0,750.0,750.0,2931.0,2931.0,1907.0,1907.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2021",Private,44.0,44.0,21.0,21.0,22.0,22.0,50.0,50.0,3.0,3.0,14.0,14.0,,,,,,,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2021",Public,1663.0,1663.0,77.0,77.0,658.0,658.0,40.0,40.0,338.0,338.0,51.0,51.0,,,,,,,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2022",Private,192.0,192.0,100.0,100.0,80.0,80.0,42.0,42.0,57.0,57.0,71.0,71.0,,,,,,,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2022",Public,1517.0,1517.0,95.0,95.0,539.0,539.0,36.0,36.0,332.0,332.0,62.0,62.0,,,,,,,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2023",Private,19.0,19.0,95.0,95.0,5.0,5.0,26.3,26.3,5.0,5.0,100.0,100.0,,,,,,,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2023",Public,2042.0,2042.0,97.9,97.9,616.0,616.0,30.2,30.2,548.0,548.0,89.0,89.0,,,,,,,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2024",Private,25.0,25.0,86.2,86.2,5.0,5.0,20.0,20.0,5.0,5.0,100.0,100.0,,,,,,,,
