Country,StateName,StateCode,DistrictName,DistrictCode,Year,I7035_4_sum,I7035_4_avg,I7035_5_sum,I7035_5_avg,I7035_6_sum,I7035_6_avg,I7035_7_sum,I7035_7_avg,I7035_8_sum,I7035_8_avg,I7035_9_sum,I7035_9_avg,I7035_10_sum,I7035_10_avg
India,Jammu and Kashmir,1,Unknown Districts Of India,999999,"Financial Year (Apr - Mar), 2017",105.0,105.0,33.0,33.0,3.0,3.0,,,,,,,1.0,1.0
India,Himachal Pradesh,2,Bilaspur,15,"Financial Year (Apr - Mar), 2016",117.0,117.0,38.0,38.0,9.0,9.0,,,,,1.0,1.0,1.0,1.0
India,Himachal Pradesh,2,Bilaspur,15,"Financial Year (Apr - Mar), 2017",119.0,119.0,38.0,38.0,7.0,7.0,,,,,3.0,3.0,1.0,1.0
India,Himachal Pradesh,2,Bilaspur,15,"Financial Year (Apr - Mar), 2018",120.0,120.0,38.0,38.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0
India,Himachal Pradesh,2,Bilaspur,15,"Financial Year (Apr - Mar), 2019",120.0,120.0,38.0,38.0,6.0,6.0,,,,,4.0,4.0,1.0,1.0
India,Himachal Pradesh,2,Bilaspur,15,"Financial Year (Apr - Mar), 2020",123.0,123.0,38.0,38.0,8.0,8.0,,,,,3.0,3.0,1.0,1.0
India,Himachal Pradesh,2,Bilaspur,15,"Financial Year (Apr - Mar), 2021",124.0,124.0,37.0,37.0,8.0,8.0,,,,,3.0,3.0,1.0,1.0
India,Himachal Pradesh,2,Chamba,16,"Financial Year (Apr - Mar), 2016",177.0,177.0,42.0,42.0,6.0,6.0,,,,,5.0,5.0,1.0,1.0
India,Himachal Pradesh,2,Chamba,16,"Financial Year (Apr - Mar), 2017",176.0,176.0,45.0,45.0,5.0,5.0,,,,,6.0,6.0,1.0,1.0
India,Himachal Pradesh,2,Chamba,16,"Financial Year (Apr - Mar), 2018",177.0,177.0,45.0,45.0,5.0,5.0,0.0,0.0,2.0,2.0,6.0,6.0,1.0,1.0
India,Himachal Pradesh,2,Chamba,16,"Financial Year (Apr - Mar), 2019",177.0,177.0,45.0,45.0,4.0,4.0,,,,,7.0,7.0,0.0,0.0
India,Himachal Pradesh,2,Chamba,16,"Financial Year (Apr - Mar), 2020",177.0,177.0,44.0,44.0,5.0,5.0,,,,,6.0,6.0,0.0,0.0
India,Himachal Pradesh,2,Chamba,16,"Financial Year (Apr - Mar), 2021",178.0,178.0,46.0,46.0,5.0,5.0,,,,,7.0,7.0,0.0,0.0
India,Himachal Pradesh,2,Hamirpur,17,"Financial Year (Apr - Mar), 2016",150.0,150.0,32.0,32.0,3.0,3.0,,,,,3.0,3.0,1.0,1.0
India,Himachal Pradesh,2,Hamirpur,17,"Financial Year (Apr - Mar), 2017",149.0,149.0,32.0,32.0,2.0,2.0,,,,,5.0,5.0,1.0,1.0
India,Himachal Pradesh,2,Hamirpur,17,"Financial Year (Apr - Mar), 2018",150.0,150.0,32.0,32.0,2.0,2.0,0.0,0.0,2.0,2.0,5.0,5.0,1.0,1.0
India,Himachal Pradesh,2,Hamirpur,17,"Financial Year (Apr - Mar), 2019",150.0,150.0,32.0,32.0,2.0,2.0,,,,,5.0,5.0,0.0,0.0
India,Himachal Pradesh,2,Hamirpur,17,"Financial Year (Apr - Mar), 2020",152.0,152.0,32.0,32.0,2.0,2.0,,,,,5.0,5.0,0.0,0.0
India,Himachal Pradesh,2,Hamirpur,17,"Financial Year (Apr - Mar), 2021",153.0,153.0,32.0,32.0,2.0,2.0,,,,,5.0,5.0,0.0,0.0
India,Himachal Pradesh,2,Kangra,18,"Financial Year (Apr - Mar), 2016",437.0,437.0,85.0,85.0,17.0,17.0,,,,,12.0,12.0,1.0,1.0
India,Himachal Pradesh,2,Kangra,18,"Financial Year (Apr - Mar), 2017",438.0,438.0,87.0,87.0,19.0,19.0,,,,,14.0,14.0,1.0,1.0
India,Himachal Pradesh,2,Kangra,18,"Financial Year (Apr - Mar), 2018",441.0,441.0,87.0,87.0,17.0,17.0,0.0,0.0,7.0,7.0,18.0,18.0,1.0,1.0
India,Himachal Pradesh,2,Kangra,18,"Financial Year (Apr - Mar), 2019",441.0,441.0,87.0,87.0,19.0,19.0,,,,,18.0,18.0,1.0,1.0
India,Himachal Pradesh,2,Kangra,18,"Financial Year (Apr - Mar), 2020",449.0,449.0,85.0,85.0,19.0,19.0,,,,,22.0,22.0,1.0,1.0
India,Himachal Pradesh,2,Kangra,18,"Financial Year (Apr - Mar), 2021",439.0,439.0,81.0,81.0,20.0,20.0,,,,,21.0,21.0,1.0,1.0
India,Himachal Pradesh,2,Kinnaur,19,"Financial Year (Apr - Mar), 2016",35.0,35.0,23.0,23.0,4.0,4.0,,,,,1.0,1.0,1.0,1.0
India,Himachal Pradesh,2,Kinnaur,19,"Financial Year (Apr - Mar), 2017",34.0,34.0,24.0,24.0,4.0,4.0,,,,,1.0,1.0,1.0,1.0
India,Himachal Pradesh,2,Kinnaur,19,"Financial Year (Apr - Mar), 2018",34.0,34.0,24.0,24.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
India,Himachal Pradesh,2,Kinnaur,19,"Financial Year (Apr - Mar), 2019",34.0,34.0,24.0,24.0,4.0,4.0,,,,,1.0,1.0,1.0,1.0
India,Himachal Pradesh,2,Kinnaur,19,"Financial Year (Apr - Mar), 2020",35.0,35.0,23.0,23.0,4.0,4.0,,,,,1.0,1.0,1.0,1.0
India,Himachal Pradesh,2,Kinnaur,19,"Financial Year (Apr - Mar), 2021",35.0,35.0,25.0,25.0,4.0,4.0,,,,,1.0,1.0,1.0,1.0
India,Himachal Pradesh,2,Kullu,20,"Financial Year (Apr - Mar), 2016",101.0,101.0,22.0,22.0,3.0,3.0,,,,,5.0,5.0,1.0,1.0
India,Himachal Pradesh,2,Kullu,20,"Financial Year (Apr - Mar), 2017",102.0,102.0,29.0,29.0,4.0,4.0,,,,,4.0,4.0,1.0,1.0
India,Himachal Pradesh,2,Kullu,20,"Financial Year (Apr - Mar), 2018",103.0,103.0,28.0,28.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0
India,Himachal Pradesh,2,Kullu,20,"Financial Year (Apr - Mar), 2019",103.0,103.0,27.0,27.0,4.0,4.0,,,,,5.0,5.0,1.0,1.0
India,Himachal Pradesh,2,Kullu,20,"Financial Year (Apr - Mar), 2020",99.0,99.0,23.0,23.0,5.0,5.0,,,,,4.0,4.0,1.0,1.0
India,Himachal Pradesh,2,Kullu,20,"Financial Year (Apr - Mar), 2021",99.0,99.0,23.0,23.0,5.0,5.0,,,,,4.0,4.0,1.0,1.0
India,Himachal Pradesh,2,Lahul and Spiti,21,"Financial Year (Apr - Mar), 2016",36.0,36.0,16.0,16.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Himachal Pradesh,2,Lahul and Spiti,21,"Financial Year (Apr - Mar), 2017",36.0,36.0,17.0,17.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Himachal Pradesh,2,Lahul and Spiti,21,"Financial Year (Apr - Mar), 2018",36.0,36.0,17.0,17.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
India,Himachal Pradesh,2,Lahul and Spiti,21,"Financial Year (Apr - Mar), 2019",36.0,36.0,17.0,17.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Himachal Pradesh,2,Lahul and Spiti,21,"Financial Year (Apr - Mar), 2020",36.0,36.0,16.0,16.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Himachal Pradesh,2,Lahul and Spiti,21,"Financial Year (Apr - Mar), 2021",35.0,35.0,17.0,17.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Himachal Pradesh,2,Mandi,22,"Financial Year (Apr - Mar), 2016",320.0,320.0,74.0,74.0,13.0,13.0,,,,,9.0,9.0,1.0,1.0
India,Himachal Pradesh,2,Mandi,22,"Financial Year (Apr - Mar), 2017",320.0,320.0,79.0,79.0,13.0,13.0,,,,,12.0,12.0,1.0,1.0
India,Himachal Pradesh,2,Mandi,22,"Financial Year (Apr - Mar), 2018",325.0,325.0,85.0,85.0,13.0,13.0,0.0,0.0,5.0,5.0,13.0,13.0,1.0,1.0
India,Himachal Pradesh,2,Mandi,22,"Financial Year (Apr - Mar), 2020",334.0,334.0,85.0,85.0,13.0,13.0,,,,,13.0,13.0,1.0,1.0
India,Himachal Pradesh,2,Mandi,22,"Financial Year (Apr - Mar), 2021",339.0,339.0,82.0,82.0,12.0,12.0,,,,,13.0,13.0,1.0,1.0
India,Himachal Pradesh,2,Shimla,23,"Financial Year (Apr - Mar), 2016",249.0,249.0,110.0,110.0,13.0,13.0,,,,,11.0,11.0,1.0,1.0
India,Himachal Pradesh,2,Shimla,23,"Financial Year (Apr - Mar), 2017",252.0,252.0,119.0,119.0,16.0,16.0,,,,,12.0,12.0,1.0,1.0
India,Himachal Pradesh,2,Shimla,23,"Financial Year (Apr - Mar), 2018",149.0,149.0,44.0,44.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0,12.0,1.0,1.0
India,Himachal Pradesh,2,Shimla,23,"Financial Year (Apr - Mar), 2019",252.0,252.0,122.0,122.0,17.0,17.0,,,,,12.0,12.0,1.0,1.0
