Country,StateName,StateCode,Year,TRU,D7292_3,I7292_4_sum,I7292_4_avg,I7292_5_sum,I7292_5_avg,I7292_6_sum,I7292_6_avg,I7292_7_sum,I7292_7_avg,I7292_8_sum,I7292_8_avg,I7292_9_sum,I7292_9_avg,I7292_10_sum,I7292_10_avg,I7292_11_sum,I7292_11_avg,I7292_12_sum,I7292_12_avg,I7292_13_sum,I7292_13_avg,I7292_14_sum,I7292_14_avg
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Person,0.0,0.0,19.4,19.4,27.3,27.3,1.9,1.9,26.1,26.1,0.0,0.0,6.0,6.0,19.3,19.3,100.0,100.0,61.0,61.0,62.0,62.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban ,Female,0.1,0.1,25.5,25.5,22.6,22.6,0.0,0.0,34.5,34.5,0.0,0.0,3.0,3.0,14.3,14.3,100.0,100.0,30.0,30.0,29.0,29.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban ,Male,0.1,0.1,12.6,12.6,32.6,32.6,4.0,4.0,17.1,17.1,0.0,0.0,9.3,9.3,24.5,24.5,100.0,100.0,31.0,31.0,29.0,29.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban ,Person,0.1,0.1,19.3,19.3,27.4,27.4,1.9,1.9,26.2,26.2,0.0,0.0,6.0,6.0,19.2,19.2,100.0,100.0,61.0,61.0,58.0,58.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural ,Female,0.6,0.6,19.0,19.0,47.8,47.8,2.4,2.4,4.5,4.5,0.0,0.0,12.5,12.5,13.8,13.8,100.0,100.0,299.0,299.0,115.0,115.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural ,Male,0.4,0.4,28.8,28.8,29.0,29.0,3.9,3.9,16.1,16.1,0.0,0.0,19.0,19.0,3.2,3.2,100.0,100.0,218.0,218.0,122.0,122.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural ,Person,0.5,0.5,23.1,23.1,39.9,39.9,3.0,3.0,9.3,9.3,0.0,0.0,15.2,15.2,9.4,9.4,100.0,100.0,517.0,517.0,237.0,237.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Female,0.5,0.5,15.7,15.7,52.4,52.4,4.4,4.4,6.0,6.0,0.0,0.0,11.8,11.8,9.8,9.8,100.0,100.0,454.0,454.0,225.0,225.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Male,0.5,0.5,20.8,20.8,36.4,36.4,2.8,2.8,13.3,13.3,0.0,0.0,24.1,24.1,2.5,2.5,100.0,100.0,439.0,439.0,271.0,271.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Person,0.5,0.5,18.2,18.2,44.6,44.6,3.6,3.6,9.6,9.6,0.0,0.0,17.8,17.8,6.2,6.2,100.0,100.0,892.0,892.0,496.0,496.0
