Country,StateName,StateCode,DistrictName,DistrictCode,Year,D1139_4,I1139_5_sum,I1139_5_avg,I1139_6_sum,I1139_6_avg,I1139_7_sum,I1139_7_avg,I1139_8_sum,I1139_8_avg,I1139_9_sum,I1139_9_avg,I1139_10_sum,I1139_10_avg
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2017",Public,514.0,514.0,514.0,514.0,485.0,485.0,94.0,94.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2018",Private,389.0,389.0,389.0,389.0,7.0,7.0,2.0,2.0,1.0,1.0,600.0,600.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2018",Public,525.0,525.0,525.0,525.0,504.0,504.0,96.0,96.0,485.0,485.0,4.0,4.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2019",Private,450.0,450.0,450.0,450.0,7.0,7.0,2.0,2.0,7.0,7.0,0.0,0.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2019",Public,1550.0,1550.0,1550.0,1550.0,507.0,507.0,33.0,33.0,504.0,504.0,1.0,1.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2020",Private,450.0,450.0,450.0,450.0,35.0,35.0,8.0,8.0,7.0,7.0,400.0,400.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2020",Public,1550.0,1550.0,1550.0,1550.0,463.0,463.0,30.0,30.0,507.0,507.0,-9.0,-9.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2021",Private,80.0,80.0,80.0,80.0,67.0,67.0,84.0,84.0,35.0,35.0,91.0,91.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2021",Public,860.0,860.0,860.0,860.0,629.0,629.0,73.0,73.0,463.0,463.0,36.0,36.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2022",Private,70.0,70.0,70.0,70.0,56.0,56.0,80.0,80.0,67.0,67.0,-16.0,-16.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2022",Public,730.0,730.0,730.0,730.0,554.0,554.0,76.0,76.0,629.0,629.0,-12.0,-12.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2023",Private,70.0,70.0,70.0,70.0,41.0,41.0,59.0,59.0,56.0,56.0,-27.0,-27.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2023",Public,630.0,630.0,630.0,630.0,391.0,391.0,62.0,62.0,554.0,554.0,-29.0,-29.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2024",Private,20.0,20.0,11.0,11.0,21.0,21.0,191.0,191.0,27.0,27.0,-22.0,-22.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2024",Public,380.0,380.0,221.0,221.0,254.0,254.0,115.0,115.0,243.0,243.0,5.0,5.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2025",Private,20.0,20.0,8.0,8.0,7.0,7.0,88.0,88.0,17.0,17.0,-59.0,-59.0
India,Jammu And Kashmir,1,Baramulla,3,"Calendar Year (Jan - Dec), 2025",Public,360.0,360.0,150.0,150.0,356.0,356.0,237.0,237.0,179.0,179.0,99.0,99.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2017",Private,83.0,83.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2017",Public,674.0,674.0,674.0,674.0,774.0,774.0,115.0,115.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2018",Private,139.0,139.0,139.0,139.0,11.0,11.0,8.0,8.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2018",Public,688.0,688.0,688.0,688.0,844.0,844.0,123.0,123.0,774.0,774.0,9.0,9.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2019",Private,300.0,300.0,300.0,300.0,6.0,6.0,2.0,2.0,11.0,11.0,-45.0,-45.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2019",Public,1040.0,1040.0,1040.0,1040.0,756.0,756.0,73.0,73.0,844.0,844.0,-10.0,-10.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2020",Private,310.0,310.0,310.0,310.0,38.0,38.0,12.0,12.0,6.0,6.0,533.0,533.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2020",Public,1090.0,1090.0,1090.0,1090.0,821.0,821.0,75.0,75.0,756.0,756.0,9.0,9.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2021",Private,340.0,340.0,340.0,340.0,81.0,81.0,24.0,24.0,38.0,38.0,113.0,113.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2021",Public,1210.0,1210.0,1210.0,1210.0,878.0,878.0,73.0,73.0,821.0,821.0,7.0,7.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2022",Private,300.0,300.0,300.0,300.0,86.0,86.0,29.0,29.0,81.0,81.0,6.0,6.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2022",Public,1100.0,1100.0,1100.0,1100.0,885.0,885.0,80.0,80.0,878.0,878.0,1.0,1.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2023",Private,200.0,200.0,200.0,200.0,180.0,180.0,90.0,90.0,86.0,86.0,109.0,109.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2023",Public,1000.0,1000.0,1000.0,1000.0,821.0,821.0,82.0,82.0,885.0,885.0,-7.0,-7.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2024",Private,200.0,200.0,116.0,116.0,95.0,95.0,82.0,82.0,111.0,111.0,-14.0,-14.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2024",Public,1000.0,1000.0,583.0,583.0,565.0,565.0,97.0,97.0,473.0,473.0,19.0,19.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2025",Private,180.0,180.0,75.0,75.0,48.0,48.0,64.0,64.0,74.0,74.0,-35.0,-35.0
India,Jammu And Kashmir,1,Doda,4,"Calendar Year (Jan - Dec), 2025",Public,920.0,920.0,383.0,383.0,323.0,323.0,84.0,84.0,444.0,444.0,-27.0,-27.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2017",Private,1255.0,1255.0,1255.0,1255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2017",Public,2243.0,2243.0,2243.0,2243.0,2162.0,2162.0,96.0,96.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2018",Private,2092.0,2092.0,2092.0,2092.0,130.0,130.0,6.0,6.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2018",Public,2288.0,2288.0,2288.0,2288.0,3291.0,3291.0,144.0,144.0,2162.0,2162.0,52.0,52.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2019",Private,590.0,590.0,590.0,590.0,214.0,214.0,36.0,36.0,130.0,130.0,65.0,65.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2019",Public,2080.0,2080.0,2080.0,2080.0,3518.0,3518.0,169.0,169.0,3291.0,3291.0,7.0,7.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2020",Private,610.0,610.0,610.0,610.0,214.0,214.0,35.0,35.0,214.0,214.0,0.0,0.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2020",Public,2180.0,2180.0,2180.0,2180.0,2249.0,2249.0,103.0,103.0,3518.0,3518.0,-36.0,-36.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2021",Private,680.0,680.0,680.0,680.0,417.0,417.0,61.0,61.0,214.0,214.0,95.0,95.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2021",Public,2420.0,2420.0,2420.0,2420.0,2795.0,2795.0,115.0,115.0,2249.0,2249.0,24.0,24.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2022",Private,720.0,720.0,720.0,720.0,763.0,763.0,106.0,106.0,417.0,417.0,83.0,83.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2022",Public,2850.0,2850.0,2850.0,2850.0,2888.0,2888.0,101.0,101.0,2795.0,2795.0,3.0,3.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2023",Private,600.0,600.0,600.0,600.0,916.0,916.0,153.0,153.0,763.0,763.0,20.0,20.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2023",Public,3000.0,3000.0,3000.0,3000.0,3086.0,3086.0,103.0,103.0,2888.0,2888.0,7.0,7.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2024",Private,700.0,700.0,408.0,408.0,550.0,550.0,135.0,135.0,636.0,636.0,-14.0,-14.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2024",Public,3100.0,3100.0,1808.0,1808.0,2110.0,2110.0,117.0,117.0,1752.0,1752.0,20.0,20.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2025",Private,650.0,650.0,270.0,270.0,279.0,279.0,103.0,103.0,430.0,430.0,-35.0,-35.0
India,Jammu And Kashmir,1,Jammu,5,"Calendar Year (Jan - Dec), 2025",Public,3050.0,3050.0,1270.0,1270.0,1609.0,1609.0,127.0,127.0,1514.0,1514.0,6.0,6.0
