Country,StateName,StateCode,Year,I7035_4_sum,I7035_4_avg,I7035_5_sum,I7035_5_avg,I7035_6_sum,I7035_6_avg,I7035_7_sum,I7035_7_avg,I7035_8_sum,I7035_8_avg,I7035_9_sum,I7035_9_avg,I7035_10_sum,I7035_10_avg
India,Tripura,16,"Financial Year (Apr - Mar), 2016",987.0,123.375,93.0,11.625,21.0,2.625,0.0,,0.0,,11.0,1.375,8.0,1.0
India,Tripura,16,"Financial Year (Apr - Mar), 2017",1020.0,127.5,108.0,13.5,22.0,2.75,0.0,,0.0,,12.0,1.5,7.0,0.875
India,Tripura,16,"Financial Year (Apr - Mar), 2018",966.0,120.75,82.0,10.25,22.0,2.75,40.0,5.0,31.0,3.875,12.0,1.5,7.0,0.875
India,Tripura,16,"Financial Year (Apr - Mar), 2019",1001.0,125.125,112.0,14.0,22.0,2.75,0.0,,0.0,,12.0,1.5,7.0,0.875
India,Tripura,16,"Financial Year (Apr - Mar), 2020",999.0,124.875,116.0,14.5,22.0,2.75,0.0,,0.0,,12.0,1.5,7.0,0.875
India,Tripura,16,"Financial Year (Apr - Mar), 2021",1000.0,125.0,117.0,14.625,23.0,2.875,0.0,,0.0,,12.0,1.5,7.0,0.875
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2016",20521.0,273.61333333333334,3621.0,48.28,822.0,10.96,0.0,,0.0,,0.0,0.0,160.0,2.1333333333333333
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2017",20521.0,285.0138888888889,3621.0,50.291666666666664,822.0,11.416666666666666,0.0,,0.0,,0.0,,171.0,2.375
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2019",9420.0,409.5652173913044,1566.0,68.08695652173913,291.0,12.652173913043478,0.0,,0.0,,24.0,1.0434782608695652,48.0,2.0869565217391304
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2020",20609.0,278.5,3482.0,47.054054054054056,808.0,10.91891891891892,0.0,,0.0,,0.0,0.0,165.0,2.22972972972973
India,Uttar Pradesh,9,"Financial Year (Apr - Mar), 2021",20141.0,275.90410958904107,3385.0,46.36986301369863,812.0,11.123287671232877,0.0,,0.0,,0.0,0.0,162.0,2.219178082191781
India,Uttarakhand,5,"Financial Year (Apr - Mar), 2016",1847.0,142.07692307692307,257.0,19.76923076923077,60.0,4.615384615384615,0.0,,0.0,,17.0,1.3076923076923077,20.0,1.5384615384615385
India,Uttarakhand,5,"Financial Year (Apr - Mar), 2017",1847.0,142.07692307692307,257.0,19.76923076923077,67.0,5.153846153846154,0.0,,0.0,,18.0,1.5,18.0,1.3846153846153846
India,Uttarakhand,5,"Financial Year (Apr - Mar), 2018",21223.0,1515.9285714285713,2400.0,171.42857142857142,738.0,52.714285714285715,725.0,51.785714285714285,1293.0,92.35714285714286,18.0,1.2857142857142858,171.0,12.214285714285714
India,Uttarakhand,5,"Financial Year (Apr - Mar), 2019",1847.0,142.07692307692307,295.0,22.692307692307693,68.0,5.230769230769231,0.0,,0.0,,19.0,1.4615384615384615,13.0,1.0
India,Uttarakhand,5,"Financial Year (Apr - Mar), 2020",1843.0,141.76923076923077,287.0,22.076923076923077,72.0,5.538461538461538,0.0,,0.0,,19.0,1.4615384615384615,13.0,1.0
India,Uttarakhand,5,"Financial Year (Apr - Mar), 2021",1851.0,142.3846153846154,607.0,46.69230769230769,80.0,6.153846153846154,0.0,,0.0,,19.0,1.4615384615384615,13.0,1.0
India,West Bengal,19,"Financial Year (Apr - Mar), 2016",10369.0,545.7368421052631,914.0,48.10526315789474,349.0,18.36842105263158,0.0,,0.0,,37.0,1.9473684210526316,22.0,1.1578947368421053
India,West Bengal,19,"Financial Year (Apr - Mar), 2017",20714.0,986.3809523809524,1826.0,86.95238095238095,696.0,33.142857142857146,0.0,,0.0,,72.0,3.4285714285714284,46.0,2.1904761904761907
India,West Bengal,19,"Financial Year (Apr - Mar), 2018",10195.0,463.40909090909093,1088.0,47.30434782608695,387.0,16.82608695652174,162.0,7.043478260869565,268.0,11.652173913043478,101.0,4.590909090909091,23.0,1.0454545454545454
India,West Bengal,19,"Financial Year (Apr - Mar), 2019",10357.0,450.30434782608694,1369.0,59.52173913043478,348.0,15.130434782608695,0.0,,0.0,,60.0,2.608695652173913,18.0,0.782608695652174
India,West Bengal,19,"Financial Year (Apr - Mar), 2020",10357.0,450.30434782608694,1369.0,59.52173913043478,348.0,15.130434782608695,0.0,,0.0,,60.0,2.608695652173913,18.0,0.782608695652174
India,West Bengal,19,"Financial Year (Apr - Mar), 2021",10357.0,450.30434782608694,1371.0,59.608695652173914,348.0,15.130434782608695,0.0,,0.0,,60.0,2.608695652173913,18.0,0.782608695652174
