Country,StateName,StateCode,Year,Number_of_tuberculosistb_patients_notified_sum,Number_of_tuberculosistb_patients_notified_avg,Number_tuberculosistb_cases_confirmed_bacteriologically_sum,Number_tuberculosistb_cases_confirmed_bacteriologically_avg,Number_of_patients_cured_from_tuberculosistb_sum,Number_of_patients_cured_from_tuberculosistb_avg,Percentage_of_patients_cured_from_tuberculosistb_sum,Percentage_of_patients_cured_from_tuberculosistb_avg,Number_of_successful_treatments_for_tuberculosistb_sum,Number_of_successful_treatments_for_tuberculosistb_avg,Percentage_of_successful_treatments_for_tuberculosistb_sum,Percentage_of_successful_treatments_for_tuberculosistb_avg,Number_of_patients_died_due_to_tuberculosistb_sum,Number_of_patients_died_due_to_tuberculosistb_avg,Percentage_of_deaths_due_to_tuberculosistb_sum,Percentage_of_deaths_due_to_tuberculosistb_avg,Number_of_failed_treatments_for_tuberculosistb_sum,Number_of_failed_treatments_for_tuberculosistb_avg,Percentage_of_failed_treatments_for_tuberculosistb_sum,Percentage_of_failed_treatments_for_tuberculosistb_avg,Number_of_tuberculosistb_cases_lost_to_followup_sum,Number_of_tuberculosistb_cases_lost_to_followup_avg,Percentage_of_tuberculosistb_cases_lost_to_followup_sum,Percentage_of_tuberculosistb_cases_lost_to_followup_avg,Number_of_regimen_change_in_tuberculosistb_cases_sum,Number_of_regimen_change_in_tuberculosistb_cases_avg,Percentage_of_regimen_change_in_tuberculosistb_cases_sum,Percentage_of_regimen_change_in_tuberculosistb_cases_avg,Number_of_tuberculosistb_cases_not_evaluated_sum,Number_of_tuberculosistb_cases_not_evaluated_avg,Percentage_of_tuberculosistb_cases_not_evaluated_sum,Percentage_of_tuberculosistb_cases_not_evaluated_avg,Others_sum,Others_avg
India,Puducherry,34,"Calendar Year (Jan - Dec), 2018",21.0,21.0,,,,,,,19.0,19.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,10.0,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2019",6.0,6.0,2.0,2.0,1.0,1.0,50.0,50.0,2.0,2.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.7,16.7,3.0,3.0,50.0,50.0,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2020",1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2022",2.0,2.0,,,1.0,1.0,50.0,50.0,1.0,1.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2017",26.0,26.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,26.0,26.0,,,0.0,0.0
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2018",20.0,20.0,,,,,,,18.0,18.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,,
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2019",11.0,11.0,7.0,7.0,1.0,1.0,14.0,14.0,8.0,8.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.1,9.1,0.0,0.0,0.0,0.0,2.0,2.0,18.2,18.2,,
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2020",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2021",1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Andaman and Nicobar Islands,35,"Calendar Year (Jan - Dec), 2022",4.0,4.0,,,1.0,1.0,25.0,25.0,3.0,3.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
