Country,StateName,StateCode,Year,I1278_3_sum,I1278_3_avg,I1278_4_sum,I1278_4_avg,I1278_5_sum,I1278_5_avg,I1278_6_sum,I1278_6_avg,I1278_7_sum,I1278_7_avg,I1278_8_sum,I1278_8_avg,I1278_9_sum,I1278_9_avg,I1278_10_sum,I1278_10_avg,I1278_11_sum,I1278_11_avg,I1278_12_sum,I1278_12_avg,I1278_13_sum,I1278_13_avg,I1278_14_sum,I1278_14_avg,I1278_15_sum,I1278_15_avg,I1278_16_sum,I1278_16_avg,I1278_17_sum,I1278_17_avg,I1278_18_sum,I1278_18_avg
India,Haryana,6,"Calendar Year (Jan - Dec), 2020",63036.0,63036.0,19119.0,19119.0,49505.0,49505.0,2638.0,2638.0,2005.0,2005.0,395.0,395.0,575.0,575.0,2720.0,2720.0,55.0,55.0,79.0,79.0,4.2,4.2,3.2,3.2,0.6,0.6,0.9,0.9,4.3,4.3,34466.0,34466.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",69595.0,69595.0,22713.0,22713.0,58097.0,58097.0,3065.0,3065.0,1452.0,1452.0,402.0,402.0,709.0,709.0,1389.0,1389.0,32.6,32.6,83.5,83.5,4.4,4.4,2.1,2.1,0.6,0.6,1.0,1.0,2.0,2.0,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",76051.0,76051.0,28025.0,28025.0,65898.0,65898.0,2980.0,2980.0,1172.0,1172.0,463.0,463.0,781.0,781.0,293.0,293.0,36.9,36.9,86.6,86.6,3.9,3.9,1.5,1.5,0.6,0.6,1.0,1.0,0.4,0.4,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2018",71928.0,71928.0,15767.0,15767.0,51563.0,51563.0,1367.0,1367.0,3353.0,3353.0,499.0,499.0,814.0,814.0,14332.0,14332.0,54.0,54.0,72.0,72.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,20.0,20.0,29158.0,29158.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2019",93819.0,93819.0,16375.0,16375.0,66366.0,66366.0,2111.0,2111.0,4330.0,4330.0,492.0,492.0,1499.0,1499.0,19021.0,19021.0,40.0,40.0,71.0,71.0,2.3,2.3,4.6,4.6,0.5,0.5,1.6,1.6,20.3,20.3,41337.0,41337.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2020",73390.0,73390.0,13261.0,13261.0,52893.0,52893.0,2008.0,2008.0,3448.0,3448.0,388.0,388.0,1645.0,1645.0,1862.0,1862.0,38.0,38.0,72.0,72.0,2.7,2.7,4.7,4.7,0.5,0.5,2.2,2.2,2.5,2.5,34843.0,34843.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2021",82277.0,82277.0,16107.0,16107.0,60991.0,60991.0,2297.0,2297.0,4308.0,4308.0,551.0,551.0,1608.0,1608.0,1242.0,1242.0,19.6,19.6,74.1,74.1,2.8,2.8,5.2,5.2,0.7,0.7,2.0,2.0,1.5,1.5,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2022",85017.0,85017.0,18549.0,18549.0,64548.0,64548.0,1944.0,1944.0,3985.0,3985.0,552.0,552.0,2037.0,2037.0,720.0,720.0,21.8,21.8,75.9,75.9,2.3,2.3,4.7,4.7,0.6,0.6,2.4,2.4,0.8,0.8,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2018",152547.0,152547.0,45801.0,45801.0,117287.0,117287.0,4178.0,4178.0,6220.0,6220.0,938.0,938.0,588.0,588.0,23336.0,23336.0,62.0,62.0,77.0,77.0,3.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,15.0,15.0,73737.0,73737.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2019",169311.0,169311.0,47932.0,47932.0,136017.0,136017.0,4767.0,4767.0,6836.0,6836.0,1020.0,1020.0,1179.0,1179.0,19492.0,19492.0,58.0,58.0,80.0,80.0,2.8,2.8,4.0,4.0,0.6,0.6,0.7,0.7,11.5,11.5,82679.0,82679.0
