Country,StateName,StateCode,Year,TRU,D7298_3,D7298_4,Average_out_of_pocket_medical_expenditure_per_hospitalisation_case_for_treatment_during_stay_at_hospital_sum,Average_out_of_pocket_medical_expenditure_per_hospitalisation_case_for_treatment_during_stay_at_hospital_avg,Estimated_number_of_hospitalisation_cases_sum,Estimated_number_of_hospitalisation_cases_avg,Sample_number_of_hospitalisation_cases_sum,Sample_number_of_hospitalisation_cases_avg
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Private,31280.0,31280.0,2718.0,2718.0,1126.0,1126.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Rural,Person,all (incl.n.r),18458.0,18458.0,2718.0,2718.0,1126.0,1126.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Female,Charitable/NGO/trust run,79957.0,79957.0,2966.0,2966.0,1414.0,1414.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Female,Govt./Public,7404.0,7404.0,2966.0,2966.0,1414.0,1414.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Female,Private,25303.0,25303.0,2966.0,2966.0,1414.0,1414.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Female,all (incl.n.r),11627.0,11627.0,2966.0,2966.0,1414.0,1414.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Male,Charitable/NGO/trust run,203241.0,203241.0,2966.0,2966.0,1414.0,1414.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Male,Govt./Public,17284.0,17284.0,2966.0,2966.0,1414.0,1414.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Male,Private,35638.0,35638.0,2966.0,2966.0,1414.0,1414.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Male,all (incl.n.r),24877.0,24877.0,2966.0,2966.0,1414.0,1414.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Person,Charitable/NGO/trust run,143383.0,143383.0,2966.0,2966.0,1414.0,1414.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Person,Govt./Public,12016.0,12016.0,2966.0,2966.0,1414.0,1414.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Person,Private,31269.0,31269.0,2966.0,2966.0,1414.0,1414.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Total,Person,all (incl.n.r),18132.0,18132.0,2966.0,2966.0,1414.0,1414.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Charitable/NGO/trust run,3920.0,3920.0,248.0,248.0,288.0,288.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Govt./Public,7132.0,7132.0,248.0,248.0,288.0,288.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Private,29139.0,29139.0,248.0,248.0,288.0,288.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Urban,Female,all (incl.n.r),10877.0,10877.0,248.0,248.0,288.0,288.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Charitable/NGO/trust run,5397.0,5397.0,248.0,248.0,288.0,288.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Govt./Public,13985.0,13985.0,248.0,248.0,288.0,288.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Private,32571.0,32571.0,248.0,248.0,288.0,288.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Urban,Male,all (incl.n.r),18699.0,18699.0,248.0,248.0,288.0,288.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Charitable/NGO/trust run,4791.0,4791.0,248.0,248.0,288.0,288.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Govt./Public,10087.0,10087.0,248.0,248.0,288.0,288.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Private,31152.0,31152.0,248.0,248.0,288.0,288.0
India,Himachal Pradesh,2,"Agriculture Year (Jul - Jun), 2017",Urban,Person,all (incl.n.r),14570.0,14570.0,248.0,248.0,288.0,288.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Charitable/NGO/trust run,9169.0,9169.0,4863.0,4863.0,1072.0,1072.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Govt./Public,9568.0,9568.0,4863.0,4863.0,1072.0,1072.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Private,35760.0,35760.0,4863.0,4863.0,1072.0,1072.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Rural,Female,all (incl.n.r),27581.0,27581.0,4863.0,4863.0,1072.0,1072.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Charitable/NGO/trust run,30175.0,30175.0,4863.0,4863.0,1072.0,1072.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Govt./Public,10853.0,10853.0,4863.0,4863.0,1072.0,1072.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Private,45948.0,45948.0,4863.0,4863.0,1072.0,1072.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Rural,Male,all (incl.n.r),33123.0,33123.0,4863.0,4863.0,1072.0,1072.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Charitable/NGO/trust run,22160.0,22160.0,4863.0,4863.0,1072.0,1072.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Govt./Public,10143.0,10143.0,4863.0,4863.0,1072.0,1072.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Private,39499.0,39499.0,4863.0,4863.0,1072.0,1072.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Rural,Person,all (incl.n.r),29829.0,29829.0,4863.0,4863.0,1072.0,1072.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Female,Charitable/NGO/trust run,17219.0,17219.0,7832.0,7832.0,2116.0,2116.0
