Country,StateName,StateCode,Year,D2660_6,Number_of_sub_centres_sum,Number_of_sub_centres_avg,Number_of_Primary_Health_Centres_PHC_sum,Number_of_Primary_Health_Centres_PHC_avg,Number_of_Community_Health_Centres_CHC_sum,Number_of_Community_Health_Centres_CHC_avg
India,Maharashtra,27,"Financial Year (Apr - Mar), 2019",,2562.0,2562.0,397.0,397.0,64.0,64.0
India,Maharashtra,27,"Financial Year (Apr - Mar), 2020",,2054.0,2054.0,317.0,317.0,66.0,66.0
India,Maharashtra,27,"Financial Year (Apr - Mar), 2021",,2076.0,2076.0,318.0,318.0,66.0,66.0
India,Andhra Pradesh,28,"Financial Year (Apr - Mar), 2019",,816.0,816.0,158.0,158.0,21.0,21.0
India,Andhra Pradesh,28,"Financial Year (Apr - Mar), 2020",,822.0,822.0,159.0,159.0,20.0,20.0
India,Andhra Pradesh,28,"Financial Year (Apr - Mar), 2021",,955.0,955.0,158.0,158.0,17.0,17.0
India,Karnataka,29,"Financial Year (Apr - Mar), 2019",,291.0,291.0,65.0,65.0,7.0,7.0
India,Karnataka,29,"Financial Year (Apr - Mar), 2020",,195.0,195.0,31.0,31.0,7.0,7.0
India,Karnataka,29,"Financial Year (Apr - Mar), 2021",,195.0,195.0,31.0,31.0,7.0,7.0
India,Goa,30,"Financial Year (Apr - Mar), 2019",State / UT has no separate Tribal Area / Population,,,,,,
India,Goa,30,"Financial Year (Apr - Mar), 2020",State / UT has no separate Tribal Area / Population,,,,,,
India,Goa,30,"Financial Year (Apr - Mar), 2021",State / UT has no separate Tribal Area / Population,,,,,,
India,Lakshadweep,31,"Financial Year (Apr - Mar), 2019",State has predominantly tribal areas,11.0,11.0,4.0,4.0,3.0,3.0
India,Lakshadweep,31,"Financial Year (Apr - Mar), 2020",State has predominantly tribal areas,7.0,7.0,4.0,4.0,3.0,3.0
India,Lakshadweep,31,"Financial Year (Apr - Mar), 2021",State has predominantly tribal areas,9.0,9.0,4.0,4.0,3.0,3.0
India,Kerala,32,"Financial Year (Apr - Mar), 2019",,272.0,272.0,150.0,150.0,35.0,35.0
India,Kerala,32,"Financial Year (Apr - Mar), 2020",,285.0,285.0,40.0,40.0,13.0,13.0
India,Kerala,32,"Financial Year (Apr - Mar), 2021",,285.0,285.0,40.0,40.0,13.0,13.0
India,Tamil Nadu,33,"Financial Year (Apr - Mar), 2019",,543.0,543.0,94.0,94.0,21.0,21.0
India,Tamil Nadu,33,"Financial Year (Apr - Mar), 2020",,545.0,545.0,96.0,96.0,21.0,21.0
India,Tamil Nadu,33,"Financial Year (Apr - Mar), 2021",,545.0,545.0,96.0,96.0,21.0,21.0
India,Puducherry,34,"Financial Year (Apr - Mar), 2019",State / UT has no separate Tribal Area / Population,,,,,,
India,Puducherry,34,"Financial Year (Apr - Mar), 2020",State / UT has no separate Tribal Area / Population,,,,,,
India,Puducherry,34,"Financial Year (Apr - Mar), 2021",State / UT has no separate Tribal Area / Population,,,,,,
India,Andaman and Nicobar Islands,35,"Financial Year (Apr - Mar), 2019",,37.0,37.0,4.0,4.0,1.0,1.0
India,Andaman and Nicobar Islands,35,"Financial Year (Apr - Mar), 2020",,41.0,41.0,4.0,4.0,1.0,1.0
India,Andaman and Nicobar Islands,35,"Financial Year (Apr - Mar), 2021",,41.0,41.0,4.0,4.0,1.0,1.0
India,Telangana,36,"Financial Year (Apr - Mar), 2019",,1489.0,1489.0,202.0,202.0,19.0,19.0
India,Telangana,36,"Financial Year (Apr - Mar), 2020",,1489.0,1489.0,202.0,202.0,19.0,19.0
India,Telangana,36,"Financial Year (Apr - Mar), 2021",,621.0,621.0,95.0,95.0,8.0,8.0
India,Ladakh,37,"Financial Year (Apr - Mar), 2019",State has predominantly tribal areas,238.0,238.0,32.0,32.0,7.0,7.0
India,Ladakh,37,"Financial Year (Apr - Mar), 2020",State has predominantly tribal areas,289.0,289.0,32.0,32.0,7.0,7.0
India,Ladakh,37,"Financial Year (Apr - Mar), 2021",State has predominantly tribal areas,288.0,288.0,33.0,33.0,7.0,7.0
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Financial Year (Apr - Mar), 2019",,76.0,76.0,9.0,9.0,2.0,2.0
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Financial Year (Apr - Mar), 2020",,49.0,49.0,6.0,6.0,0.0,0.0
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Financial Year (Apr - Mar), 2021",,49.0,49.0,6.0,6.0,0.0,0.0
