Country,StateName,StateCode,Year,I1201_3_sum,I1201_3_avg,I1201_4_sum,I1201_4_avg,I1201_5_sum,I1201_5_avg,I1201_6_sum,I1201_6_avg,I1201_7_sum,I1201_7_avg,I1201_8_sum,I1201_8_avg,I1201_9_sum,I1201_9_avg,I1201_10_sum,I1201_10_avg,I1201_11_sum,I1201_11_avg
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2021",2361.0,2361.0,907245.0,907245.0,73989.0,73989.0,187842.0,187842.0,1169076.0,1169076.0,495.0,495.0,8.0,8.0,5.0,5.0,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2022",2398.03,2398.03,1433276.0,1433276.0,121141.0,121141.0,366197.0,366197.0,1920614.0,1920614.0,801.0,801.0,12.0,12.0,2.0,2.0,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2023",2433.27,2433.27,2616706.0,2616706.0,231037.0,231037.0,214385.0,214385.0,445422.0,445422.0,3062128.0,3062128.0,1258.0,1258.0,18.0,18.0,2.0,2.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2018",1200.92,1200.92,,,,,,,503849.0,503849.0,420.0,420.0,,,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2019",1224.3,1224.3,467796.0,467796.0,,,,,536298.0,536298.0,438.0,438.0,,,,,68502.0,68502.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2020",1247.6,1247.6,203146.0,203146.0,,,,,249311.0,249311.0,200.0,200.0,,,,,46165.0,46165.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2021",1271.0,1271.0,318041.0,318041.0,22291.0,22291.0,40501.0,40501.0,380833.0,380833.0,300.0,300.0,14.0,14.0,6.0,6.0,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2022",1294.71,1294.71,277032.0,277032.0,49621.0,49621.0,58657.0,58657.0,385310.0,385310.0,298.0,298.0,11.0,11.0,3.0,3.0,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2023",1318.93,1318.93,350492.0,350492.0,80116.0,80116.0,43663.0,43663.0,123779.0,123779.0,474271.0,474271.0,360.0,360.0,16.0,16.0,3.0,3.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2018",6.49841,6.49841,,,,,,,10535.0,10535.0,1621.0,1621.0,,,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2019",6.6,6.6,7806.0,7806.0,,,,,14455.0,14455.0,2190.0,2190.0,,,,,6649.0,6649.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2020",6.6,6.6,5081.0,5081.0,,,,,10563.0,10563.0,1611.0,1611.0,,,,,5482.0,5482.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2021",7.0,7.0,7104.0,7104.0,4653.0,4653.0,1161.0,1161.0,12918.0,12918.0,1952.0,1952.0,17.0,17.0,8.0,8.0,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",6.68,6.68,7706.0,7706.0,7337.0,7337.0,1720.0,1720.0,16763.0,16763.0,2510.0,2510.0,65.0,65.0,9.0,9.0,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2023",6.74,6.74,5219.0,5219.0,9711.0,9711.0,842.0,842.0,10553.0,10553.0,15772.0,15772.0,2341.0,2341.0,88.0,88.0,11.0,11.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2018",15.81877,15.81877,,,,,,,13575.0,13575.0,858.0,858.0,,,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2019",16.2,16.2,11169.0,11169.0,,,,,15174.0,15174.0,937.0,937.0,,,,,4005.0,4005.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2020",16.4,16.4,6397.0,6397.0,,,,,10003.0,10003.0,610.0,610.0,,,,,3606.0,3606.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2021",17.0,17.0,8154.0,8154.0,3023.0,3023.0,6124.0,6124.0,17301.0,17301.0,1038.0,1038.0,7.0,7.0,16.0,16.0,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2022",16.96,16.96,13973.0,13973.0,1227.0,1227.0,8101.0,8101.0,23301.0,23301.0,1374.0,1374.0,12.0,12.0,6.0,6.0,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2023",25.83,25.83,10071.0,10071.0,4339.0,4339.0,7424.0,7424.0,11763.0,11763.0,21834.0,21834.0,845.0,845.0,13.0,13.0,8.0,8.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2018",20.5022,20.5022,,,,,,,14128.0,14128.0,689.0,689.0,,,,,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2019",20.7,20.7,11572.0,11572.0,,,,,18129.0,18129.0,876.0,876.0,,,,,6557.0,6557.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2020",20.7,20.7,6558.0,6558.0,,,,,11207.0,11207.0,541.0,541.0,,,,,4649.0,4649.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2021",21.0,21.0,8003.0,8003.0,7041.0,7041.0,794.0,794.0,15838.0,15838.0,761.0,761.0,8.0,8.0,6.0,6.0,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2022",20.9,20.9,14538.0,14538.0,7642.0,7642.0,1784.0,1784.0,23964.0,23964.0,1147.0,1147.0,12.0,12.0,5.0,5.0,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2023",21.0,21.0,12245.0,12245.0,5023.0,5023.0,4269.0,4269.0,9292.0,9292.0,21537.0,21537.0,1026.0,1026.0,15.0,15.0,4.0,4.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2018",30.34285,30.34285,,,,,,,18206.0,18206.0,600.0,600.0,,,,,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2019",30.8,30.8,9639.0,9639.0,,,,,15540.0,15540.0,505.0,505.0,,,,,5901.0,5901.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2020",31.2,31.2,3526.0,3526.0,,,,,5957.0,5957.0,191.0,191.0,,,,,2431.0,2431.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2021",32.0,32.0,7710.0,7710.0,5764.0,5764.0,174.0,174.0,13648.0,13648.0,431.0,431.0,17.0,17.0,7.0,7.0,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2022",35.43,35.43,9351.0,9351.0,5632.0,5632.0,2940.0,2940.0,17923.0,17923.0,506.0,506.0,19.0,19.0,7.0,7.0,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2023",35.94,35.94,5550.0,5550.0,7126.0,7126.0,1633.0,1633.0,8759.0,8759.0,14309.0,14309.0,398.0,398.0,16.0,16.0,7.0,7.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2018",12.23413,12.23413,,,,,,,13589.0,13589.0,1111.0,1111.0,,,,,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2019",12.5,12.5,6944.0,6944.0,,,,,15181.0,15181.0,1214.0,1214.0,,,,,8237.0,8237.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2020",12.6,12.6,5148.0,5148.0,,,,,10623.0,10623.0,842.0,842.0,,,,,5475.0,5475.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2021",13.0,13.0,4843.0,4843.0,2836.0,2836.0,0.0,0.0,7679.0,7679.0,600.0,600.0,18.0,18.0,6.0,6.0,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2022",13.0,13.0,9126.0,9126.0,5434.0,5434.0,1155.0,1155.0,15715.0,15715.0,1209.0,1209.0,29.0,29.0,7.0,7.0,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2023",13.19,13.19,14520.0,14520.0,9216.0,9216.0,346.0,346.0,9562.0,9562.0,24082.0,24082.0,1826.0,1826.0,26.0,26.0,10.0,10.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2018",38.93295,38.93295,,,,,,,25988.0,25988.0,668.0,668.0,,,,,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2019",39.3,39.3,39557.0,39557.0,,,,,45827.0,45827.0,1166.0,1166.0,,,,,6270.0,6270.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2020",39.6,39.6,17991.0,17991.0,,,,,23137.0,23137.0,585.0,585.0,,,,,5146.0,5146.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2021",40.0,40.0,15274.0,15274.0,3270.0,3270.0,4992.0,4992.0,23536.0,23536.0,590.0,590.0,13.0,13.0,11.0,11.0,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2022",40.21,40.21,44353.0,44353.0,4007.0,4007.0,6272.0,6272.0,54632.0,54632.0,1359.0,1359.0,28.0,28.0,4.0,4.0,,
