Country,StateName,StateCode,Year,Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_public_sector_sum,Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_public_sector_avg,Percentage_of_Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_public_sector_sum,Percentage_of_Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_public_sector_avg,Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_private_sector_sum,Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_private_sector_avg,Percentage_of_Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_private_sector_sum,Percentage_of_Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_private_sector_avg,Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_public_sector_sum,Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_public_sector_avg,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_public_sector_sum,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_public_sector_avg,Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_private_sector_sum,Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_private_sector_avg,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_private_sector_sum,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_private_sector_avg,Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_public_sector_sum,Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_public_sector_avg,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_public_sector_sum,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_public_sector_avg,Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_private_sector_sum,Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_private_sector_avg,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_private_sector_sum,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_private_sector_avg,Tuberculosis_TB_patients_notified_under_public_sector_sum,Tuberculosis_TB_patients_notified_under_public_sector_avg,Tuberculosis_TB_Patients_notified_under_private_sector_sum,Tuberculosis_TB_Patients_notified_under_private_sector_avg
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2023",26987.0,26987.0,91.6,91.6,8243.0,8243.0,88.8,88.8,2473.0,2473.0,9.2,9.2,639.0,639.0,7.8,7.8,1184.0,1184.0,47.9,47.9,155.0,155.0,24.3,24.3,,,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2024",26131.0,26131.0,91.5,91.5,9294.0,9294.0,89.0,89.0,2393.0,2393.0,9.2,9.2,620.0,620.0,6.7,6.7,1091.0,1091.0,45.6,45.6,86.0,86.0,13.9,13.9,,,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2020",103484.0,103484.0,,,18039.0,18039.0,,,4395.0,4395.0,,,475.0,475.0,,,1713.0,1713.0,,,194.0,194.0,,,146677.0,146677.0,40834.0,40834.0
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2021",94501.0,94501.0,87.0,87.0,20476.0,20476.0,68.0,68.0,4269.0,4269.0,5.0,5.0,759.0,759.0,4.0,4.0,1753.0,1753.0,41.0,41.0,259.0,259.0,34.0,34.0,,,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2022",108962.0,108962.0,90.0,90.0,42289.0,42289.0,89.0,89.0,6194.0,6194.0,6.0,6.0,2659.0,2659.0,6.0,6.0,2994.0,2994.0,48.0,48.0,790.0,790.0,30.0,30.0,,,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2023",125381.0,125381.0,89.8,89.8,46026.0,46026.0,93.5,93.5,6816.0,6816.0,5.4,5.4,3221.0,3221.0,7.0,7.0,2983.0,2983.0,43.8,43.8,1196.0,1196.0,37.1,37.1,,,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2024",123487.0,123487.0,89.4,89.4,45620.0,45620.0,93.4,93.4,6654.0,6654.0,5.4,5.4,3614.0,3614.0,7.9,7.9,2767.0,2767.0,41.6,41.6,1025.0,1025.0,28.4,28.4,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2020",97639.0,97639.0,,,36476.0,36476.0,,,5285.0,5285.0,,,1947.0,1947.0,,,3245.0,3245.0,,,1144.0,1144.0,,,103012.0,103012.0,53159.0,53159.0
India,Gujarat,24,"Calendar Year (Jan - Dec), 2021",78410.0,78410.0,98.0,98.0,33800.0,33800.0,87.0,87.0,4167.0,4167.0,5.0,5.0,1707.0,1707.0,5.0,5.0,3262.0,3262.0,78.0,78.0,1205.0,1205.0,71.0,71.0,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2022",98844.0,98844.0,98.0,98.0,37285.0,37285.0,92.0,92.0,5561.0,5561.0,6.0,6.0,1939.0,1939.0,5.0,5.0,4856.0,4856.0,87.0,87.0,1641.0,1641.0,85.0,85.0,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2023",106333.0,106333.0,97.8,97.8,35899.0,35899.0,90.9,90.9,5343.0,5343.0,5.0,5.0,1250.0,1250.0,3.5,3.5,4304.0,4304.0,80.6,80.6,991.0,991.0,79.3,79.3,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2024",99010.0,99010.0,97.4,97.4,36360.0,36360.0,93.3,93.3,5502.0,5502.0,5.6,5.6,1499.0,1499.0,4.1,4.1,4110.0,4110.0,74.7,74.7,1120.0,1120.0,74.7,74.7,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2020",122853.0,122853.0,,,47075.0,47075.0,,,7219.0,7219.0,,,2101.0,2101.0,,,3827.0,3827.0,,,771.0,771.0,,,148422.0,148422.0,76144.0,76144.0
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2021",96507.0,96507.0,93.0,93.0,47810.0,47810.0,90.0,90.0,6340.0,6340.0,7.0,7.0,2901.0,2901.0,6.0,6.0,3761.0,3761.0,59.0,59.0,1295.0,1295.0,45.0,45.0,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2022",118769.0,118769.0,94.0,94.0,64409.0,64409.0,92.0,92.0,8136.0,8136.0,7.0,7.0,4140.0,4140.0,6.0,6.0,5771.0,5771.0,71.0,71.0,2473.0,2473.0,60.0,60.0,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2023",148268.0,148268.0,97.3,97.3,73877.0,73877.0,95.5,95.5,9416.0,9416.0,6.4,6.4,4376.0,4376.0,5.9,5.9,6493.0,6493.0,69.0,69.0,2543.0,2543.0,58.1,58.1,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2024",138154.0,138154.0,95.8,95.8,74880.0,74880.0,93.5,93.5,8713.0,8713.0,6.3,6.3,4080.0,4080.0,5.4,5.4,6188.0,6188.0,71.0,71.0,2747.0,2747.0,67.3,67.3,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2020",66871.0,66871.0,,,16223.0,16223.0,,,6637.0,6637.0,,,1406.0,1406.0,,,4275.0,4275.0,,,799.0,799.0,,,75931.0,75931.0,23973.0,23973.0
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2021",44510.0,44510.0,93.0,93.0,16186.0,16186.0,94.0,94.0,5178.0,5178.0,12.0,12.0,1673.0,1673.0,10.0,10.0,3362.0,3362.0,65.0,65.0,1113.0,1113.0,67.0,67.0,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2022",61941.0,61941.0,98.0,98.0,24186.0,24186.0,99.0,99.0,8510.0,8510.0,14.0,14.0,2730.0,2730.0,11.0,11.0,5624.0,5624.0,66.0,66.0,1513.0,1513.0,55.0,55.0,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2023",65235.0,65235.0,98.7,98.7,26883.0,26883.0,99.6,99.6,8816.0,8816.0,13.5,13.5,2940.0,2940.0,,,6282.0,6282.0,71.3,71.3,1671.0,1671.0,56.8,56.8,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2024",61914.0,61914.0,97.6,97.6,26315.0,26315.0,99.4,99.4,8107.0,8107.0,13.1,13.1,2951.0,2951.0,11.2,11.2,5609.0,5609.0,69.2,69.2,1392.0,1392.0,47.2,47.2,,,,
