StateCode,StateName,Year,lab_tech_fill_rate,phc_doctor_fill_rate,chc_specialist_fill_rate,anm_fill_rate,pharmacist_fill_rate
23,Madhya Pradesh,2020,0.4542440318302387,0.3016393442622951,0.9554263565891473,0.06331370117792932,0.1226790450928382
23,Madhya Pradesh,2021,0.302158273381295,0.3073661897191309,0.9544973544973545,0.06885831973264941,0.060170045781556575
23,Madhya Pradesh,2022,0.27972465581977474,0.1618705035971223,0.9446772841575859,0.05957829355998692,0.10826032540675845
24,Gujarat,2019,0.060836501901140684,0.17165593027661993,0.8036605657237936,0.13850779928584853,0.10666666666666667
24,Gujarat,2020,0.17522321428571427,0.20278223649010166,0.9514925373134329,0.20435831323297013,0.1668472372697725
24,Gujarat,2021,0.02541436464088398,0.11770888071466107,0.6311475409836066,0.13728696849715957,0.10165745856353592
24,Gujarat,2022,0.09618484685652874,0.09856153436334576,0.6909975669099757,0.13391648443194834,0.13198509845662587
27,Maharashtra,2019,0.22878625134264233,0.07463154593916588,0.4106925880923451,0.07010644209806352,0.08658658658658659
27,Maharashtra,2020,0.25684608120868746,0.2060217451909674,0.2849462365591398,0.13287281592848435,0.11201814058956916
27,Maharashtra,2021,0.25706472196900637,0.19124595871673714,0.3022774327122153,0.18923154418760843,0.1342069588793493
27,Maharashtra,2022,0.26455519329296695,0.18207070707070708,0.3075221238938053,0.25637425171827655,0.15210355987055016
28,Andhra Pradesh,2019,0.29325259515570934,0.07894736842105263,0.19661016949152543,0.1723292469352014,0.23780945236309078
28,Andhra Pradesh,2020,0.26430298146655923,0.0338527673293928,0.16666666666666666,0.08081279925259839,0.17735550277117973
28,Andhra Pradesh,2021,0.2288659793814433,0.06756756756756757,0.3192389006342495,0.0840356813288219,0.15200562983814214
28,Andhra Pradesh,2022,0.21764705882352942,0.07162284678150499,0.35294117647058826,0.05210935826968378,0.16826265389876882
29,Karnataka,2019,0.17332583005064717,0.007522331922896097,0.4128787878787879,0.0,0.18302277432712216
29,Karnataka,2020,0.10249739854318418,0.10848041325871717,0.49498997995991983,0.24661933739012845,0.26108998732572875
29,Karnataka,2021,0.17314148681055155,0.2514546965918537,0.525974025974026,0.19985955056179774,0.2902160101651842
29,Karnataka,2022,0.16719963453631795,0.16613162118780098,0.42950108459869846,0.28411424304648125,0.3125261834939254
30,Goa,2019,0.03225806451612903,0.0,0.0,0.18831168831168832,0.046511627906976744
30,Goa,2020,0.0,0.0,0.0,0.0,0.0
30,Goa,2021,0.0,0.09375,0.6875,0.12751677852348994,0.06666666666666667
30,Goa,2022,0.0,0.10810810810810811,0.9090909090909091,0.2601279317697228,0.10869565217391304
31,Lakshadweep,2019,0.0,0.0,,0.0,0.0
31,Lakshadweep,2020,0.0,0.0,0.0,0.0,0.0
31,Lakshadweep,2021,0.16666666666666666,0.0,0.0,0.07692307692307693,0.21428571428571427
31,Lakshadweep,2022,0.0,0.0,0.0,0.022222222222222223,0.13333333333333333
32,Kerala,2019,0.0,0.0,0.0,0.0,0.0
32,Kerala,2020,0.03747870528109029,0.16895715440582054,0.09895833333333333,0.04472069744914434,0.1303370786516854
32,Kerala,2021,0.036284470246734396,0.046,0.0,0.12407132243684993,0.028333333333333332
32,Kerala,2022,0.02185792349726776,0.03900255754475703,0.04,0.17893835616438356,0.008340283569641367
33,Tamil Nadu,2019,0.5213675213675214,0.3751758087201125,,0.10345756623259991,0.23108769288671435
33,Tamil Nadu,2020,0.37767094017094016,0.09005376344086022,0.2852664576802508,0.1267898767898768,0.13055403181568842
33,Tamil Nadu,2021,0.23769269020387868,0.08893346706787028,0.23006134969325154,0.0484577637574483,0.16249334043686733
