StateCode,StateName,Year,success_rate,ltfu_rate,lab_tech_fill_rate,phc_doctor_fill_rate,stunting_pct,improved_sanitation_pct,oop_per_hospitalisation
30,Goa,2021,80.1,3.1,0.0,0.09375,26.25,87.7,11983.0
30,Goa,2022,74.3,4.4,0.0,0.1081081081081081,26.25,87.7,11983.0
31,Lakshadweep,2019,64.0,0.0,0.0,0.0,33.15,99.85,10383.0
31,Lakshadweep,2020,88.0,0.0,0.0,0.0,33.15,99.85,10383.0
31,Lakshadweep,2021,90.0,0.0,0.1666666666666666,0.0,33.15,99.85,10383.0
31,Lakshadweep,2022,100.0,0.0,0.0,0.0,33.15,99.85,10383.0
32,Kerala,2019,83.0,1.9,0.0,0.0,23.25,98.75,17098.0
32,Kerala,2020,81.0,1.8,0.0374787052810902,0.1689571544058205,23.25,98.75,17098.0
32,Kerala,2021,79.5,2.2,0.0362844702467343,0.046,23.25,98.75,17098.0
32,Kerala,2022,81.8,2.6,0.0218579234972677,0.039002557544757,23.25,98.75,17098.0
33,Tamil Nadu,2019,83.0,3.0,0.5213675213675214,0.3751758087201125,24.7,73.05,15835.0
33,Tamil Nadu,2020,83.0,2.5,0.3776709401709401,0.0900537634408602,24.7,73.05,15835.0
33,Tamil Nadu,2021,83.1,2.8,0.2376926902038786,0.0889334670678702,24.7,73.05,15835.0
33,Tamil Nadu,2022,85.8,2.5,0.2216162617749132,0.0884125920964501,24.7,73.05,15835.0
34,Puducherry,2019,81.0,2.7,0.0,0.0,18.65,81.9,19646.0
34,Puducherry,2020,81.0,2.3,0.0666666666666666,0.0,18.65,81.9,19646.0
34,Puducherry,2021,80.6,2.4,0.0666666666666666,0.0,18.65,81.9,19646.0
34,Puducherry,2022,81.8,2.7,0.0666666666666666,0.0,18.65,81.9,19646.0
35,Andaman And Nicobar Islands,2019,84.0,3.2,0.1739130434782608,0.1904761904761904,22.3,88.0,16379.0
35,Andaman And Nicobar Islands,2020,85.0,1.4,0.0,0.0,22.3,88.0,16379.0
35,Andaman And Nicobar Islands,2021,86.7,2.5,0.1111111111111111,0.0566037735849056,22.3,88.0,16379.0
35,Andaman And Nicobar Islands,2022,85.0,3.1,0.1111111111111111,0.0566037735849056,22.3,88.0,16379.0
36,Telangana,2019,89.0,0.8,0.1630012936610608,0.0326953748006379,31.9,77.35,22377.0
36,Telangana,2020,89.0,0.6,0.1630012936610608,0.0326953748006379,31.9,77.35,22377.0
36,Telangana,2021,91.2,0.7,0.1630012936610608,0.0326953748006379,31.9,77.35,22377.0
36,Telangana,2022,91.7,0.5,0.165079365079365,0.3098106712564544,31.9,77.35,22377.0
37,Ladakh,2019,86.0,0.2,0.0394456289985744,0.4040207522710831,29.65,54.75,8724.0
37,Ladakh,2020,77.0,1.6,0.0909090909090909,0.5652173913043478,29.65,54.75,8724.0
37,Ladakh,2021,82.2,1.3,0.1538461538461538,0.5161290322580645,29.65,54.75,8724.0
37,Ladakh,2022,87.8,0.3,0.2,0.5,29.65,54.75,8724.0
38,The Dadra And Nagar Haveli And Daman And Diu,2019,92.0,2.5,0.0869565217391304,0.25,39.3,65.9,13964.7076144477
38,The Dadra And Nagar Haveli And Daman And Diu,2020,93.0,0.7,0.0,0.0,39.3,65.9,13964.7076144477
38,The Dadra And Nagar Haveli And Daman And Diu,2021,92.5,0.3,0.0,0.0,39.3,65.9,13964.7076144477
38,The Dadra And Nagar Haveli And Daman And Diu,2022,94.3,0.1,0.0,0.0,39.3,65.9,13964.7076144477
