StateCode,StateName,Year,state_category,success_rate,ltfu_rate,death_rate,lab_tech_fill_rate,phc_doctor_fill_rate,anm_fill_rate,chc_specialist_fill_rate,oop_per_hospitalisation,barrier_financial_pct,barrier_distance_pct,tb_dm_coinfected_pct,drtb_pct,stunting_pct,improved_sanitation_pct,health_insurance_coverage_pct,notification_achievement_rate,presumptive_examination_rate
10,Bihar,2021,,81.9,3.9,3.7,0.7739552066497345,0.3277739170720408,0.547695581812942,0.8732057416267942,12258.0,10.0,280.0,5.0,,40.35,57.45,13.35,0.6888631578947368,300.0
10,Bihar,2022,,83.9,4.5,3.2,0.4346201743462017,0.5721835883171071,0.0567139710026128,0.7486338797814208,12258.0,10.0,280.0,6.0,2.1,40.35,57.45,13.35,0.80103,298.0
11,Sikkim,2019,North East States,89.0,0.8,3.7,,,,,6194.0,0.0,229.99999999999997,,,20.35,86.65,26.4,0.2406451612903225,2190.0
11,Sikkim,2020,,90.0,0.8,4.0,0.0,0.2916666666666667,0.0,0.5,6194.0,0.0,229.99999999999997,,,20.35,86.65,26.4,0.36,1611.0
11,Sikkim,2021,,88.1,1.5,4.0,0.0,0.0256410256410256,0.0,1.0,6194.0,0.0,229.99999999999997,8.0,,20.35,86.65,26.4,0.7927272727272727,1952.0
11,Sikkim,2022,,90.9,0.5,3.5,,0.0256410256410256,,,6194.0,0.0,229.99999999999997,9.0,16.2,20.35,86.65,26.4,0.8573333333333333,2510.0
12,Arunachal Pradesh,2019,North East States,82.0,7.1,2.2,,,,,4652.0,0.0,50.0,,,28.15,81.65,31.05,0.2866666666666667,937.0
12,Arunachal Pradesh,2020,,83.0,5.1,3.2,,,,,4652.0,0.0,50.0,,,28.15,81.65,31.05,0.3768571428571428,610.0
12,Arunachal Pradesh,2021,,79.3,6.6,2.7,0.0,0.0,0.0,0.0,4652.0,0.0,50.0,2.0,,28.15,81.65,31.05,0.7488571428571429,1038.0
12,Arunachal Pradesh,2022,,82.4,7.5,2.2,,,,,4652.0,0.0,50.0,2.0,6.5,28.15,81.65,31.05,0.774,1374.0
13,Nagaland,2019,North East States,83.0,3.5,2.3,0.0,0.0,0.0,,7572.0,0.0,170.0,,,30.9,86.30000000000001,19.05,0.5125,876.0
13,Nagaland,2020,,81.0,2.6,2.8,0.0,0.0,0.0,0.0,7572.0,0.0,170.0,,,30.9,86.30000000000001,19.05,0.4448,541.0
13,Nagaland,2021,,85.9,2.9,3.1,0.0,0.0,0.0,0.3,7572.0,0.0,170.0,5.0,,30.9,86.30000000000001,19.05,0.7238,761.0
13,Nagaland,2022,,87.9,4.7,2.3,,0.0579710144927536,,,7572.0,0.0,170.0,4.0,2.5,30.9,86.30000000000001,19.05,0.7866,1147.0
14,Manipur,2019,North East States,69.0,2.9,2.8,0.2647058823529412,0.1260504201680672,0.1204717775905644,0.25,15043.0,0.0,220.00000000000003,,,22.6,64.05,13.8,0.298,505.0
14,Manipur,2020,,80.0,2.7,3.5,0.0,0.0,0.0,0.8333333333333334,15043.0,0.0,220.00000000000003,,,22.6,64.05,13.8,0.2671428571428571,191.0
14,Manipur,2021,,79.4,3.4,4.0,0.1259259259259259,0.086053412462908,0.1175438596491228,0.4230769230769231,15043.0,0.0,220.00000000000003,15.0,,22.6,64.05,13.8,0.4997142857142857,431.0
14,Manipur,2022,,71.6,4.2,3.3,0.1374045801526717,0.1020408163265306,0.1307609860664523,0.4375,15043.0,0.0,220.00000000000003,18.0,2.0,22.6,64.05,13.8,0.7866666666666666,506.0
15,Mizoram,2019,North East States,67.0,1.4,1.6,,,,,4478.0,0.0,640.0,,,28.7,95.15,47.0,0.3335384615384615,1214.0
15,Mizoram,2020,,89.0,1.6,2.5,,,,,4478.0,0.0,640.0,,,28.7,95.15,47.0,0.28275,842.0
15,Mizoram,2021,,88.4,2.0,4.3,,,,,4478.0,0.0,640.0,6.0,,28.7,95.15,47.0,0.41925,600.0
15,Mizoram,2022,,87.5,1.9,4.3,,,,,4478.0,0.0,640.0,6.0,6.4,28.7,95.15,47.0,0.6393333333333333,1209.0
16,Tripura,2019,North East States,83.0,2.9,5.9,,,,,6147.0,0.0,800.0,,,30.5,75.05,30.7,0.2380645161290322,1166.0
16,Tripura,2020,,81.0,2.3,7.4,,,,,6147.0,0.0,800.0,,,30.5,75.05,30.7,0.2562857142857143,585.0
16,Tripura,2021,,85.3,2.1,6.1,,,,,6147.0,0.0,800.0,16.0,,30.5,75.05,30.7,0.7037142857142857,590.0
16,Tripura,2022,,86.8,2.4,5.6,,,,,6147.0,0.0,800.0,16.0,0.7,30.5,75.05,30.7,0.7842857142857143,1359.0
17,Meghalaya,2019,North East States,80.0,3.1,3.7,,,,,4083.0,10.0,190.0,,,41.650000000000006,82.3,59.65,0.9349122807017544,968.0
17,Meghalaya,2020,,80.0,3.8,4.8,0.0,0.0,0.0,0.2,4083.0,10.0,190.0,,,41.650000000000006,82.3,59.65,0.6733333333333333,586.0
17,Meghalaya,2021,,84.8,2.1,4.6,0.0,0.0742857142857142,0.0,0.0,4083.0,10.0,190.0,4.0,,41.650000000000006,82.3,59.65,0.6746666666666666,637.0
17,Meghalaya,2022,,83.2,3.0,4.2,,0.0393258426966292,,0.0,4083.0,10.0,190.0,5.0,6.1,41.650000000000006,82.3,59.65,0.8128333333333333,1350.0
18,Assam,2019,EAG+1 States,83.0,2.5,3.9,,,,,13798.0,670.0,950.0,,,32.9,69.05000000000001,56.0,0.96058,600.0
18,Assam,2020,,84.0,1.8,4.1,0.0,0.0,0.0,0.0,13798.0,670.0,950.0,,,32.9,69.05000000000001,56.0,0.5815886287625418,354.0
18,Assam,2021,,88.1,1.9,4.4,0.0868628858578607,0.1753130590339892,0.048823400043985,0.42,13798.0,670.0,950.0,7.0,,32.9,69.05000000000001,56.0,0.6023832528180354,355.0
18,Assam,2022,,88.6,1.4,3.7,,0.1459492888064316,,0.3295880149812734,13798.0,670.0,950.0,8.0,2.0,32.9,69.05000000000001,56.0,0.7803770491803279,791.0
19,West Bengal,2019,Major (Non EAG States),81.0,2.7,5.0,0.1513513513513513,0.3891402714932127,0.0319506726457399,0.8763066202090593,14580.0,30.0,270.0,,,33.25,69.85,28.45,0.869944,1376.0
19,West Bengal,2020,,84.0,2.0,5.6,0.3487738419618528,0.2100719424460431,0.0336313546106663,0.5492264416315049,14580.0,30.0,270.0,,,33.25,69.85,28.45,0.5062642857142857,915.0
19,West Bengal,2021,,83.4,1.9,5.6,0.4085808580858086,0.3770384866275277,0.1088919422907056,0.7957317073170732,14580.0,30.0,270.0,12.0,,33.25,69.85,28.45,0.5327142857142857,947.0
19,West Bengal,2022,,85.7,2.0,5.0,0.3706484641638225,0.3660598179453836,0.1180598095450242,0.6643598615916955,14580.0,30.0,270.0,14.0,3.1,33.25,69.85,28.45,0.6879,1367.0
