StateCode,StateName,Year,success_rate_public,ltfu_rate_public,death_rate_public
31,Lakshadweep,2022,100.0,0.0,0.0
32,Kerala,2017,88.0,2.8,4.0
32,Kerala,2018,89.0,2.0,5.0
32,Kerala,2019,83.0,1.9,7.2
32,Kerala,2020,82.0,1.8,7.8
32,Kerala,2021,80.8,2.1,7.9
32,Kerala,2022,82.7,2.4,8.3
33,Tamil Nadu,2017,82.0,5.5,4.8
33,Tamil Nadu,2018,85.0,4.0,5.0
33,Tamil Nadu,2019,84.0,3.1,5.7
33,Tamil Nadu,2020,82.0,2.2,6.4
33,Tamil Nadu,2021,83.1,2.6,6.6
33,Tamil Nadu,2022,85.1,2.6,6.1
34,Puducherry,2017,85.0,3.8,5.5
34,Puducherry,2018,86.0,3.0,6.0
34,Puducherry,2019,81.0,2.8,7.4
34,Puducherry,2020,81.0,2.3,6.6
34,Puducherry,2021,80.6,2.4,5.4
34,Puducherry,2022,81.9,2.7,7.8
35,Andaman and Nicobar Islands,2017,90.0,2.4,3.1
35,Andaman and Nicobar Islands,2018,88.0,3.0,2.0
35,Andaman and Nicobar Islands,2019,84.0,3.1,4.6
35,Andaman and Nicobar Islands,2020,85.0,1.4,3.7
35,Andaman and Nicobar Islands,2021,86.8,2.5,2.5
35,Andaman and Nicobar Islands,2022,85.1,3.2,2.8
36,Telangana,2017,84.0,3.2,4.0
36,Telangana,2018,90.0,2.0,4.0
36,Telangana,2019,88.0,1.0,3.9
36,Telangana,2020,87.0,0.6,3.4
36,Telangana,2021,90.6,0.7,3.1
36,Telangana,2022,91.1,0.6,2.7
37,Ladakh,2017,69.0,2.0,2.4
37,Ladakh,2018,84.0,2.0,3.0
37,Ladakh,2019,85.0,0.3,6.0
37,Ladakh,2020,76.0,1.8,8.4
37,Ladakh,2021,82.0,1.4,7.1
37,Ladakh,2022,88.3,0.3,4.8
38,The Dadra and Nagar Haveli and Daman and Diu,2017,85.1704168525,8.1591189096,3.3244374721
38,The Dadra and Nagar Haveli and Daman and Diu,2018,85.4317858735,6.3068451054,3.3693154895
38,The Dadra and Nagar Haveli and Daman and Diu,2019,91.0,2.8,2.8
38,The Dadra and Nagar Haveli and Daman and Diu,2020,93.0,0.8,2.4
38,The Dadra and Nagar Haveli and Daman and Diu,2021,92.1,0.3,4.3
38,The Dadra and Nagar Haveli and Daman and Diu,2022,93.9,0.1,2.8
