StateCode,StateName,DistrictCode,DistrictName,Year,phc_count,chc_count,sc_count,dh_count
2,Himachal Pradesh,23,Shimla,2019,122.0,17.0,252.0,1.0
2,Himachal Pradesh,23,Shimla,2020,115.0,17.0,245.0,1.0
2,Himachal Pradesh,23,Shimla,2021,114.0,17.0,245.0,1.0
2,Himachal Pradesh,24,Sirmaur,2016,38.0,4.0,148.0,1.0
2,Himachal Pradesh,24,Sirmaur,2017,39.0,5.0,149.0,1.0
2,Himachal Pradesh,24,Sirmaur,2018,121.0,17.0,253.0,1.0
2,Himachal Pradesh,24,Sirmaur,2019,44.0,6.0,149.0,0.0
2,Himachal Pradesh,24,Sirmaur,2020,46.0,6.0,147.0,0.0
2,Himachal Pradesh,24,Sirmaur,2021,46.0,6.0,148.0,0.0
2,Himachal Pradesh,25,Solan,2016,35.0,6.0,179.0,1.0
2,Himachal Pradesh,25,Solan,2017,42.0,5.0,175.0,1.0
2,Himachal Pradesh,25,Solan,2018,41.0,6.0,175.0,1.0
2,Himachal Pradesh,25,Solan,2019,41.0,6.0,175.0,1.0
2,Himachal Pradesh,25,Solan,2020,42.0,7.0,182.0,1.0
2,Himachal Pradesh,25,Solan,2021,43.0,7.0,182.0,1.0
2,Himachal Pradesh,26,Una,2016,23.0,8.0,134.0,1.0
2,Himachal Pradesh,26,Una,2017,25.0,8.0,134.0,1.0
2,Himachal Pradesh,26,Una,2018,24.0,9.0,134.0,1.0
2,Himachal Pradesh,26,Una,2019,24.0,9.0,136.0,1.0
2,Himachal Pradesh,26,Una,2020,23.0,9.0,136.0,1.0
2,Himachal Pradesh,26,Una,2021,24.0,8.0,138.0,1.0
3,Punjab,27,Amritsar,2016,34.0,6.0,179.0,1.0
3,Punjab,27,Amritsar,2017,34.0,6.0,179.0,1.0
3,Punjab,27,Amritsar,2018,22.0,6.0,140.0,1.0
3,Punjab,27,Amritsar,2020,44.0,8.0,179.0,1.0
3,Punjab,27,Amritsar,2021,44.0,8.0,179.0,1.0
3,Punjab,28,Bathinda,2016,19.0,9.0,136.0,1.0
3,Punjab,28,Bathinda,2017,19.0,9.0,136.0,1.0
3,Punjab,28,Bathinda,2018,6.0,9.0,111.0,1.0
3,Punjab,28,Bathinda,2020,24.0,9.0,136.0,1.0
3,Punjab,28,Bathinda,2021,24.0,9.0,136.0,1.0
3,Punjab,29,Faridkot,2016,8.0,4.0,62.0,1.0
3,Punjab,29,Faridkot,2017,8.0,4.0,62.0,1.0
3,Punjab,29,Faridkot,2018,3.0,4.0,54.0,1.0
3,Punjab,29,Faridkot,2020,11.0,3.0,62.0,1.0
3,Punjab,29,Faridkot,2021,11.0,3.0,62.0,1.0
3,Punjab,30,Fatehgarh Sahib,2016,13.0,5.0,73.0,1.0
3,Punjab,30,Fatehgarh Sahib,2017,17.0,4.0,122.0,1.0
3,Punjab,30,Fatehgarh Sahib,2018,0.0,5.0,61.0,1.0
3,Punjab,30,Fatehgarh Sahib,2020,15.0,5.0,73.0,1.0
3,Punjab,30,Fatehgarh Sahib,2021,15.0,5.0,73.0,1.0
3,Punjab,31,Ferozepur,2016,17.0,4.0,122.0,1.0
3,Punjab,31,Ferozepur,2017,13.0,5.0,73.0,1.0
3,Punjab,31,Ferozepur,2018,1.0,4.0,107.0,1.0
3,Punjab,31,Ferozepur,2020,19.0,4.0,122.0,1.0
3,Punjab,31,Ferozepur,2021,19.0,4.0,122.0,1.0
3,Punjab,32,Gurdaspur,2016,31.0,13.0,222.0,1.0
