StateCode,StateName,Year,cases_notified_female,cases_notified_male,cases_notified_transgender,death_rate_female,death_rate_male,death_rate_transgender,success_rate_female,success_rate_male,success_rate_transgender,success_rate_gender_gap
23,Madhya Pradesh,2022,50151.0,85532.0,76.0,3.0,4.0,1.0,83.0,78.0,80.0,-5.0
23,Madhya Pradesh,2023,63342.0,102694.0,62.0,2.7,4.8,4.8,87.6,83.0,80.6,-4.599999999999994
24,Gujarat,2021,54418.0,101713.0,92.0,4.0,5.0,2.0,87.0,83.0,80.0,-4.0
24,Gujarat,2022,41423.0,73866.0,56.0,3.0,5.0,2.0,90.0,87.0,89.0,-3.0
24,Gujarat,2023,49881.0,88146.0,40.0,3.5,5.8,15.0,91.1,87.4,80.0,-3.6999999999999886
27,Maharashtra,2021,96781.0,126223.0,203.0,3.0,5.0,3.0,81.0,79.0,76.0,-2.0
27,Maharashtra,2022,66324.0,81008.0,88.0,4.0,6.0,5.0,86.0,83.0,88.0,-3.0
27,Maharashtra,2023,84911.0,97556.0,83.0,3.2,5.2,7.2,88.2,85.6,79.5,-2.6000000000000085
28,Andhra Pradesh,2021,33167.0,66611.0,124.0,3.0,4.0,5.0,92.0,88.0,85.0,-4.0
28,Andhra Pradesh,2022,21862.0,41020.0,32.0,3.0,4.0,6.0,92.0,89.0,91.0,-3.0
28,Andhra Pradesh,2023,29686.0,55479.0,35.0,2.0,2.9,0.0,94.4,92.4,88.6,-2.0
29,Karnataka,2021,32011.0,58101.0,88.0,5.0,7.0,6.0,83.0,77.0,76.0,-6.0
29,Karnataka,2022,22949.0,39537.0,48.0,5.0,8.0,8.0,85.0,79.0,67.0,-6.0
29,Karnataka,2023,25818.0,43554.0,33.0,5.7,8.7,6.1,85.6,80.7,84.8,-4.8999999999999915
30,Goa,2021,940.0,1394.0,2.0,3.0,3.0,0.0,83.0,75.0,50.0,-8.0
30,Goa,2022,695.0,887.0,2.0,5.0,6.0,0.0,87.0,82.0,100.0,-5.0
30,Goa,2023,778.0,1169.0,1.0,6.6,10.6,0.0,83.8,77.6,100.0,-6.200000000000003
31,Lakshadweep,2021,6.0,17.0,0.0,0.0,12.0,,83.0,53.0,,-30.0
31,Lakshadweep,2022,9.0,8.0,0.0,0.0,0.0,,89.0,88.0,,-1.0
31,Lakshadweep,2023,11.0,9.0,0.0,0.0,11.1,,100.0,77.8,,-22.200000000000003
32,Kerala,2021,8514.0,17117.0,13.0,6.0,8.0,8.0,85.0,81.0,85.0,-4.0
32,Kerala,2022,7219.0,13414.0,8.0,6.0,9.0,13.0,84.0,80.0,63.0,-4.0
32,Kerala,2023,7801.0,14081.0,4.0,6.2,9.2,0.0,82.2,78.0,100.0,-4.200000000000003
33,Tamil Nadu,2021,34824.0,78661.0,129.0,4.0,6.0,6.0,86.0,81.0,82.0,-5.0
33,Tamil Nadu,2022,21757.0,47157.0,29.0,4.0,7.0,3.0,86.0,81.0,93.0,-5.0
33,Tamil Nadu,2023,27184.0,55469.0,31.0,4.4,6.8,6.5,86.0,81.7,67.7,-4.299999999999997
34,Puducherry,2021,555.0,1096.0,1.0,6.0,8.0,0.0,85.0,78.0,100.0,-7.0
34,Puducherry,2022,436.0,783.0,1.0,5.0,7.0,0.0,84.0,80.0,0.0,-4.0
34,Puducherry,2023,485.0,883.0,1.0,4.7,5.8,0.0,85.6,77.8,100.0,-7.799999999999997
35,Andaman And Nicobar Islands,2021,248.0,353.0,0.0,5.0,5.0,,83.0,79.0,,-4.0
35,Andaman And Nicobar Islands,2022,171.0,263.0,0.0,2.0,5.0,,90.0,82.0,,-8.0
35,Andaman And Nicobar Islands,2023,216.0,264.0,0.0,2.3,3.0,,86.6,86.7,,0.10000000000000853
36,Telangana,2021,26984.0,44087.0,82.0,3.0,4.0,6.0,91.0,87.0,88.0,-4.0
36,Telangana,2022,23549.0,37280.0,28.0,2.0,4.0,4.0,91.0,88.0,82.0,-3.0
36,Telangana,2023,23984.0,35606.0,25.0,2.2,3.5,0.0,92.8,90.0,100.0,-2.799999999999997
37,Ladakh,2021,196.0,225.0,0.0,7.0,6.0,,86.0,86.0,,0.0
37,Ladakh,2022,116.0,127.0,0.0,9.0,6.0,,77.0,78.0,,1.0
37,Ladakh,2023,153.0,167.0,0.0,6.5,7.2,,79.7,84.4,,4.700000000000003
38,The Dadra And Nagar Haveli And Daman And Diu,2021,407.0,619.0,0.0,5.0,3.0,,90.0,89.0,,-1.0
38,The Dadra And Nagar Haveli And Daman And Diu,2022,275.0,460.0,0.0,3.0,2.0,,93.0,94.0,,1.0
38,The Dadra And Nagar Haveli And Daman And Diu,2023,294.0,436.0,0.0,3.4,4.6,,94.6,91.1,,-3.5
