StateCode,StateName,Year,notification_achievement,notification_target,notification_achievement_rate
18,Assam,2021,37408.0,62100.0,0.6023832528180354
18,Assam,2022,47603.0,61000.0,0.7803770491803279
18,Assam,2023,51578.0,63000.0,0.8186984126984127
18,Assam,2024,29026.0,55000.0,0.5277454545454545
18,Assam,2025,17525.0,62000.0,0.28266129032258064
19,West Bengal,2017,99246.0,145149.0,0.6837525577165533
19,West Bengal,2018,110692.0,166848.0,0.6634301879555045
19,West Bengal,2019,108743.0,125000.0,0.869944
19,West Bengal,2020,70877.0,140000.0,0.5062642857142857
19,West Bengal,2021,74580.0,140000.0,0.5327142857142857
19,West Bengal,2022,89427.0,130000.0,0.6879
19,West Bengal,2023,100595.0,130000.0,0.7738076923076923
19,West Bengal,2024,59791.0,125000.0,0.478328
19,West Bengal,2025,36290.0,120000.0,0.30241666666666667
20,Jharkhand,2017,38164.0,55104.0,0.6925813008130082
20,Jharkhand,2018,45388.0,70811.0,0.6409738599935039
20,Jharkhand,2019,56023.0,60000.0,0.9337166666666666
20,Jharkhand,2020,45604.0,65000.0,0.7016
20,Jharkhand,2021,52256.0,65000.0,0.8039384615384615
20,Jharkhand,2022,57318.0,70000.0,0.8188285714285715
20,Jharkhand,2023,60479.0,70000.0,0.8639857142857142
20,Jharkhand,2024,36294.0,63000.0,0.5760952380952381
20,Jharkhand,2025,23074.0,65000.0,0.3549846153846154
21,Odisha,2017,50315.0,61781.0,0.8144089606837054
21,Odisha,2018,48398.0,72613.0,0.6665197691873356
21,Odisha,2019,52968.0,83000.0,0.6381686746987952
21,Odisha,2020,45346.0,65000.0,0.6976307692307693
21,Odisha,2021,51990.0,65000.0,0.7998461538461539
21,Odisha,2022,60262.0,65000.0,0.9271076923076923
21,Odisha,2023,62053.0,65000.0,0.9546615384615385
21,Odisha,2024,33637.0,65000.0,0.5174923076923077
21,Odisha,2025,20481.0,62000.0,0.33033870967741935
22,Chhattisgarh,2017,35036.0,45795.0,0.7650616879572005
22,Chhattisgarh,2018,38473.0,55409.0,0.6943456839141656
22,Chhattisgarh,2019,42594.0,53000.0,0.8036603773584906
22,Chhattisgarh,2020,28573.0,55000.0,0.5195090909090909
22,Chhattisgarh,2021,31705.0,55000.0,0.5764545454545454
22,Chhattisgarh,2022,36807.0,55000.0,0.6692181818181818
22,Chhattisgarh,2023,37509.0,55000.0,0.6819818181818181
22,Chhattisgarh,2024,21813.0,50000.0,0.43626
22,Chhattisgarh,2025,15506.0,0.0,
23,Madhya Pradesh,2017,122703.0,167211.0,0.7338213395051761
23,Madhya Pradesh,2018,150060.0,201982.0,0.7429374894792605
23,Madhya Pradesh,2019,185517.0,227000.0,0.8172555066079296
23,Madhya Pradesh,2020,136278.0,240100.0,0.5675885047896709
23,Madhya Pradesh,2021,164759.0,240100.0,0.6862099125364431
23,Madhya Pradesh,2022,185873.0,245000.0,0.758665306122449
23,Madhya Pradesh,2023,182417.0,210000.0,0.868652380952381
23,Madhya Pradesh,2024,103969.0,190000.0,0.5472052631578948
