StateCode,StateName,Year,success_rate_private,ltfu_rate_private,death_rate_private
30,Goa,2017,0.0,,0.0
30,Goa,2018,38.0,0.0,0.0
30,Goa,2019,77.0,12.2,1.6
30,Goa,2020,92.0,4.9,1.6
30,Goa,2021,90.1,1.0,6.1
30,Goa,2022,75.5,3.3,3.3
31,Lakshadweep,2017,,,
31,Lakshadweep,2019,,,
31,Lakshadweep,2020,,,
31,Lakshadweep,2022,,,
32,Kerala,2017,70.0,,1.0
32,Kerala,2019,81.0,1.9,7.2
32,Kerala,2020,78.0,2.1,9.8
32,Kerala,2021,71.6,2.9,9.5
32,Kerala,2022,75.1,4.3,9.2
33,Tamil Nadu,2017,55.0,,0.0
33,Tamil Nadu,2018,82.0,2.0,1.0
33,Tamil Nadu,2019,81.0,2.7,2.5
33,Tamil Nadu,2020,83.0,3.6,4.1
33,Tamil Nadu,2021,83.1,3.9,3.6
33,Tamil Nadu,2022,88.8,2.5,3.2
34,Puducherry,2017,100.0,,0.0
34,Puducherry,2018,90.0,0.0,0.0
34,Puducherry,2019,33.0,0.0,0.0
34,Puducherry,2020,100.0,0.0,0.0
34,Puducherry,2022,50.0,0.0,0.0
35,Andaman and Nicobar Islands,2017,0.0,,0.0
35,Andaman and Nicobar Islands,2018,90.0,5.0,0.0
35,Andaman and Nicobar Islands,2019,73.0,9.1,0.0
35,Andaman and Nicobar Islands,2020,,,
35,Andaman and Nicobar Islands,2021,0.0,0.0,100.0
35,Andaman and Nicobar Islands,2022,75.0,0.0,0.0
36,Telangana,2017,94.0,,1.0
36,Telangana,2018,91.0,1.0,2.0
36,Telangana,2019,93.0,0.5,2.5
36,Telangana,2020,92.0,0.6,2.4
36,Telangana,2021,92.5,0.7,2.5
36,Telangana,2022,93.7,0.2,1.2
37,Ladakh,2017,11.0,,0.0
37,Ladakh,2018,65.0,1.0,0.0
37,Ladakh,2019,98.0,0.0,2.2
37,Ladakh,2020,100.0,0.0,0.0
37,Ladakh,2021,84.0,0.0,4.0
37,Ladakh,2022,72.7,0.0,0.0
38,The Dadra and Nagar Haveli and Daman and Diu,2017,93.0,,0.3693154895
38,The Dadra and Nagar Haveli and Daman and Diu,2018,97.3693154895,1.8920535316,0.0
38,The Dadra and Nagar Haveli and Daman and Diu,2019,97.0,1.3,1.3
38,The Dadra and Nagar Haveli and Daman and Diu,2020,95.0,0.0,1.4
38,The Dadra and Nagar Haveli and Daman and Diu,2021,98.0,0.0,2.0
38,The Dadra and Nagar Haveli and Daman and Diu,2022,98.6,0.0,0.0
