StateCode,StateName,Year,success_rate,ltfu_rate,death_rate,failure_rate,tb_patients_notified
31,Lakshadweep,2022,100.0,0.0,0.0,0.0,21.0
32,Kerala,2018,88.0,2.0,5.0,1.0,24572.0
32,Kerala,2019,83.0,1.9,7.2,0.8,25267.0
32,Kerala,2020,81.0,1.8,8.1,0.6,20641.0
32,Kerala,2021,79.5,2.2,8.1,0.7,21886.0
32,Kerala,2022,81.8,2.6,8.4,0.6,23135.0
33,Tamil Nadu,2018,84.0,3.0,4.0,1.0,101101.0
33,Tamil Nadu,2019,83.0,3.0,4.9,0.5,109772.0
33,Tamil Nadu,2020,83.0,2.5,5.9,0.5,68943.0
33,Tamil Nadu,2021,83.1,2.8,6.0,0.6,82684.0
33,Tamil Nadu,2022,85.8,2.5,5.6,0.6,93657.0
34,Puducherry,2018,86.0,3.0,6.0,1.0,1542.0
34,Puducherry,2019,81.0,2.7,7.4,1.4,1565.0
34,Puducherry,2020,81.0,2.3,6.6,1.1,1220.0
34,Puducherry,2021,80.6,2.4,5.4,1.8,1369.0
34,Puducherry,2022,81.8,2.7,7.7,1.3,1485.0
35,Andaman And Nicobar Islands,2018,88.0,3.0,2.0,1.0,523.0
35,Andaman And Nicobar Islands,2019,84.0,3.2,4.5,0.0,554.0
35,Andaman And Nicobar Islands,2020,85.0,1.4,3.7,0.7,434.0
35,Andaman And Nicobar Islands,2021,86.7,2.5,2.7,0.4,480.0
35,Andaman And Nicobar Islands,2022,85.0,3.1,2.8,1.6,508.0
36,Telangana,2018,90.0,2.0,4.0,1.0,51318.0
36,Telangana,2019,89.0,0.8,3.5,0.5,69076.0
36,Telangana,2020,89.0,0.6,3.1,0.4,60857.0
36,Telangana,2021,91.2,0.7,3.0,0.4,59615.0
36,Telangana,2022,91.7,0.5,2.3,0.4,71488.0
37,Ladakh,2018,82.0,2.0,2.0,1.0,260.071634017
37,Ladakh,2019,86.0,0.2,5.6,0.0,412.0
37,Ladakh,2020,77.0,1.6,7.8,0.8,243.0
37,Ladakh,2021,82.2,1.3,6.9,0.6,320.0
37,Ladakh,2022,87.8,0.3,4.7,0.6,343.0
38,The Dadra And Nagar Haveli And Daman And Diu,2018,86.4317858735,5.6761605948,3.0,1.0,952.0
38,The Dadra And Nagar Haveli And Daman And Diu,2019,92.0,2.5,2.5,0.3,984.0
38,The Dadra And Nagar Haveli And Daman And Diu,2020,93.0,0.7,2.3,0.3,735.0
38,The Dadra And Nagar Haveli And Daman And Diu,2021,92.5,0.3,4.1,0.3,730.0
38,The Dadra And Nagar Haveli And Daman And Diu,2022,94.3,0.1,2.6,0.2,895.0
