StateCode,StateName,Year,success_rate,ltfu_rate,death_rate,failure_rate,tb_patients_notified,success_rate_public,ltfu_rate_public,death_rate_public,success_rate_private,ltfu_rate_private,death_rate_private,notification_achievement,notification_target,notification_achievement_rate,presumptive_cases_examined,presumptive_examination_rate,population,drtb_pct,tb_hiv_coinfected_pct,tb_dm_coinfected_pct,tb_tobacco_pct,lab_tech_fill_rate,phc_doctor_fill_rate,chc_specialist_fill_rate,anm_fill_rate,pharmacist_fill_rate,state_category,expenditure_rural_health,expenditure_urban_health,expenditure_public_health,stunting_pct,underweight_pct,improved_sanitation_pct,improved_water_pct,health_insurance_coverage_pct,tobacco_use_men_pct,oop_per_hospitalisation,barrier_financial_pct,barrier_services_unavailable_pct,barrier_distance_pct,barrier_quality_pct,treatment_from_govt_pct,treatment_from_private_pct
10,Bihar,2022,83.9,4.5,3.2,0.5,163263.0,79.2,3.6,2.3,88.3,5.4,4.0,160206.0,200000.0,0.80103,385310.0,298.0,1294.71,2.1,,6.0,10.0,0.4346201743462017,0.5721835883171071,0.7486338797814208,0.0567139710026128,0.7311350665821179,,,,,40.35,38.8,57.45,99.35,13.35,45.5,12258.0,0.1,12.9,2.8,57.5,35.7,42.4
11,Sikkim,2018,85.0,0.0,2.0,0.0,1340.0,85.0,0.0,2.0,48.0,0.0,4.0,386.0,2189.0,0.1763362265874828,10535.0,1621.0,6.49841,,,,,,,,,,North East States,999374.0,2028710.0,846512.0,20.35,11.95,86.65,93.75,26.4,40.65,6194.0,0.0,15.0,2.3,39.1,75.5,17.2
11,Sikkim,2019,89.0,0.8,3.7,0.7,1229.0,89.0,0.8,3.7,88.0,0.0,0.0,373.0,1550.0,0.2406451612903225,14455.0,2190.0,6.6,,,,,,,,,,North East States,865312.0,2624081.0,496005.0,20.35,11.95,86.65,93.75,26.4,40.65,6194.0,0.0,15.0,2.3,39.1,75.5,17.2
11,Sikkim,2020,90.0,0.8,4.0,0.1,1139.0,90.0,0.8,4.0,89.0,0.0,2.7,594.0,1650.0,0.36,10563.0,1611.0,6.6,,0.0,,,0.0,0.2916666666666667,0.5,0.0,0.1333333333333333,,,,,20.35,11.95,86.65,93.75,26.4,40.65,6194.0,0.0,15.0,2.3,39.1,75.5,17.2
11,Sikkim,2021,88.1,1.5,4.0,0.2,1187.0,87.7,1.4,4.1,94.0,3.6,2.4,1308.0,1650.0,0.7927272727272727,12918.0,1952.0,7.0,,,8.0,14.0,0.0,0.0256410256410256,1.0,0.0,0.125,,,,,20.35,11.95,86.65,93.75,26.4,40.65,6194.0,0.0,15.0,2.3,39.1,75.5,17.2
11,Sikkim,2022,90.9,0.5,3.5,0.3,1232.0,90.7,0.5,3.5,94.7,0.0,3.5,1286.0,1500.0,0.8573333333333333,16763.0,2510.0,6.68,16.2,,9.0,6.5,,0.0256410256410256,,,0.0833333333333333,,,,,20.35,11.95,86.65,93.75,26.4,40.65,6194.0,0.0,15.0,2.3,39.1,75.5,17.2
12,Arunachal Pradesh,2018,82.0,6.0,2.0,2.0,2900.0,82.0,6.0,2.0,50.0,0.0,0.0,1363.0,4305.0,0.3166085946573751,13575.0,858.0,15.81877,,,,,,,,,,North East States,4032714.0,2332203.0,1129791.0,28.15,14.45,81.65,95.5,31.05,47.95,4652.0,0.0,29.0,0.5,7.4,91.3,2.9
12,Arunachal Pradesh,2019,82.0,7.1,2.2,1.2,2864.0,83.0,7.2,2.3,41.0,4.3,0.0,1161.0,4050.0,0.2866666666666667,15174.0,937.0,16.2,,,,,,,,,,North East States,4628654.0,3430065.0,1202599.0,28.15,14.45,81.65,95.5,31.05,47.95,4652.0,0.0,29.0,0.5,7.4,91.3,2.9
12,Arunachal Pradesh,2020,83.0,5.1,3.2,0.9,2424.0,83.0,5.1,3.2,25.0,0.0,0.0,1319.0,3500.0,0.3768571428571428,10003.0,610.0,16.4,,0.0,,,,,,,,,,,,28.15,14.45,81.65,95.5,31.05,47.95,4652.0,0.0,29.0,0.5,7.4,91.3,2.9
12,Arunachal Pradesh,2021,79.3,6.6,2.7,0.7,2726.0,79.3,6.6,2.7,,,,2621.0,3500.0,0.7488571428571429,17301.0,1038.0,17.0,,,2.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,28.15,14.45,81.65,95.5,31.05,47.95,4652.0,0.0,29.0,0.5,7.4,91.3,2.9
12,Arunachal Pradesh,2022,82.4,7.5,2.2,0.8,2859.0,82.5,7.5,2.2,33.3,16.7,0.0,2709.0,3500.0,0.774,23301.0,1374.0,16.96,6.5,,2.0,10.0,,,,,,,,,,28.15,14.45,81.65,95.5,31.05,47.95,4652.0,0.0,29.0,0.5,7.4,91.3,2.9
13,Nagaland,2018,79.0,4.0,2.0,0.0,4322.0,87.0,4.0,2.0,37.0,4.0,3.0,1935.0,3811.0,0.5077407504591971,14128.0,689.0,20.5022,,,,,,,,,,North East States,1399254.0,2896475.0,1543457.0,30.9,26.1,86.30000000000001,91.65,19.05,48.15,7572.0,0.0,7.7,1.7,23.6,64.5,28.2
13,Nagaland,2019,83.0,3.5,2.3,0.6,4693.0,84.0,3.3,2.1,74.0,4.5,3.7,2255.0,4400.0,0.5125,18129.0,876.0,20.7,,,,,0.0,0.0,,0.0,0.0,North East States,1519497.0,3858016.0,899310.0,30.9,26.1,86.30000000000001,91.65,19.05,48.15,7572.0,0.0,7.7,1.7,23.6,64.5,28.2
13,Nagaland,2020,81.0,2.6,2.8,0.7,3518.0,81.0,2.3,2.8,81.0,3.7,2.5,2224.0,5000.0,0.4448,11207.0,541.0,20.7,,10.0,,,0.0,0.0,0.0,0.0,0.0,,,,,30.9,26.1,86.30000000000001,91.65,19.05,48.15,7572.0,0.0,7.7,1.7,23.6,64.5,28.2
13,Nagaland,2021,85.9,2.9,3.1,1.1,3636.0,85.9,2.7,2.7,85.4,4.1,5.2,3619.0,5000.0,0.7238,15838.0,761.0,21.0,,,5.0,16.0,0.0,0.0,0.3,0.0,0.0,,,,,30.9,26.1,86.30000000000001,91.65,19.05,48.15,7572.0,0.0,7.7,1.7,23.6,64.5,28.2
