StateCode,StateName,Year,notification_achievement_rate,presumptive_examination_rate,lab_tech_fill_rate,phc_doctor_fill_rate,stunting_pct
35,Andaman And Nicobar Islands,2022,0.8867924528301887,4103.0,0.1111111111111111,0.0566037735849056,22.3
36,Telangana,2019,1.0066142857142857,990.0,0.1630012936610608,0.0326953748006379,31.9
36,Telangana,2020,0.755390243902439,693.0,0.1630012936610608,0.0326953748006379,31.9
36,Telangana,2021,0.7302073170731708,664.0,0.1630012936610608,0.0326953748006379,31.9
36,Telangana,2022,0.9038,1423.0,0.165079365079365,0.3098106712564544,31.9
37,Ladakh,2019,0.3976190476190476,864.0,0.0394456289985744,0.4040207522710831,29.65
37,Ladakh,2020,0.3047619047619048,850.0,0.0909090909090909,0.5652173913043478,29.65
37,Ladakh,2021,0.5107142857142857,1137.0,0.1538461538461538,0.5161290322580645,29.65
37,Ladakh,2022,0.9257142857142856,4099.0,0.2,0.5,29.65
38,The Dadra And Nagar Haveli And Daman And Diu,2019,0.5688135593220339,2017.0,0.0869565217391304,0.25,39.3
38,The Dadra And Nagar Haveli And Daman And Diu,2020,0.370625,1447.0,0.0,0.0,39.3
38,The Dadra And Nagar Haveli And Daman And Diu,2021,0.9450980392156862,1915.0,0.0,0.0,39.3
38,The Dadra And Nagar Haveli And Daman And Diu,2022,1.1345454545454543,2945.0,0.0,0.0,39.3
